,Unnamed: 0,year,bula_h,quintil_oecd,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
55,55,2003,North Rhine-Westphalia,2nd Quintile,In my current field/ field I was trained in,0.39116,34,747,0.3317,0.46158
56,56,2003,North Rhine-Westphalia,2nd Quintile,Does not matter,0.28229,33,747,0.23478,0.33463
57,57,2003,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.32655,38,747,0.25878,0.42661
58,58,2003,North Rhine-Westphalia,3rd Quintile,Does not apply/do not (yet) have a job,1.0,39,747,0.74531,1.3203
59,59,2003,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,1.0,34,747,0.72562,1.27585
60,60,2003,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,51,747,0.80352,1.18838
61,61,2003,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,33,747,0.7933,1.21209
62,62,2003,Baden-Wuerttemberg,3rd Quintile,Does not apply/do not (yet) have a job,1.0,39,747,0.72157,1.29286
63,63,2003,Baden-Wuerttemberg,5th Quintile,Does not apply/do not (yet) have a job,1.0,40,747,0.85457,1.19177
64,64,2003,Bavaria,5th Quintile,In my current field/ field I was trained in,0.37352,31,747,0.28428,0.46935
65,65,2003,Bavaria,5th Quintile,Does not apply/do not (yet) have a job,0.62648,47,747,0.45917,0.88206
66,66,2003,Berlin,1st Quintile,Does not apply/do not (yet) have a job,1.0,34,747,0.74945,1.23506
67,67,2003,Saxony,1st Quintile,Does not matter,1.0,58,747,0.86034,1.15895
68,68,2003,Saxony-Anhalt,1st Quintile,Does not matter,1.0,44,747,0.84055,1.20916
69,69,2003,Thuringa,1st Quintile,Does not matter,1.0,39,747,0.75843,1.28576
70,70,2005,North Rhine-Westphalia,1st Quintile,Does not matter,0.65019,69,551,0.55195,0.75685
71,71,2005,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.34981,48,551,0.2788,0.43275
72,72,2005,North Rhine-Westphalia,2nd Quintile,Does not matter,0.50388,37,551,0.37088,0.63911
73,73,2005,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.49612,41,551,0.41047,0.60993
74,74,2005,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,1.0,33,551,0.68211,1.41147
75,75,2005,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,47,551,0.82045,1.22025
76,76,2005,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,32,551,0.75594,1.27798
77,77,2005,Bavaria,5th Quintile,Does not apply/do not (yet) have a job,1.0,32,551,0.7393,1.38998
78,78,2005,Brandenburg,1st Quintile,Does not matter,1.0,39,551,0.79666,1.20394
79,79,2005,Saxony,1st Quintile,Does not matter,1.0,56,551,0.8421,1.18331
80,80,2005,Saxony,2nd Quintile,Does not matter,1.0,33,551,0.6979,1.32458
81,81,2005,Saxony-Anhalt,1st Quintile,Does not matter,1.0,38,551,0.75787,1.25414
82,82,2005,Thuringa,1st Quintile,Does not matter,1.0,46,551,0.81224,1.21331
83,83,2007,North Rhine-Westphalia,1st Quintile,Does not matter,0.5061,71,512,0.43095,0.5952
84,84,2007,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.4939,61,512,0.41664,0.59386
