year,quintil_oecd,sampreg,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,West,In my current field/ field I was trained in,0.29457,91,383,0.24886,0.34028
1994,1st Quintile,West,Do something new,0.13532,50,383,0.10101,0.16962
1994,1st Quintile,West,Does not matter,0.24626,99,383,0.20306,0.28947
1994,1st Quintile,West,Does not apply/do not (yet) have a job,0.32385,143,383,0.27692,0.37078
1994,1st Quintile,East,In my current field/ field I was trained in,0.21943,61,268,0.16979,0.26907
1994,1st Quintile,East,Do something new,0.20634,46,268,0.15780,0.25488
1994,1st Quintile,East,Does not matter,0.46423,128,268,0.40441,0.52405
1994,1st Quintile,East,Does not apply/do not (yet) have a job,0.11000,33,268,0.07247,0.14754
1994,2nd Quintile,West,In my current field/ field I was trained in,0.36240,91,289,0.30688,0.41792
1994,2nd Quintile,West,Do something new,0.15914,40,289,0.11690,0.20139
1994,2nd Quintile,West,Does not matter,0.21680,62,289,0.16921,0.26439
1994,2nd Quintile,West,Does not apply/do not (yet) have a job,0.26165,96,289,0.21089,0.31242
1994,2nd Quintile,East,In my current field/ field I was trained in,0.34794,55,134,0.26698,0.42889
1994,2nd Quintile,East,Does not matter,0.39306,79,134,0.31005,0.47607
1994,3rd Quintile,West,In my current field/ field I was trained in,0.45154,109,261,0.39105,0.51203
1994,3rd Quintile,West,Do something new,0.13145,32,261,0.09038,0.17253
1994,3rd Quintile,West,Does not matter,0.15700,48,261,0.11278,0.20122
1994,3rd Quintile,West,Does not apply/do not (yet) have a job,0.26001,72,261,0.20669,0.31332
1994,3rd Quintile,East,In my current field/ field I was trained in,0.34569,35,98,0.25104,0.44033
1994,3rd Quintile,East,Does not matter,0.30367,32,98,0.21216,0.39519
1994,3rd Quintile,East,Does not apply/do not (yet) have a job,0.20826,31,98,0.12745,0.28906
1994,4th Quintile,West,In my current field/ field I was trained in,0.40249,91,225,0.33827,0.46672
1994,4th Quintile,West,Do something new,0.15694,35,225,0.10931,0.20458
1994,4th Quintile,West,Does not matter,0.12244,31,225,0.07951,0.16537
1994,4th Quintile,West,Does not apply/do not (yet) have a job,0.31812,68,225,0.25713,0.37912
1994,5th Quintile,West,In my current field/ field I was trained in,0.45786,84,171,0.38296,0.53275
1994,5th Quintile,West,Does not matter,0.17055,33,171,0.11401,0.22708
1994,5th Quintile,West,Does not apply/do not (yet) have a job,0.27793,54,171,0.21059,0.34528
1996,1st Quintile,West,In my current field/ field I was trained in,0.24947,104,496,0.21135,0.28759
1996,1st Quintile,West,Do something new,0.21686,69,496,0.18055,0.25316
1996,1st Quintile,West,Does not matter,0.28841,147,496,0.24850,0.32832
1996,1st Quintile,West,Does not apply/do not (yet) have a job,0.24525,176,496,0.20735,0.28316
1996,1st Quintile,East,In my current field/ field I was trained in,0.26044,58,208,0.20065,0.32022
1996,1st Quintile,East,Do something new,0.17570,39,208,0.12385,0.22754
1996,1st Quintile,East,Does not matter,0.47853,111,208,0.41048,0.54658
1996,2nd Quintile,West,In my current field/ field I was trained in,0.28951,93,326,0.24021,0.33882
1996,2nd Quintile,West,Do something new,0.20139,44,326,0.15779,0.24500
1996,2nd Quintile,West,Does not matter,0.26087,91,326,0.21313,0.30861
1996,2nd Quintile,West,Does not apply/do not (yet) have a job,0.24822,98,326,0.20126,0.29519
1996,2nd Quintile,East,In my current field/ field I was trained in,0.31374,43,105,0.22456,0.40292
1996,2nd Quintile,East,Does not matter,0.41116,62,105,0.31660,0.50573
1996,3rd Quintile,West,In my current field/ field I was trained in,0.34259,79,251,0.28376,0.40142
1996,3rd Quintile,West,Do something new,0.19822,48,251,0.14880,0.24764
1996,3rd Quintile,West,Does not matter,0.20155,55,251,0.15182,0.25128
1996,3rd Quintile,West,Does not apply/do not (yet) have a job,0.25764,69,251,0.20343,0.31185
1996,3rd Quintile,East,In my current field/ field I was trained in,0.31639,39,81,0.21448,0.41830
