year,bula_h,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Secondary School Degree,0.81430,62,62,0.71672,0.91189
1984,Schleswig-Holstein,Upper Secondary Level,Secondary School Degree,0.66045,139,201,0.59482,0.72608
1984,Schleswig-Holstein,Upper Secondary Level,Intermediate School Degree,0.28510,62,201,0.22253,0.34767
1984,Hamburg,Lower Secondary Level,Secondary School Degree,0.77547,39,39,0.64279,0.90814
1984,Hamburg,Upper Secondary Level,Secondary School Degree,0.62473,88,126,0.53985,0.70961
1984,Hamburg,Upper Secondary Level,Intermediate School Degree,0.27154,38,126,0.19357,0.34951
1984,Lower Saxony,Primary Level,"Dropout, No School Degree",0.65209,45,45,0.51136,0.79283
1984,Lower Saxony,Lower Secondary Level,Secondary School Degree,0.79673,263,366,0.75545,0.83802
1984,Lower Saxony,Lower Secondary Level,Intermediate School Degree,0.18301,64,366,0.14335,0.22268
1984,Lower Saxony,Lower Secondary Level,Other Degree,0.02025,39,366,0.00580,0.03470
1984,Lower Saxony,Upper Secondary Level,Secondary School Degree,0.69292,383,555,0.65451,0.73133
1984,Lower Saxony,Upper Secondary Level,Intermediate School Degree,0.24985,137,555,0.21380,0.28590
1984,Lower Saxony,Upper Secondary Level,Other Degree,0.01174,35,555,0.00277,0.02071
1984,Lower Saxony,First Stage of Tertiary Education,Secondary School Degree,0.46808,36,36,0.30277,0.63339
1984,Lower Saxony,Second Stage of Tertiary Education,Upper Secondary Degree,0.67532,52,52,0.54680,0.80383
1984,Bremen,Upper Secondary Level,Secondary School Degree,0.75599,45,45,0.62908,0.88290
1984,North Rhine-Westphalia,Primary Level,"Dropout, No School Degree",0.79295,231,297,0.74679,0.83911
1984,North Rhine-Westphalia,Primary Level,No School Attended,0.17195,66,297,0.12896,0.21493
1984,North Rhine-Westphalia,Lower Secondary Level,Secondary School Degree,0.77739,540,864,0.74963,0.80514
1984,North Rhine-Westphalia,Lower Secondary Level,Intermediate School Degree,0.17138,128,864,0.14624,0.19653
1984,North Rhine-Westphalia,Lower Secondary Level,Other Degree,0.05123,196,864,0.03652,0.06594
1984,North Rhine-Westphalia,Upper Secondary Level,Secondary School Degree,0.70282,957,1509,0.67975,0.72589
1984,North Rhine-Westphalia,Upper Secondary Level,Intermediate School Degree,0.20319,294,1509,0.18288,0.22350
1984,North Rhine-Westphalia,Upper Secondary Level,Upper Secondary Degree,0.05760,84,1509,0.04584,0.06936
1984,North Rhine-Westphalia,Upper Secondary Level,Other Degree,0.02184,137,1509,0.01447,0.02922
1984,North Rhine-Westphalia,Upper Secondary Level,"Dropout, No School Degree",0.00658,37,1509,0.00250,0.01066
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Technical School Degree,0.48009,37,37,0.31689,0.64330
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Secondary School Degree,0.45758,71,113,0.36531,0.54985
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Intermediate School Degree,0.27865,42,113,0.19562,0.36168
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Upper Secondary Degree,0.68178,146,146,0.60596,0.75759
1984,Hesse,Primary Level,"Dropout, No School Degree",0.62560,78,78,0.51750,0.73370
1984,Hesse,Lower Secondary Level,Secondary School Degree,0.78882,213,354,0.74625,0.83140
1984,Hesse,Lower Secondary Level,Intermediate School Degree,0.15802,43,354,0.11997,0.19607
1984,Hesse,Lower Secondary Level,Other Degree,0.05316,98,354,0.02975,0.07656
1984,Hesse,Upper Secondary Level,Secondary School Degree,0.60301,301,548,0.56201,0.64402
