"pgpsbil","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Realschulabschluss","1984","Realschulabschluss","Niedersachsen","228","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Bremen","","","",""
"Realschulabschluss","1984","Realschulabschluss","Nordrhein-Westfalen","463","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Hessen","189","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","109","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Baden-Wuerttemberg","283","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Bayern","370","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Saarland","","","",""
"Realschulabschluss","1984","Realschulabschluss","Berlin","76","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Brandenburg","","","",""
"Realschulabschluss","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"Realschulabschluss","1984","Realschulabschluss","Sachsen","","","",""
"Realschulabschluss","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"Realschulabschluss","1984","Realschulabschluss","Thueringen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Hamburg","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Bremen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Hessen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Bayern","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Saarland","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Berlin","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Brandenburg","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Sachsen","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Thueringen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"Realschulabschluss","1984","AkademikerInnen","Hamburg","","","",""
"Realschulabschluss","1984","AkademikerInnen","Niedersachsen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Bremen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Hessen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"Realschulabschluss","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"Realschulabschluss","1984","AkademikerInnen","Bayern","","","",""
"Realschulabschluss","1984","AkademikerInnen","Saarland","","","",""
"Realschulabschluss","1984","AkademikerInnen","Berlin","","","",""
"Realschulabschluss","1984","AkademikerInnen","Brandenburg","","","",""
"Realschulabschluss","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"Realschulabschluss","1984","AkademikerInnen","Sachsen","","","",""
"Realschulabschluss","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"Realschulabschluss","1984","AkademikerInnen","Thueringen","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Hamburg","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Bremen","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Hessen","","","",""
