"pgpsbil","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1984","Hauptschulabschluss","6089","0.962649446426728","0.958296365710506","0.967002527142951"
"Hauptschulabschluss","1984","Realschulabschluss","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","","","",""
"Realschulabschluss","1984","Realschulabschluss","1888","1","1","1"
"Realschulabschluss","1984","(Fach-)Abitur","","","",""
"Realschulabschluss","1984","AkademikerInnen","68","0.0945990915759336","0.0742298225898949","0.114968360561972"
"Fachhochschulreife","1984","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","","","",""
"Fachhochschulreife","1984","Realschulabschluss","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","198","0.278946217679217","0.249162213668552","0.308730221689882"
"Fachhochschulreife","1984","AkademikerInnen","130","0.177045679574534","0.150478709366586","0.203612649782482"
"Abitur","1984","(noch) kein Abschluss","","","",""
"Abitur","1984","Hauptschulabschluss","","","",""
"Abitur","1984","Realschulabschluss","","","",""
"Abitur","1984","(Fach-)Abitur","458","0.659636200284009","0.628168649927336","0.691103750640682"
"Abitur","1984","AkademikerInnen","509","0.67442559435382","0.641811625866609","0.70703956284103"
"Anderer Abschluss","1984","(noch) kein Abschluss","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","1200","0.0373505535732716","0.0329974728570492","0.041703634289494"
"Anderer Abschluss","1984","Realschulabschluss","","","",""
"Anderer Abschluss","1984","(Fach-)Abitur","194","0.0569297130914482","0.0415417710455716","0.0723176551373247"
"Anderer Abschluss","1984","AkademikerInnen","59","0.019248414069718","0.00968553897695231","0.0288112891624837"
"Ohne Abschluss verlassen","1984","(noch) kein Abschluss","891","0.505829636938289","0.47877624919346","0.532883024683118"
"Ohne Abschluss verlassen","1984","Hauptschulabschluss","","","",""
"Ohne Abschluss verlassen","1984","Realschulabschluss","","","",""
"Ohne Abschluss verlassen","1984","(Fach-)Abitur","","","",""
"Ohne Abschluss verlassen","1984","AkademikerInnen","","","",""
"Noch kein Abschluss","1984","(noch) kein Abschluss","209","0.407323369523626","0.380736957011148","0.433909782036103"
"Noch kein Abschluss","1984","Hauptschulabschluss","","","",""
"Noch kein Abschluss","1984","Realschulabschluss","","","",""
"Noch kein Abschluss","1984","(Fach-)Abitur","","","",""
"Noch kein Abschluss","1984","AkademikerInnen","","","",""
"Keine Schule besucht","1984","(noch) kein Abschluss","212","0.086846993538085","0.0716089101975569","0.102085076878613"
"Keine Schule besucht","1984","Hauptschulabschluss","","","",""
"Keine Schule besucht","1984","Realschulabschluss","","","",""
"Keine Schule besucht","1984","(Fach-)Abitur","","","",""
"Keine Schule besucht","1984","AkademikerInnen","","","",""
"Hauptschulabschluss","1985","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1985","Hauptschulabschluss","5455","0.961677525769418","0.957000493778054","0.966354557760782"
"Hauptschulabschluss","1985","Realschulabschluss","","","",""
"Hauptschulabschluss","1985","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1985","AkademikerInnen","","","",""
"Realschulabschluss","1985","(noch) kein Abschluss","","","",""
"Realschulabschluss","1985","Hauptschulabschluss","","","",""
"Realschulabschluss","1985","Realschulabschluss","1819","1","1","1"
"Realschulabschluss","1985","(Fach-)Abitur","","","",""
"Realschulabschluss","1985","AkademikerInnen","62","0.0902845207312553","0.0698555430476683","0.110713498414842"
"Fachhochschulreife","1985","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1985","Hauptschulabschluss","","","",""
"Fachhochschulreife","1985","Realschulabschluss","","","",""
"Fachhochschulreife","1985","(Fach-)Abitur","179","0.275734813002746","0.244631539201613","0.306838086803879"
"Fachhochschulreife","1985","AkademikerInnen","122","0.17286286899727","0.145908646424844","0.199817091569696"
"Abitur","1985","(noch) kein Abschluss","","","",""
"Abitur","1985","Hauptschulabschluss","","","",""
"Abitur","1985","Realschulabschluss","","","",""
"Abitur","1985","(Fach-)Abitur","439","0.667043837227906","0.63424320503483","0.699844469420983"
"Abitur","1985","AkademikerInnen","493","0.680674319458119","0.647440994099286","0.713907644816951"
"Anderer Abschluss","1985","(noch) kein Abschluss","","","",""
"Anderer Abschluss","1985","Hauptschulabschluss","1017","0.0383224742305818","0.0336454422392175","0.042999506221946"
"Anderer Abschluss","1985","Realschulabschluss","","","",""
"Anderer Abschluss","1985","(Fach-)Abitur","158","0.0532170187277987","0.0375941066244807","0.0688399308311168"
"Anderer Abschluss","1985","AkademikerInnen","54","0.021122123782476","0.0108722093114504","0.0313720382535016"
"Ohne Abschluss verlassen","1985","(noch) kein Abschluss","733","0.495070934227388","0.465538222114785","0.524603646339991"
"Ohne Abschluss verlassen","1985","Hauptschulabschluss","","","",""
"Ohne Abschluss verlassen","1985","Realschulabschluss","","","",""
"Ohne Abschluss verlassen","1985","(Fach-)Abitur","","","",""
"Ohne Abschluss verlassen","1985","AkademikerInnen","","","",""
"Noch kein Abschluss","1985","(noch) kein Abschluss","193","0.428385219055989","0.399155583834868","0.45761485427711"
"Noch kein Abschluss","1985","Hauptschulabschluss","","","",""
"Noch kein Abschluss","1985","Realschulabschluss","","","",""
"Noch kein Abschluss","1985","(Fach-)Abitur","","","",""
"Noch kein Abschluss","1985","AkademikerInnen","","","",""
"Keine Schule besucht","1985","(noch) kein Abschluss","175","0.0765438467166232","0.0608395781680429","0.0922481152652035"
"Keine Schule besucht","1985","Hauptschulabschluss","","","",""
"Keine Schule besucht","1985","Realschulabschluss","","","",""
"Keine Schule besucht","1985","(Fach-)Abitur","","","",""
"Keine Schule besucht","1985","AkademikerInnen","","","",""
"Hauptschulabschluss","1986","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1986","Hauptschulabschluss","5156","0.960595485111753","0.955720748809761","0.965470221413744"
"Hauptschulabschluss","1986","Realschulabschluss","","","",""
"Hauptschulabschluss","1986","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1986","AkademikerInnen","","","",""
"Realschulabschluss","1986","(noch) kein Abschluss","","","",""
"Realschulabschluss","1986","Hauptschulabschluss","","","",""
"Realschulabschluss","1986","Realschulabschluss","1779","1","1","1"
"Realschulabschluss","1986","(Fach-)Abitur","","","",""
"Realschulabschluss","1986","AkademikerInnen","61","0.0918763012588747","0.0711762439262988","0.112576358591451"
"Fachhochschulreife","1986","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1986","Hauptschulabschluss","","","",""
"Fachhochschulreife","1986","Realschulabschluss","","","",""
"Fachhochschulreife","1986","(Fach-)Abitur","184","0.268858803361281","0.238475555436214","0.299242051286347"
"Fachhochschulreife","1986","AkademikerInnen","120","0.173666219950748","0.146518539958507","0.200813899942989"
"Abitur","1986","(noch) kein Abschluss","","","",""
"Abitur","1986","Hauptschulabschluss","","","",""
"Abitur","1986","Realschulabschluss","","","",""
"Abitur","1986","(Fach-)Abitur","462","0.675591719423398","0.643509857621841","0.707673581224956"
"Abitur","1986","AkademikerInnen","492","0.685171376405803","0.651887492136966","0.718455260674641"
"Anderer Abschluss","1986","(noch) kein Abschluss","","","",""
"Anderer Abschluss","1986","Hauptschulabschluss","963","0.0394045148882475","0.0345297785862564","0.0442792511902386"
"Anderer Abschluss","1986","Realschulabschluss","","","",""
"Anderer Abschluss","1986","(Fach-)Abitur","154","0.0512199646066983","0.0361131171127184","0.0663268121006781"
"Anderer Abschluss","1986","AkademikerInnen","54","0.0195001429056593","0.0095909118177684","0.0294093739935503"
"Ohne Abschluss verlassen","1986","(noch) kein Abschluss","677","0.533598713505166","0.503206301155607","0.563991125854724"
"Ohne Abschluss verlassen","1986","Hauptschulabschluss","","","",""
"Ohne Abschluss verlassen","1986","Realschulabschluss","","","",""
"Ohne Abschluss verlassen","1986","(Fach-)Abitur","","","",""
"Ohne Abschluss verlassen","1986","AkademikerInnen","","","",""
"Noch kein Abschluss","1986","(noch) kein Abschluss","196","0.385868562901483","0.356211490353345","0.415525635449621"
"Noch kein Abschluss","1986","Hauptschulabschluss","","","",""
"Noch kein Abschluss","1986","Realschulabschluss","","","",""
"Noch kein Abschluss","1986","(Fach-)Abitur","","","",""
"Noch kein Abschluss","1986","AkademikerInnen","","","",""
"Keine Schule besucht","1986","(noch) kein Abschluss","162","0.0805327235933514","0.063954719277473","0.0971107279092298"
"Keine Schule besucht","1986","Hauptschulabschluss","","","",""
"Keine Schule besucht","1986","Realschulabschluss","","","",""
"Keine Schule besucht","1986","(Fach-)Abitur","","","",""
"Keine Schule besucht","1986","AkademikerInnen","","","",""
"Hauptschulabschluss","1987","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1987","Hauptschulabschluss","5091","0.95748520845011","0.952400357073572","0.962570059826648"
"Hauptschulabschluss","1987","Realschulabschluss","","","",""
"Hauptschulabschluss","1987","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1987","AkademikerInnen","","","",""
"Realschulabschluss","1987","(noch) kein Abschluss","","","",""
"Realschulabschluss","1987","Hauptschulabschluss","","","",""
"Realschulabschluss","1987","Realschulabschluss","1765","1","1","1"
"Realschulabschluss","1987","(Fach-)Abitur","","","",""
