year,bula_h,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Secondary School Degree,0.60429,211,336,0.55192,0.65665
1984,Schleswig-Holstein,Intermediate School Degree,0.24220,94,336,0.19632,0.28807
1984,Schleswig-Holstein,Upper Secondary Degree,0.08201,31,336,0.05263,0.11139
1984,Hamburg,Secondary School Degree,0.55267,134,238,0.48936,0.61597
1984,Hamburg,Intermediate School Degree,0.22518,58,238,0.17200,0.27836
1984,Hamburg,Other Degree,0.03679,46,238,0.01282,0.06076
1984,Lower Saxony,Secondary School Degree,0.62385,683,1187,0.59628,0.65142
1984,Lower Saxony,Intermediate School Degree,0.21105,236,1187,0.18782,0.23427
1984,Lower Saxony,Upper Secondary Degree,0.08148,99,1187,0.06591,0.09705
1984,Lower Saxony,Other Degree,0.01833,88,1187,0.01069,0.02596
1984,Lower Saxony,"Dropout, No School Degree",0.01415,50,1187,0.00742,0.02087
1984,Lower Saxony,No School Degree Yet,0.02429,31,1187,0.01553,0.03305
1984,Bremen,Secondary School Degree,0.69299,73,73,0.58645,0.79954
1984,North Rhine-Westphalia,Secondary School Degree,0.60410,1579,3224,0.58721,0.62098
1984,North Rhine-Westphalia,Intermediate School Degree,0.17694,489,3224,0.16377,0.19012
1984,North Rhine-Westphalia,Technical School Degree,0.03468,99,3224,0.02836,0.04100
1984,North Rhine-Westphalia,Upper Secondary Degree,0.10329,275,3224,0.09278,0.11380
1984,North Rhine-Westphalia,Other Degree,0.02976,379,3224,0.02389,0.03562
1984,North Rhine-Westphalia,"Dropout, No School Degree",0.02654,269,3224,0.02099,0.03209
1984,North Rhine-Westphalia,No School Degree Yet,0.01971,67,3224,0.01491,0.02451
1984,North Rhine-Westphalia,No School Attended,0.00498,67,3224,0.00255,0.00741
1984,Hesse,Secondary School Degree,0.55979,545,1196,0.53164,0.58793
1984,Hesse,Intermediate School Degree,0.20210,192,1196,0.17933,0.22487
1984,Hesse,Technical School Degree,0.03138,31,1196,0.02149,0.04126
1984,Hesse,Upper Secondary Degree,0.12947,120,1196,0.11044,0.14851
1984,Hesse,Other Degree,0.03843,205,1196,0.02753,0.04933
1984,Hesse,"Dropout, No School Degree",0.02302,103,1196,0.01452,0.03152
1984,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.72270,545,814,0.69193,0.75347
1984,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.14756,112,814,0.12318,0.17194
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Degree,0.05587,47,814,0.04008,0.07166
1984,"Rhineland-Palatinate, Saarland",Other Degree,0.02189,53,814,0.01183,0.03195
1984,"Rhineland-Palatinate, Saarland","Dropout, No School Degree",0.02174,57,814,0.01172,0.03177
1984,Baden-Wuerttemberg,Secondary School Degree,0.62830,1061,2231,0.60824,0.64835
1984,Baden-Wuerttemberg,Intermediate School Degree,0.17515,291,2231,0.15937,0.19092
1984,Baden-Wuerttemberg,Technical School Degree,0.03655,60,2231,0.02877,0.04434
1984,Baden-Wuerttemberg,Upper Secondary Degree,0.07855,134,2231,0.06739,0.08972
1984,Baden-Wuerttemberg,Other Degree,0.03554,350,2231,0.02785,0.04322
1984,Baden-Wuerttemberg,"Dropout, No School Degree",0.02222,237,2231,0.01610,0.02834
1984,Baden-Wuerttemberg,No School Degree Yet,0.01886,38,2231,0.01321,0.02450
1984,Baden-Wuerttemberg,No School Attended,0.00484,60,2231,0.00196,0.00772
1984,Bavaria,Secondary School Degree,0.62265,1109,2036,0.60159,0.64371
1984,Bavaria,Intermediate School Degree,0.20471,382,2036,0.18718,0.22224
1984,Bavaria,Technical School Degree,0.03127,59,2036,0.02371,0.03883
1984,Bavaria,Upper Secondary Degree,0.09129,180,2036,0.07878,0.10381
1984,Bavaria,Other Degree,0.02578,219,2036,0.01889,0.03266
1984,Bavaria,"Dropout, No School Degree",0.01208,87,2036,0.00733,0.01682
1984,Berlin,Secondary School Degree,0.52183,171,382,0.47167,0.57199
1984,Berlin,Intermediate School Degree,0.23027,80,382,0.18800,0.27255
1984,Berlin,Upper Secondary Degree,0.13578,46,382,0.10138,0.17018
1984,Berlin,Other Degree,0.03621,51,382,0.01745,0.05497
1984,Berlin,"Dropout, No School Degree",0.02841,34,382,0.01173,0.04510
1985,Schleswig-Holstein,Secondary School Degree,0.61307,200,282,0.55612,0.67002
1985,Schleswig-Holstein,Intermediate School Degree,0.23156,82,282,0.18224,0.28089
1985,Hamburg,Secondary School Degree,0.55127,120,217,0.48494,0.61760
1985,Hamburg,Intermediate School Degree,0.24605,60,217,0.18861,0.30349
1985,Hamburg,Other Degree,0.03184,37,217,0.00843,0.05526
1985,Lower Saxony,Secondary School Degree,0.60382,602,1029,0.57392,0.63372
1985,Lower Saxony,Intermediate School Degree,0.22304,226,1029,0.19760,0.24849
1985,Lower Saxony,Upper Secondary Degree,0.08689,98,1029,0.06967,0.10411
1985,Lower Saxony,Other Degree,0.01796,66,1029,0.00984,0.02608
1985,Lower Saxony,"Dropout, No School Degree",0.01285,37,1029,0.00597,0.01974
1985,Bremen,Secondary School Degree,0.69754,70,70,0.58916,0.80592
1985,North Rhine-Westphalia,Secondary School Degree,0.58480,1408,2918,0.56692,0.60269
1985,North Rhine-Westphalia,Intermediate School Degree,0.18728,476,2918,0.17312,0.20143
1985,North Rhine-Westphalia,Technical School Degree,0.03666,94,2918,0.02984,0.04348
1985,North Rhine-Westphalia,Upper Secondary Degree,0.10963,284,2918,0.09829,0.12096
1985,North Rhine-Westphalia,Other Degree,0.02866,317,2918,0.02261,0.03472
1985,North Rhine-Westphalia,"Dropout, No School Degree",0.02606,223,2918,0.02028,0.03184
1985,North Rhine-Westphalia,No School Degree Yet,0.02275,65,2918,0.01733,0.02816
1985,North Rhine-Westphalia,No School Attended,0.00416,51,2918,0.00183,0.00650
1985,Hesse,Secondary School Degree,0.55398,497,1052,0.52393,0.58404
1985,Hesse,Intermediate School Degree,0.20818,181,1052,0.18363,0.23272
1985,Hesse,Upper Secondary Degree,0.13124,114,1052,0.11083,0.15166
1985,Hesse,Other Degree,0.03791,176,1052,0.02636,0.04946
1985,Hesse,"Dropout, No School Degree",0.02133,84,1052,0.01260,0.03007
1985,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.70895,488,733,0.67604,0.74185
1985,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.15643,107,733,0.13012,0.18275
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Degree,0.05466,43,733,0.03819,0.07112
1985,"Rhineland-Palatinate, Saarland",Other Degree,0.02091,43,733,0.01055,0.03128
1985,"Rhineland-Palatinate, Saarland","Dropout, No School Degree",0.02505,52,733,0.01373,0.03637
1985,Baden-Wuerttemberg,Secondary School Degree,0.60920,954,2009,0.58786,0.63054
1985,Baden-Wuerttemberg,Intermediate School Degree,0.18822,282,2009,0.17112,0.20531
1985,Baden-Wuerttemberg,Technical School Degree,0.03666,55,2009,0.02844,0.04488
1985,Baden-Wuerttemberg,Upper Secondary Degree,0.07949,123,2009,0.06766,0.09132
1985,Baden-Wuerttemberg,Other Degree,0.03549,300,2009,0.02739,0.04358
1985,Baden-Wuerttemberg,"Dropout, No School Degree",0.02245,196,2009,0.01597,0.02893
1985,Baden-Wuerttemberg,No School Degree Yet,0.02330,42,2009,0.01670,0.02990
1985,Baden-Wuerttemberg,No School Attended,0.00520,57,2009,0.00205,0.00835
1985,Bavaria,Secondary School Degree,0.61412,999,1845,0.59190,0.63634
1985,Bavaria,Intermediate School Degree,0.21498,366,1845,0.19623,0.23373
1985,Bavaria,Technical School Degree,0.03085,53,1845,0.02296,0.03875
1985,Bavaria,Upper Secondary Degree,0.08975,164,1845,0.07670,0.10279
1985,Bavaria,Other Degree,0.02713,192,1845,0.01971,0.03454
1985,Bavaria,"Dropout, No School Degree",0.01387,71,1845,0.00853,0.01921
1985,Berlin,Secondary School Degree,0.48252,140,308,0.42662,0.53842
1985,Berlin,Intermediate School Degree,0.24805,77,308,0.19974,0.29636
1985,Berlin,Upper Secondary Degree,0.15528,46,308,0.11477,0.19580
1985,Berlin,Other Degree,0.03664,45,308,0.01562,0.05765
1986,Schleswig-Holstein,Secondary School Degree,0.60429,182,257,0.54439,0.66419
1986,Schleswig-Holstein,Intermediate School Degree,0.24146,75,257,0.18903,0.29388
1986,Hamburg,Secondary School Degree,0.55200,110,199,0.48273,0.62127
1986,Hamburg,Intermediate School Degree,0.24681,52,199,0.18675,0.30686
1986,Hamburg,Other Degree,0.03439,37,199,0.00901,0.05977
1986,Lower Saxony,Secondary School Degree,0.59210,584,1036,0.56216,0.62204
1986,Lower Saxony,Intermediate School Degree,0.23377,237,1036,0.20799,0.25956
1986,Lower Saxony,Upper Secondary Degree,0.09691,107,1036,0.07889,0.11493
1986,Lower Saxony,Other Degree,0.02026,69,1036,0.01168,0.02885
1986,Lower Saxony,"Dropout, No School Degree",0.01313,39,1036,0.00619,0.02006
1986,Bremen,Secondary School Degree,0.67719,62,62,0.55986,0.79452
1986,North Rhine-Westphalia,Secondary School Degree,0.57132,1321,2815,0.55304,0.58961
1986,North Rhine-Westphalia,Intermediate School Degree,0.19477,476,2815,0.18013,0.20940
1986,North Rhine-Westphalia,Technical School Degree,0.03788,94,2815,0.03083,0.04494
1986,North Rhine-Westphalia,Upper Secondary Degree,0.11367,289,2815,0.10195,0.12540
1986,North Rhine-Westphalia,Other Degree,0.02842,298,2815,0.02228,0.03456
1986,North Rhine-Westphalia,"Dropout, No School Degree",0.02720,212,2815,0.02119,0.03321
1986,North Rhine-Westphalia,No School Degree Yet,0.02264,75,2815,0.01714,0.02813
1986,North Rhine-Westphalia,No School Attended,0.00409,50,2815,0.00173,0.00645
1986,Hesse,Secondary School Degree,0.52819,443,992,0.49711,0.55927
1986,Hesse,Intermediate School Degree,0.21500,169,992,0.18943,0.24058
1986,Hesse,Technical School Degree,0.03808,32,992,0.02616,0.04999
1986,Hesse,Upper Secondary Degree,0.14804,117,992,0.12593,0.17015
1986,Hesse,Other Degree,0.03549,157,992,0.02397,0.04701
1986,Hesse,"Dropout, No School Degree",0.01967,74,992,0.01103,0.02832
1986,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.69354,483,730,0.66007,0.72700
1986,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.17261,113,730,0.14518,0.20005
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Degree,0.05517,44,730,0.03860,0.07175
1986,"Rhineland-Palatinate, Saarland",Other Degree,0.02382,47,730,0.01275,0.03489
1986,"Rhineland-Palatinate, Saarland","Dropout, No School Degree",0.02284,43,730,0.01200,0.03369
1986,Baden-Wuerttemberg,Secondary School Degree,0.60127,926,1953,0.57955,0.62300
1986,Baden-Wuerttemberg,Intermediate School Degree,0.19528,291,1953,0.17770,0.21287
1986,Baden-Wuerttemberg,Technical School Degree,0.03479,50,1953,0.02666,0.04292
1986,Baden-Wuerttemberg,Upper Secondary Degree,0.08835,131,1953,0.07576,0.10094
1986,Baden-Wuerttemberg,Other Degree,0.03690,293,1953,0.02854,0.04527
