year,pgisced97,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,1st Quintile,"Dropout, No School Degree",0.69866,245,342,0.64996,0.74736
1984,Primary Level,1st Quintile,No School Attended,0.20150,97,342,0.15892,0.24407
1984,Primary Level,2nd Quintile,"Dropout, No School Degree",0.74435,182,227,0.68747,0.80122
1984,Primary Level,2nd Quintile,No School Attended,0.13711,45,227,0.09227,0.18196
1984,Primary Level,3rd Quintile,"Dropout, No School Degree",0.72456,129,129,0.64716,0.80195
1984,Primary Level,4th Quintile,"Dropout, No School Degree",0.81919,134,134,0.75378,0.88460
1984,Primary Level,5th Quintile,"Dropout, No School Degree",0.88339,68,68,0.80653,0.96024
1984,Lower Secondary Level,1st Quintile,Secondary School Degree,0.84860,624,939,0.82566,0.87154
1984,Lower Secondary Level,1st Quintile,Intermediate School Degree,0.10078,79,939,0.08152,0.12005
1984,Lower Secondary Level,1st Quintile,Other Degree,0.05062,236,939,0.03659,0.06465
1984,Lower Secondary Level,2nd Quintile,Secondary School Degree,0.82942,566,828,0.80378,0.85505
1984,Lower Secondary Level,2nd Quintile,Intermediate School Degree,0.12947,97,828,0.10659,0.15236
1984,Lower Secondary Level,2nd Quintile,Other Degree,0.04111,165,828,0.02758,0.05464
1984,Lower Secondary Level,3rd Quintile,Secondary School Degree,0.79001,454,704,0.75991,0.82012
1984,Lower Secondary Level,3rd Quintile,Intermediate School Degree,0.17008,111,704,0.14230,0.19785
1984,Lower Secondary Level,3rd Quintile,Other Degree,0.03991,139,704,0.02544,0.05438
1984,Lower Secondary Level,4th Quintile,Secondary School Degree,0.76470,369,586,0.73032,0.79907
1984,Lower Secondary Level,4th Quintile,Intermediate School Degree,0.19614,98,586,0.16396,0.22832
1984,Lower Secondary Level,4th Quintile,Other Degree,0.03916,119,586,0.02344,0.05488
1984,Lower Secondary Level,5th Quintile,Secondary School Degree,0.70211,239,385,0.65637,0.74785
1984,Lower Secondary Level,5th Quintile,Intermediate School Degree,0.27186,92,385,0.22736,0.31636
1984,Lower Secondary Level,5th Quintile,Other Degree,0.02603,54,385,0.01010,0.04196
1984,Upper Secondary Level,1st Quintile,Secondary School Degree,0.75512,577,864,0.72643,0.78381
1984,Upper Secondary Level,1st Quintile,Intermediate School Degree,0.09819,77,864,0.07833,0.11804
1984,Upper Secondary Level,1st Quintile,Upper Secondary Degree,0.08850,77,864,0.06955,0.10745
1984,Upper Secondary Level,1st Quintile,Other Degree,0.03303,133,864,0.02111,0.04495
1984,Upper Secondary Level,2nd Quintile,Secondary School Degree,0.76534,741,1079,0.74004,0.79064
1984,Upper Secondary Level,2nd Quintile,Intermediate School Degree,0.15101,148,1079,0.12963,0.17238
1984,Upper Secondary Level,2nd Quintile,Upper Secondary Degree,0.04366,48,1079,0.03146,0.05585
1984,Upper Secondary Level,2nd Quintile,Other Degree,0.02095,108,1079,0.01240,0.02950
1984,Upper Secondary Level,2nd Quintile,"Dropout, No School Degree",0.00795,34,1079,0.00265,0.01325
1984,Upper Secondary Level,3rd Quintile,Secondary School Degree,0.71602,760,1137,0.68980,0.74224
1984,Upper Secondary Level,3rd Quintile,Intermediate School Degree,0.21842,228,1137,0.19440,0.24245
1984,Upper Secondary Level,3rd Quintile,Upper Secondary Degree,0.03789,43,1137,0.02678,0.04899
1984,Upper Secondary Level,3rd Quintile,Other Degree,0.02316,106,1137,0.01441,0.03190
1984,Upper Secondary Level,4th Quintile,Secondary School Degree,0.65589,771,1254,0.62959,0.68220
1984,Upper Secondary Level,4th Quintile,Intermediate School Degree,0.27179,322,1254,0.24715,0.29642
1984,Upper Secondary Level,4th Quintile,Upper Secondary Degree,0.04892,58,1254,0.03698,0.06086
1984,Upper Secondary Level,4th Quintile,Other Degree,0.01607,103,1254,0.00911,0.02304
1984,Upper Secondary Level,5th Quintile,Secondary School Degree,0.57997,670,1213,0.55218,0.60775
1984,Upper Secondary Level,5th Quintile,Intermediate School Degree,0.36374,424,1213,0.33666,0.39083
1984,Upper Secondary Level,5th Quintile,Upper Secondary Degree,0.03333,43,1213,0.02322,0.04343
1984,Upper Secondary Level,5th Quintile,Other Degree,0.01436,76,1213,0.00767,0.02106
1984,Post-secondary Non-tertiary Level,1st Quintile,Other Degree,0.23440,33,33,0.08762,0.38118
1984,Post-secondary Non-tertiary Level,5th Quintile,Upper Secondary Degree,0.63097,42,42,0.48326,0.77868
1984,First Stage of Tertiary Education,1st Quintile,Secondary School Degree,0.43899,31,31,0.26140,0.61657
1984,First Stage of Tertiary Education,2nd Quintile,Secondary School Degree,0.55245,44,44,0.40383,0.70107
1984,First Stage of Tertiary Education,3rd Quintile,Secondary School Degree,0.54078,60,93,0.43895,0.64261
1984,First Stage of Tertiary Education,3rd Quintile,Intermediate School Degree,0.29426,33,93,0.20114,0.38739
1984,First Stage of Tertiary Education,4th Quintile,Secondary School Degree,0.47837,78,129,0.39183,0.56491
1984,First Stage of Tertiary Education,4th Quintile,Intermediate School Degree,0.31339,51,129,0.23303,0.39376
1984,First Stage of Tertiary Education,5th Quintile,Secondary School Degree,0.38231,84,199,0.31462,0.45000
1984,First Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.32874,78,199,0.26330,0.39417
1984,First Stage of Tertiary Education,5th Quintile,Technical School Degree,0.16341,37,199,0.11191,0.21491
1984,Second Stage of Tertiary Education,1st Quintile,Upper Secondary Degree,0.72658,49,49,0.60049,0.85268
1984,Second Stage of Tertiary Education,3rd Quintile,Upper Secondary Degree,0.61491,64,64,0.49474,0.73507
1984,Second Stage of Tertiary Education,4th Quintile,Technical School Degree,0.19884,34,144,0.13342,0.26426
1984,Second Stage of Tertiary Education,4th Quintile,Upper Secondary Degree,0.65206,110,144,0.57399,0.73013
1984,Second Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.09862,36,351,0.06738,0.12985
1984,Second Stage of Tertiary Education,5th Quintile,Technical School Degree,0.15546,55,351,0.11750,0.19342
1984,Second Stage of Tertiary Education,5th Quintile,Upper Secondary Degree,0.70130,260,351,0.65335,0.74925
1985,Primary Level,1st Quintile,"Dropout, No School Degree",0.70215,219,294,0.64978,0.75451
1985,Primary Level,1st Quintile,No School Attended,0.15443,75,294,0.11305,0.19580
1985,Primary Level,2nd Quintile,"Dropout, No School Degree",0.66805,131,173,0.59767,0.73843
1985,Primary Level,2nd Quintile,No School Attended,0.16569,42,173,0.11013,0.22126
1985,Primary Level,3rd Quintile,"Dropout, No School Degree",0.77160,124,124,0.69741,0.84579
1985,Primary Level,4th Quintile,"Dropout, No School Degree",0.86391,105,105,0.79801,0.92981
1985,Primary Level,5th Quintile,"Dropout, No School Degree",0.79529,47,47,0.67869,0.91189
1985,Lower Secondary Level,1st Quintile,Secondary School Degree,0.81296,551,849,0.78672,0.83921
1985,Lower Secondary Level,1st Quintile,Intermediate School Degree,0.13618,102,849,0.11310,0.15927
1985,Lower Secondary Level,1st Quintile,Other Degree,0.05085,196,849,0.03607,0.06564
1985,Lower Secondary Level,2nd Quintile,Secondary School Degree,0.83198,487,717,0.80460,0.85937
1985,Lower Secondary Level,2nd Quintile,Intermediate School Degree,0.12412,80,717,0.09997,0.14827
1985,Lower Secondary Level,2nd Quintile,Other Degree,0.04390,150,717,0.02889,0.05891
1985,Lower Secondary Level,3rd Quintile,Secondary School Degree,0.78185,438,665,0.75043,0.81326
1985,Lower Secondary Level,3rd Quintile,Intermediate School Degree,0.18291,110,665,0.15350,0.21231
1985,Lower Secondary Level,3rd Quintile,Other Degree,0.03525,117,665,0.02122,0.04927
1985,Lower Secondary Level,4th Quintile,Secondary School Degree,0.75579,312,490,0.71772,0.79387
1985,Lower Secondary Level,4th Quintile,Intermediate School Degree,0.20696,86,490,0.17105,0.24287
1985,Lower Secondary Level,4th Quintile,Other Degree,0.03725,92,490,0.02046,0.05403
1985,Lower Secondary Level,5th Quintile,Secondary School Degree,0.67200,210,340,0.62202,0.72198
1985,Lower Secondary Level,5th Quintile,Intermediate School Degree,0.30964,96,340,0.26042,0.35886
1985,Lower Secondary Level,5th Quintile,Other Degree,0.01836,34,340,0.00407,0.03265
1985,Upper Secondary Level,1st Quintile,Secondary School Degree,0.71469,512,809,0.68356,0.74583
1985,Upper Secondary Level,1st Quintile,Intermediate School Degree,0.14170,102,809,0.11765,0.16574
1985,Upper Secondary Level,1st Quintile,Upper Secondary Degree,0.09206,75,809,0.07213,0.11200
1985,Upper Secondary Level,1st Quintile,Other Degree,0.03104,120,809,0.01908,0.04300
1985,Upper Secondary Level,2nd Quintile,Secondary School Degree,0.76379,690,975,0.73712,0.79047
1985,Upper Secondary Level,2nd Quintile,Intermediate School Degree,0.15125,134,975,0.12875,0.17375
1985,Upper Secondary Level,2nd Quintile,Upper Secondary Degree,0.04355,46,975,0.03073,0.05636
1985,Upper Secondary Level,2nd Quintile,Other Degree,0.02562,105,975,0.01570,0.03554
1985,Upper Secondary Level,3rd Quintile,Secondary School Degree,0.72432,698,1033,0.69706,0.75158
1985,Upper Secondary Level,3rd Quintile,Intermediate School Degree,0.21461,211,1033,0.18956,0.23966
1985,Upper Secondary Level,3rd Quintile,Upper Secondary Degree,0.03359,41,1033,0.02259,0.04458
1985,Upper Secondary Level,3rd Quintile,Other Degree,0.01876,83,1033,0.01048,0.02703
1985,Upper Secondary Level,4th Quintile,Secondary School Degree,0.65620,701,1129,0.62848,0.68392
1985,Upper Secondary Level,4th Quintile,Intermediate School Degree,0.27814,300,1129,0.25199,0.30429
1985,Upper Secondary Level,4th Quintile,Upper Secondary Degree,0.03992,48,1129,0.02849,0.05134
1985,Upper Secondary Level,4th Quintile,Other Degree,0.01486,80,1129,0.00780,0.02192
1985,Upper Secondary Level,5th Quintile,Secondary School Degree,0.55838,574,1069,0.52860,0.58816
1985,Upper Secondary Level,5th Quintile,Intermediate School Degree,0.38593,394,1069,0.35673,0.41512
1985,Upper Secondary Level,5th Quintile,Upper Secondary Degree,0.03272,40,1069,0.02205,0.04339
1985,Upper Secondary Level,5th Quintile,Other Degree,0.01465,61,1069,0.00744,0.02185
1985,Post-secondary Non-tertiary Level,5th Quintile,Upper Secondary Degree,0.64173,36,36,0.48288,0.80059
1985,First Stage of Tertiary Education,2nd Quintile,Secondary School Degree,0.43292,33,33,0.26125,0.60460
