"pgpsbil","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Hauptschulabschluss","1824","0.942532126305014","0.932887714536625","0.952176538073404"
"Hauptschulabschluss","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Hauptschulabschluss","3298","0.958502495422151","0.952383608769354","0.964621382074949"
"Hauptschulabschluss","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Hauptschulabschluss","1984","66 und älter","(noch) kein Abschluss","","","",""
"Hauptschulabschluss","1984","66 und älter","Hauptschulabschluss","967","0.9961654214291","0.992277987437366","1.00005285542083"
"Hauptschulabschluss","1984","66 und älter","Realschulabschluss","","","",""
"Hauptschulabschluss","1984","66 und älter","(Fach-)Abitur","","","",""
"Hauptschulabschluss","1984","66 und älter","AkademikerInnen","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Realschulabschluss","1008","1","1","1"
"Realschulabschluss","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","Realschulabschluss","702","1","1","1"
"Realschulabschluss","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","AkademikerInnen","52","0.114637269012284","0.0861960565997821","0.143078481424786"
"Realschulabschluss","1984","66 und älter","(noch) kein Abschluss","","","",""
"Realschulabschluss","1984","66 und älter","Hauptschulabschluss","","","",""
"Realschulabschluss","1984","66 und älter","Realschulabschluss","178","1","1","1"
"Realschulabschluss","1984","66 und älter","(Fach-)Abitur","","","",""
"Realschulabschluss","1984","66 und älter","AkademikerInnen","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","(Fach-)Abitur","121","0.246198831498819","0.210925849487553","0.281471813510084"
"Fachhochschulreife","1984","16-34 Jahre alt","AkademikerInnen","33","0.138083153032195","0.0951467871636179","0.181019518900772"
"Fachhochschulreife","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","(Fach-)Abitur","63","0.354366582262288","0.295074395585096","0.41365876893948"
"Fachhochschulreife","1984","35-65 Jahre alt","AkademikerInnen","88","0.202829691548827","0.166932051850942","0.238727331246711"
"Fachhochschulreife","1984","66 und älter","(noch) kein Abschluss","","","",""
"Fachhochschulreife","1984","66 und älter","Hauptschulabschluss","","","",""
"Fachhochschulreife","1984","66 und älter","Realschulabschluss","","","",""
"Fachhochschulreife","1984","66 und älter","(Fach-)Abitur","","","",""
"Fachhochschulreife","1984","66 und älter","AkademikerInnen","","","",""
"Abitur","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
