year,bula_h,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Secondary School Degree,0.45065,82,123,0.36236,0.53894
1985,Schleswig-Holstein,Urban regions,Intermediate School Degree,0.20056,41,123,0.12950,0.27161
1985,Schleswig-Holstein,Rural regions,Secondary School Degree,0.54899,118,159,0.47140,0.62658
1985,Schleswig-Holstein,Rural regions,Intermediate School Degree,0.18288,41,159,0.12260,0.24315
1985,Hamburg,Urban regions,Secondary School Degree,0.49695,117,214,0.42981,0.56410
1985,Hamburg,Urban regions,Intermediate School Degree,0.22747,60,214,0.17118,0.28377
1985,Hamburg,Urban regions,Other Degree,0.02944,37,214,0.00674,0.05214
1985,Lower Saxony,Urban regions,Secondary School Degree,0.46530,250,450,0.41916,0.51144
1985,Lower Saxony,Urban regions,Intermediate School Degree,0.20538,107,450,0.16802,0.24275
1985,Lower Saxony,Urban regions,Upper Secondary Degree,0.09998,59,450,0.07223,0.12772
1985,Lower Saxony,Urban regions,Other Degree,0.01304,34,450,0.00255,0.02353
1985,Lower Saxony,Rural regions,Secondary School Degree,0.53636,352,542,0.49433,0.57838
1985,Lower Saxony,Rural regions,Intermediate School Degree,0.17279,119,542,0.14093,0.20465
1985,Lower Saxony,Rural regions,Upper Secondary Degree,0.05222,39,542,0.03347,0.07097
1985,Lower Saxony,Rural regions,Other Degree,0.01656,32,542,0.00581,0.02732
1985,Bremen,Urban regions,Secondary School Degree,0.64229,70,70,0.52919,0.75539
1985,North Rhine-Westphalia,Urban regions,Secondary School Degree,0.47877,1364,2845,0.46041,0.49713
1985,North Rhine-Westphalia,Urban regions,Intermediate School Degree,0.15168,455,2845,0.13850,0.16487
1985,North Rhine-Westphalia,Urban regions,Technical School Degree,0.03063,93,2845,0.02430,0.03696
1985,North Rhine-Westphalia,Urban regions,Upper Secondary Degree,0.09123,279,2845,0.08065,0.10181
1985,North Rhine-Westphalia,Urban regions,Other Degree,0.02428,317,2845,0.01862,0.02994
1985,North Rhine-Westphalia,Urban regions,"Dropout, No School Degree",0.02107,221,2845,0.01579,0.02635
1985,North Rhine-Westphalia,Urban regions,No School Degree Yet,0.01927,65,2845,0.01422,0.02432
1985,North Rhine-Westphalia,Urban regions,No School Attended,0.00353,51,2845,0.00135,0.00571
1985,North Rhine-Westphalia,Rural regions,Secondary School Degree,0.52063,44,44,0.37131,0.66995
1985,Hesse,Urban regions,Secondary School Degree,0.46962,419,911,0.43719,0.50205
1985,Hesse,Urban regions,Intermediate School Degree,0.17256,149,911,0.14801,0.19712
1985,Hesse,Urban regions,Upper Secondary Degree,0.12212,105,911,0.10084,0.14339
1985,Hesse,Urban regions,Other Degree,0.03283,161,911,0.02125,0.04441
1985,Hesse,Urban regions,"Dropout, No School Degree",0.01689,77,911,0.00851,0.02526
1985,Hesse,Rural regions,Secondary School Degree,0.49681,78,110,0.40295,0.59068
1985,Hesse,Rural regions,Intermediate School Degree,0.20705,32,110,0.13098,0.28312
1985,"Rhineland-Palatinate, Saarland",Urban regions,Secondary School Degree,0.58368,380,598,0.54413,0.62322
1985,"Rhineland-Palatinate, Saarland",Urban regions,Intermediate School Degree,0.14038,90,598,0.11251,0.16825
1985,"Rhineland-Palatinate, Saarland",Urban regions,Upper Secondary Degree,0.04914,35,598,0.03180,0.06648
1985,"Rhineland-Palatinate, Saarland",Urban regions,Other Degree,0.02074,42,598,0.00931,0.03218
1985,"Rhineland-Palatinate, Saarland",Urban regions,"Dropout, No School Degree",0.02517,51,598,0.01261,0.03774
1985,"Rhineland-Palatinate, Saarland",Rural regions,Secondary School Degree,0.67454,108,108,0.58576,0.76332
1985,Baden-Wuerttemberg,Urban regions,Secondary School Degree,0.49051,797,1717,0.46685,0.51416
1985,Baden-Wuerttemberg,Urban regions,Intermediate School Degree,0.16045,247,1717,0.14309,0.17782
1985,Baden-Wuerttemberg,Urban regions,Technical School Degree,0.03079,48,1717,0.02261,0.03896
1985,Baden-Wuerttemberg,Urban regions,Upper Secondary Degree,0.06057,100,1717,0.04928,0.07186
1985,Baden-Wuerttemberg,Urban regions,Other Degree,0.02968,261,1717,0.02165,0.03771
1985,Baden-Wuerttemberg,Urban regions,"Dropout, No School Degree",0.01920,178,1717,0.01271,0.02569
1985,Baden-Wuerttemberg,Urban regions,No School Degree Yet,0.01994,38,1717,0.01332,0.02655
1985,Baden-Wuerttemberg,Urban regions,No School Attended,0.00427,48,1717,0.00118,0.00735
1985,Baden-Wuerttemberg,Rural regions,Secondary School Degree,0.51418,157,231,0.44959,0.57877
1985,Baden-Wuerttemberg,Rural regions,Intermediate School Degree,0.11225,35,231,0.07145,0.15304
1985,Baden-Wuerttemberg,Rural regions,Other Degree,0.02413,39,231,0.00430,0.04397
1985,Bavaria,Urban regions,Secondary School Degree,0.45574,449,974,0.42445,0.48703
1985,Bavaria,Urban regions,Intermediate School Degree,0.21685,218,974,0.19096,0.24274
1985,Bavaria,Urban regions,Technical School Degree,0.03123,34,974,0.02030,0.04216
1985,Bavaria,Urban regions,Upper Secondary Degree,0.10586,118,974,0.08652,0.12519
1985,Bavaria,Urban regions,Other Degree,0.02703,121,974,0.01684,0.03722
1985,Bavaria,Urban regions,"Dropout, No School Degree",0.00650,34,974,0.00145,0.01155
1985,Bavaria,Rural regions,Secondary School Degree,0.56203,550,852,0.52870,0.59536
1985,Bavaria,Rural regions,Intermediate School Degree,0.14177,148,852,0.11833,0.16521
1985,Bavaria,Rural regions,Upper Secondary Degree,0.04448,46,852,0.03063,0.05833
1985,Bavaria,Rural regions,Other Degree,0.01821,71,852,0.00923,0.02719
1985,Bavaria,Rural regions,"Dropout, No School Degree",0.01633,37,852,0.00781,0.02485
1985,Berlin,Urban regions,Secondary School Degree,0.40667,140,308,0.35172,0.46161
1985,Berlin,Urban regions,Intermediate School Degree,0.20906,77,308,0.16357,0.25455
1985,Berlin,Urban regions,Upper Secondary Degree,0.13087,46,308,0.09315,0.16860
1985,Berlin,Urban regions,Other Degree,0.03088,45,308,0.01153,0.05023
1986,Schleswig-Holstein,Urban regions,Secondary School Degree,0.44919,75,111,0.35624,0.54215
1986,Schleswig-Holstein,Urban regions,Intermediate School Degree,0.19484,36,111,0.12083,0.26886
1986,Schleswig-Holstein,Rural regions,Secondary School Degree,0.53998,107,146,0.45885,0.62110
1986,Schleswig-Holstein,Rural regions,Intermediate School Degree,0.20322,39,146,0.13772,0.26872
1986,Hamburg,Urban regions,Secondary School Degree,0.49679,107,196,0.42661,0.56696
1986,Hamburg,Urban regions,Intermediate School Degree,0.22930,52,196,0.17030,0.28831
1986,Hamburg,Urban regions,Other Degree,0.03195,37,196,0.00727,0.05663
1986,Lower Saxony,Urban regions,Secondary School Degree,0.47317,255,468,0.42789,0.51845
1986,Lower Saxony,Urban regions,Intermediate School Degree,0.21303,116,468,0.17589,0.25016
1986,Lower Saxony,Urban regions,Upper Secondary Degree,0.10268,62,468,0.07515,0.13021
1986,Lower Saxony,Urban regions,Other Degree,0.01344,35,468,0.00300,0.02389
1986,Lower Saxony,Rural regions,Secondary School Degree,0.51687,329,529,0.47425,0.55950
1986,Lower Saxony,Rural regions,Intermediate School Degree,0.18323,121,529,0.15023,0.21623
1986,Lower Saxony,Rural regions,Upper Secondary Degree,0.06452,45,529,0.04357,0.08548
1986,Lower Saxony,Rural regions,Other Degree,0.01987,34,529,0.00797,0.03178
1986,Bremen,Urban regions,Secondary School Degree,0.62695,62,62,0.50558,0.74831
1986,North Rhine-Westphalia,Urban regions,Secondary School Degree,0.46704,1280,2746,0.44838,0.48571
1986,North Rhine-Westphalia,Urban regions,Intermediate School Degree,0.15794,457,2746,0.14430,0.17159
1986,North Rhine-Westphalia,Urban regions,Technical School Degree,0.03118,92,2746,0.02468,0.03768
1986,North Rhine-Westphalia,Urban regions,Upper Secondary Degree,0.09426,284,2746,0.08333,0.10519
1986,North Rhine-Westphalia,Urban regions,Other Degree,0.02399,298,2746,0.01827,0.02972
1986,North Rhine-Westphalia,Urban regions,"Dropout, No School Degree",0.02183,210,2746,0.01636,0.02730
1986,North Rhine-Westphalia,Urban regions,No School Degree Yet,0.01911,75,2746,0.01399,0.02423
1986,North Rhine-Westphalia,Urban regions,No School Attended,0.00345,50,2746,0.00126,0.00565
1986,North Rhine-Westphalia,Rural regions,Secondary School Degree,0.50081,41,41,0.34586,0.65576
1986,Hesse,Urban regions,Secondary School Degree,0.43930,372,828,0.40547,0.47312
1986,Hesse,Urban regions,Intermediate School Degree,0.16752,136,828,0.14207,0.19298
1986,Hesse,Urban regions,Upper Secondary Degree,0.13468,108,828,0.11142,0.15795
1986,Hesse,Urban regions,Other Degree,0.03092,144,828,0.01912,0.04271
1986,Hesse,Urban regions,"Dropout, No School Degree",0.01656,68,828,0.00786,0.02525
1986,Hesse,Rural regions,Secondary School Degree,0.46925,71,104,0.37287,0.56563
1986,Hesse,Rural regions,Intermediate School Degree,0.25099,33,104,0.16726,0.33473
1986,"Rhineland-Palatinate, Saarland",Urban regions,Secondary School Degree,0.56928,371,588,0.52922,0.60934
1986,"Rhineland-Palatinate, Saarland",Urban regions,Intermediate School Degree,0.15403,96,588,0.12483,0.18323
1986,"Rhineland-Palatinate, Saarland",Urban regions,Upper Secondary Degree,0.04651,34,588,0.02947,0.06355
1986,"Rhineland-Palatinate, Saarland",Urban regions,Other Degree,0.02281,44,588,0.01073,0.03489
1986,"Rhineland-Palatinate, Saarland",Urban regions,"Dropout, No School Degree",0.02459,43,588,0.01206,0.03711
1986,"Rhineland-Palatinate, Saarland",Rural regions,Secondary School Degree,0.65146,112,112,0.56281,0.74011
1986,Baden-Wuerttemberg,Urban regions,Secondary School Degree,0.48513,768,1627,0.46083,0.50942
1986,Baden-Wuerttemberg,Urban regions,Intermediate School Degree,0.16817,258,1627,0.14999,0.18635
1986,Baden-Wuerttemberg,Urban regions,Technical School Degree,0.03040,44,1627,0.02205,0.03874
1986,Baden-Wuerttemberg,Urban regions,Upper Secondary Degree,0.06770,107,1627,0.05548,0.07991
1986,Baden-Wuerttemberg,Urban regions,Other Degree,0.02937,251,1627,0.02116,0.03758
1986,Baden-Wuerttemberg,Urban regions,"Dropout, No School Degree",0.01930,157,1627,0.01261,0.02598
1986,Baden-Wuerttemberg,Urban regions,No School Attended,0.00410,42,1627,0.00099,0.00720
1986,Baden-Wuerttemberg,Rural regions,Secondary School Degree,0.51429,158,233,0.44997,0.57860
1986,Baden-Wuerttemberg,Rural regions,Intermediate School Degree,0.11245,33,233,0.07180,0.15311
1986,Baden-Wuerttemberg,Rural regions,Other Degree,0.03366,42,233,0.01045,0.05686
1986,Bavaria,Urban regions,Secondary School Degree,0.45596,422,889,0.42321,0.48872
1986,Bavaria,Urban regions,Intermediate School Degree,0.20702,198,889,0.18037,0.23367
1986,Bavaria,Urban regions,Technical School Degree,0.02972,31,889,0.01855,0.04089
1986,Bavaria,Urban regions,Upper Secondary Degree,0.11520,119,889,0.09420,0.13620
1986,Bavaria,Urban regions,Other Degree,0.02916,119,889,0.01810,0.04023
