year,bula_h,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Secondary School Degree,0.56476,38,38,0.40501,0.72451
1984,Schleswig-Holstein,2nd Quintile,Secondary School Degree,0.58936,54,54,0.45692,0.72181
1984,Schleswig-Holstein,3rd Quintile,Secondary School Degree,0.47044,34,34,0.30014,0.64074
1984,Schleswig-Holstein,4th Quintile,Secondary School Degree,0.57457,59,59,0.44733,0.70181
1984,Schleswig-Holstein,5th Quintile,Intermediate School Degree,0.37454,38,38,0.21859,0.53050
1984,Hamburg,4th Quintile,Secondary School Degree,0.41818,31,31,0.24167,0.59469
1984,Hamburg,5th Quintile,Secondary School Degree,0.51845,33,33,0.34533,0.69157
1984,Lower Saxony,1st Quintile,Secondary School Degree,0.56989,174,207,0.50228,0.63750
1984,Lower Saxony,1st Quintile,Other Degree,0.02622,33,207,0.00440,0.04804
1984,Lower Saxony,2nd Quintile,Secondary School Degree,0.56651,149,192,0.49623,0.63679
1984,Lower Saxony,2nd Quintile,Intermediate School Degree,0.16705,43,192,0.11415,0.21995
1984,Lower Saxony,3rd Quintile,Secondary School Degree,0.51314,132,181,0.44012,0.58616
1984,Lower Saxony,3rd Quintile,Intermediate School Degree,0.18954,49,181,0.13229,0.24680
1984,Lower Saxony,4th Quintile,Secondary School Degree,0.52800,139,188,0.45645,0.59956
1984,Lower Saxony,4th Quintile,Intermediate School Degree,0.17673,49,188,0.12206,0.23140
1984,Lower Saxony,5th Quintile,Secondary School Degree,0.36315,88,196,0.29565,0.43065
1984,Lower Saxony,5th Quintile,Intermediate School Degree,0.27731,66,196,0.21447,0.34014
1984,Lower Saxony,5th Quintile,Upper Secondary Degree,0.18063,42,196,0.12663,0.23463
1984,North Rhine-Westphalia,1st Quintile,Secondary School Degree,0.48592,343,718,0.44934,0.52251
1984,North Rhine-Westphalia,1st Quintile,Intermediate School Degree,0.08110,61,718,0.06111,0.10108
1984,North Rhine-Westphalia,1st Quintile,Upper Secondary Degree,0.05198,41,718,0.03573,0.06823
1984,North Rhine-Westphalia,1st Quintile,Other Degree,0.03516,138,718,0.02167,0.04864
1984,North Rhine-Westphalia,1st Quintile,"Dropout, No School Degree",0.03019,91,718,0.01767,0.04272
1984,North Rhine-Westphalia,1st Quintile,No School Attended,0.01219,44,718,0.00416,0.02023
1984,North Rhine-Westphalia,2nd Quintile,Secondary School Degree,0.55160,334,564,0.51052,0.59269
1984,North Rhine-Westphalia,2nd Quintile,Intermediate School Degree,0.09845,66,564,0.07384,0.12305
1984,North Rhine-Westphalia,2nd Quintile,Other Degree,0.03101,90,564,0.01669,0.04533
1984,North Rhine-Westphalia,2nd Quintile,"Dropout, No School Degree",0.03115,74,564,0.01680,0.04550
1984,North Rhine-Westphalia,3rd Quintile,Secondary School Degree,0.54779,330,552,0.50623,0.58935
1984,North Rhine-Westphalia,3rd Quintile,Intermediate School Degree,0.12301,80,552,0.09558,0.15043
1984,North Rhine-Westphalia,3rd Quintile,Upper Secondary Degree,0.06410,40,552,0.04365,0.08456
1984,North Rhine-Westphalia,3rd Quintile,Other Degree,0.02193,60,552,0.00970,0.03415
