year,pgpsbil,bula_h,sampreg,proportion,n,lower_confidence,upper_confidence
1984,Secondary School Degree,North Rhine-Westphalia,West,0.25947473404255317,16099,0.2527034021763326,0.26624606590877375
1984,Secondary School Degree,Bavaria,West,0.18085106382978725,16099,0.17490542408872278,0.1867967035708517
1984,Secondary School Degree,Baden-Wuerttemberg,West,0.1735372340425532,16099,0.16768711635536002,0.17938735172974637
1984,Secondary School Degree,Lower Saxony,West,0.11153590425531915,16099,0.10667313224313432,0.11639867626750397
1984,Secondary School Degree,Hesse,West,0.08942819148936171,16099,0.0850200964910208,0.09383628648770262
1984,Secondary School Degree,"Rhineland-Palatinate, Saarland",West,0.08826462765957446,16099,0.08388250661051569,0.09264674870863324
1984,Secondary School Degree,Schleswig-Holstein,West,0.0347406914893617,16099,0.031911920107674574,0.03756946287104883
1984,Secondary School Degree,Berlin,West,0.028257978723404256,16099,0.02569819861580177,0.030817758831006743
1984,Secondary School Degree,Hamburg,West,0.021775265957446808,16099,0.019520727358853324,0.024029804556040292
1984,Secondary School Degree,Bremen,West,0.012134308510638297,16099,0.01044303795213768,0.013825579069138914
1984,Intermediate School Degree,North Rhine-Westphalia,West,0.24921465968586387,16099,0.2425327391589365,0.2558965802127912
1984,Intermediate School Degree,Bavaria,West,0.1968586387434555,16099,0.19071635526394307,0.20300092222296792
1984,Intermediate School Degree,Baden-Wuerttemberg,West,0.14712041884816754,16099,0.14164853391649443,0.15259230377984065
1984,Intermediate School Degree,Lower Saxony,West,0.12041884816753927,16099,0.11539146701342759,0.12544622932165095
1984,Intermediate School Degree,Hesse,West,0.09738219895287958,16099,0.09280237950709536,0.10196201839866381
1984,Intermediate School Degree,"Rhineland-Palatinate, Saarland",West,0.05759162303664921,16099,0.05399283847244422,0.06119040760085421
1984,Intermediate School Degree,Schleswig-Holstein,West,0.04764397905759162,16099,0.04435349114631957,0.050934466968863674
1984,Intermediate School Degree,Berlin,West,0.041361256544502616,16099,0.03828529450367682,0.04443721858532841
1984,Intermediate School Degree,Hamburg,West,0.030366492146596858,16099,0.02771580945725688,0.03301717483593684
1984,Intermediate School Degree,Bremen,West,0.012041884816753926,16099,0.010356988728498502,0.01372678090500935
1984,Technical School Degree,North Rhine-Westphalia,West,0.30368098159509205,16099,0.29657752801123594,0.31078443517894816
1984,Technical School Degree,Baden-Wuerttemberg,West,0.18404907975460122,16099,0.1780628212836688,0.19003533822553365
1984,Technical School Degree,Bavaria,West,0.17791411042944785,16099,0.17200638347260577,0.18382183738628993
1984,Technical School Degree,Hesse,West,0.09202453987730061,16099,0.08755929270635994,0.09648978704824128
1984,Technical School Degree,Lower Saxony,West,0.08282208588957055,16099,0.07856456784463155,0.08707960393450954
1984,Technical School Degree,"Rhineland-Palatinate, Saarland",West,0.046012269938650305,16099,0.042775850170898605,0.049248689706402005
1984,Technical School Degree,Hamburg,West,0.03680981595092025,16099,0.033901145840240336,0.03971848606160016
1984,Technical School Degree,Berlin,West,0.03067484662576687,16099,0.028011163482132062,0.03333852976940168
1984,Technical School Degree,Schleswig-Holstein,West,0.03067484662576687,16099,0.028011163482132062,0.03333852976940168
1984,Technical School Degree,Bremen,West,0.015337423312883436,16099,0.013439072207673205,0.017235774418093666
1984,Upper Secondary Degree,North Rhine-Westphalia,West,0.2849740932642487,16099,0.27800108467591667,0.29194710185258077
1984,Upper Secondary Degree,Bavaria,West,0.18652849740932642,16099,0.18051121508288173,0.1925457797357711
1984,Upper Secondary Degree,Baden-Wuerttemberg,West,0.138860103626943,16099,0.13351837010607398,0.14420183714781204
1984,Upper Secondary Degree,Hesse,West,0.12435233160621761,16099,0.11925493664489548,0.12944972656753975
1984,Upper Secondary Degree,Lower Saxony,West,0.10259067357512953,16099,0.09790355596429855,0.10727779118596052
1984,Upper Secondary Degree,"Rhineland-Palatinate, Saarland",West,0.04870466321243523,16099,0.045379602516260976,0.052029723908609486
1984,Upper Secondary Degree,Berlin,West,0.04766839378238342,16099,0.04437710507752175,0.050959682487245084
1984,Upper Secondary Degree,Schleswig-Holstein,West,0.03212435233160622,16099,0.029400499790444616,0.03484820487276782
1984,Upper Secondary Degree,Hamburg,West,0.03005181347150259,16099,0.0274144728067834,0.03268915413622178
1984,Upper Secondary Degree,Bremen,West,0.004145077720207254,16099,0.0031525994718665596,0.005137555968547948
