"pgpsbil","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","1847","0.433360264938907","0.41903077761886","0.447689752258953"
"Hauptschulabschluss","1984","35-65 Jahre alt","3311","0.682429592257012","0.670916747909019","0.693942436605004"
"Hauptschulabschluss","1984","66 und älter","974","0.768398120420026","0.745269653259726","0.791526587580325"
"Realschulabschluss","1984","16-34 Jahre alt","1023","0.273485336590313","0.260595666238424","0.286375006942201"
"Realschulabschluss","1984","35-65 Jahre alt","755","0.151146247808722","0.142287979799589","0.160004515817855"
"Realschulabschluss","1984","66 und älter","182","0.146170816409466","0.126802204474968","0.165539428343965"
"Fachhochschulreife","1984","16-34 Jahre alt","154","0.0411212701049384","0.0353792104750938","0.0468633297347831"
"Fachhochschulreife","1984","35-65 Jahre alt","151","0.0300737848397044","0.0258500457082397","0.0342975239711691"
"Fachhochschulreife","1984","66 und älter","","","",""
"Abitur","1984","16-34 Jahre alt","518","0.140639358235499","0.13058640266319","0.150692313807807"
"Abitur","1984","35-65 Jahre alt","375","0.0742618223424542","0.0677775599195876","0.0807460847653207"
"Abitur","1984","66 und älter","74","0.0549375748031065","0.0424451238170995","0.0674300257891135"
"Anderer Abschluss","1984","16-34 Jahre alt","524","0.0328860305333073","0.0277290302925844","0.0380430307740303"
"Anderer Abschluss","1984","35-65 Jahre alt","922","0.035179121918542","0.0306229559246853","0.0397352879123987"
"Anderer Abschluss","1984","66 und älter","","","",""
"Ohne Abschluss verlassen","1984","16-34 Jahre alt","282","0.0260139129872077","0.021411010082535","0.0306168158918805"
"Ohne Abschluss verlassen","1984","35-65 Jahre alt","594","0.0212429312169201","0.0176769555810119","0.0248089068528283"
"Ohne Abschluss verlassen","1984","66 und älter","","","",""
"Noch kein Abschluss","1984","16-34 Jahre alt","209","0.05031116675206","0.0439903171650106","0.0566320163391094"
"Noch kein Abschluss","1984","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1984","66 und älter","","","",""
"Keine Schule besucht","1984","16-34 Jahre alt","37","0.00218265985776865","0.000833165262214035","0.00353215445332327"
"Keine Schule besucht","1984","35-65 Jahre alt","173","0.00566649961664546","0.00381016115914622","0.00752283807414471"
"Keine Schule besucht","1984","66 und älter","","","",""
"Hauptschulabschluss","1985","16-34 Jahre alt","1633","0.412508050262073","0.397433919328663","0.427582181195483"
"Hauptschulabschluss","1985","35-65 Jahre alt","3025","0.672939423683673","0.660789135346574","0.685089712020773"
"Hauptschulabschluss","1985","66 und älter","834","0.750763815269106","0.725384891145586","0.776142739392625"
"Realschulabschluss","1985","16-34 Jahre alt","981","0.287070505979344","0.273217861533085","0.300923150425604"
"Realschulabschluss","1985","35-65 Jahre alt","731","0.158814561896564","0.149348365014294","0.168280758778834"
"Realschulabschluss","1985","66 und älter","171","0.158709305489188","0.137271011021398","0.180147599956978"
"Fachhochschulreife","1985","16-34 Jahre alt","146","0.0430666805302251","0.0368504566600922","0.0492829044003579"
"Fachhochschulreife","1985","35-65 Jahre alt","132","0.0280908470385447","0.023811477874171","0.0323702162029184"
"Fachhochschulreife","1985","66 und älter","","","",""
"Abitur","1985","16-34 Jahre alt","498","0.143485475263837","0.132750860945399","0.154220089582276"
"Abitur","1985","35-65 Jahre alt","370","0.0781865453249315","0.0712335484697757","0.0851395421800874"
"Abitur","1985","66 und älter","64","0.0566545418992542","0.043091136544112","0.0702179472543964"
"Anderer Abschluss","1985","16-34 Jahre alt","404","0.0326608167049495","0.027218071308918","0.0381035621009811"
"Anderer Abschluss","1985","35-65 Jahre alt","818","0.0357666325794021","0.0309569700595986","0.0405762950992056"
"Anderer Abschluss","1985","66 und älter","","","",""
"Ohne Abschluss verlassen","1985","16-34 Jahre alt","214","0.0257665140014656","0.0209150315086529","0.0306179964942783"
"Ohne Abschluss verlassen","1985","35-65 Jahre alt","504","0.0206234793995729","0.0169426955716481","0.0243042632274977"
"Ohne Abschluss verlassen","1985","66 und älter","","","",""
"Noch kein Abschluss","1985","16-34 Jahre alt","193","0.0537501578321426","0.0468444549164686","0.0606558607478166"
"Noch kein Abschluss","1985","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1985","66 und älter","","","",""
"Keine Schule besucht","1985","16-34 Jahre alt","","","",""
"Keine Schule besucht","1985","35-65 Jahre alt","147","0.00557851007731131","0.00364952503100735","0.00750749512361528"
"Keine Schule besucht","1985","66 und älter","","","",""
