"pgpsbil","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1847","0.433360264938907","0.41903077761886","0.447689752258953"
"Hauptschulabschluss","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3311","0.682429592257012","0.670916747909019","0.693942436605004"
"Hauptschulabschluss","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","66 und älter","Westdeutschland, alte Bundeslaender","974","0.768398120420026","0.745269653259726","0.791526587580325"
"Hauptschulabschluss","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1023","0.273485336590313","0.260595666238424","0.286375006942201"
"Realschulabschluss","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","755","0.151146247808722","0.142287979799589","0.160004515817855"
"Realschulabschluss","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","66 und älter","Westdeutschland, alte Bundeslaender","182","0.146170816409466","0.126802204474968","0.165539428343965"
"Realschulabschluss","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","154","0.0411212701049384","0.0353792104750938","0.0468633297347831"
"Fachhochschulreife","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","151","0.0300737848397044","0.0258500457082397","0.0342975239711691"
"Fachhochschulreife","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","518","0.140639358235499","0.13058640266319","0.150692313807807"
"Abitur","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","375","0.0742618223424542","0.0677775599195876","0.0807460847653207"
"Abitur","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","66 und älter","Westdeutschland, alte Bundeslaender","74","0.0549375748031065","0.0424451238170995","0.0674300257891135"
"Abitur","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","524","0.0328860305333073","0.0277290302925844","0.0380430307740303"
"Anderer Abschluss","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","922","0.035179121918542","0.0306229559246853","0.0397352879123987"
"Anderer Abschluss","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","282","0.0260139129872077","0.021411010082535","0.0306168158918805"
"Ohne Abschluss verlassen","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","594","0.0212429312169201","0.0176769555810119","0.0248089068528283"
"Ohne Abschluss verlassen","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
