year,age_gr,quintil_oecd,pgpsbil,proportion,n,lower_confidence,upper_confidence
1984,46-65 J.,1. Quintil,Hauptschulabschluss,0.10394234845273422,16099,0.09922800889579725,0.10865668800967118
1984,30-45 J.,1. Quintil,Hauptschulabschluss,0.09207291225095379,16099,0.08760661063932473,0.09653921386258285
1984,18-29 J.,1. Quintil,Hauptschulabschluss,0.06663840610428147,16099,0.06278589512734023,0.07049091708122271
1984,66 und älter,1. Quintil,Hauptschulabschluss,0.06401017380245867,16099,0.060229086644137564,0.06779126096077978
1984,46-65 J.,2. Quintil,Hauptschulabschluss,0.04561254768969902,16099,0.042389541446140454,0.04883555393325759
1984,30-45 J.,1. Quintil,Anderer Abschluss,0.045273420941076725,16099,0.04206184804763115,0.0484849938345223
1984,18-29 J.,1. Quintil,Realschulabschluss,0.03340398473929631,16099,0.030628248089580163,0.03617972138901246
1984,30-45 J.,2. Quintil,Hauptschulabschluss,0.032471386180584996,16099,0.029733351501809106,0.035209420859360886
1984,18-29 J.,2. Quintil,Hauptschulabschluss,0.030775752437473505,16099,0.028107830633685257,0.03344367424126175
1984,30-45 J.,1. Quintil,Ohne Abschluss verlassen,0.021364985163204748,16099,0.019131318851686844,0.023598651474722652
1984,18-29 J.,1. Quintil,Abitur,0.020347604917337857,16099,0.018166637026727026,0.022528572807948687
1984,18-29 J.,2. Quintil,Realschulabschluss,0.020262823230182282,16099,0.018086309591080003,0.02243933686928456
1984,46-65 J.,1. Quintil,Anderer Abschluss,0.019415006358626537,16099,0.017283591391684703,0.02154642132556837
1984,18-29 J.,1. Quintil,Anderer Abschluss,0.019415006358626537,16099,0.017283591391684703,0.02154642132556837
1984,46-65 J.,3. Quintil,Hauptschulabschluss,0.018991097922848664,16099,0.01688262449626938,0.02109957134942795
1984,46-65 J.,1. Quintil,Ohne Abschluss verlassen,0.018143281051292922,16099,0.01608151875470416,0.020205043347881684
1984,30-45 J.,1. Quintil,Realschulabschluss,0.01738024586689275,16099,0.015361520108888577,0.019398971624896927
1984,30-45 J.,2. Quintil,Realschulabschluss,0.015938957185247987,16099,0.014004328634027462,0.017873585736468512
1984,30-45 J.,2. Quintil,Anderer Abschluss,0.013480288257736329,16099,0.011698897911715907,0.01526167860375675
1984,66 und älter,2. Quintil,Hauptschulabschluss,0.01314116150911403,16099,0.01138201903294822,0.01490030398527984
1984,30-45 J.,3. Quintil,Hauptschulabschluss,0.012802034760491734,16099,0.01106544095327018,0.014538628567713287
