"pgpsbil","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","maennlich","955","0.445044767915961","0.424587239837231","0.465502295994691"
"Hauptschulabschluss","1984","16-34 Jahre alt","weiblich","892","0.421566502371134","0.401502865251075","0.441630139491192"
"Hauptschulabschluss","1984","35-65 Jahre alt","maennlich","1528","0.6471952408954","0.630608013074468","0.663782468716332"
"Hauptschulabschluss","1984","35-65 Jahre alt","weiblich","1783","0.715953863781885","0.700061258663764","0.731846468900006"
"Hauptschulabschluss","1984","66 und älter","maennlich","368","0.732297099612188","0.693794821194579","0.770799378029797"
"Hauptschulabschluss","1984","66 und älter","weiblich","606","0.788627566210129","0.759789716162057","0.817465416258202"
"Realschulabschluss","1984","16-34 Jahre alt","maennlich","441","0.233475457113429","0.216061158770386","0.250889755456472"
"Realschulabschluss","1984","16-34 Jahre alt","weiblich","582","0.313869340928557","0.295014287820729","0.332724394036385"
"Realschulabschluss","1984","35-65 Jahre alt","maennlich","329","0.132561844855395","0.120790733586882","0.144332956123909"
"Realschulabschluss","1984","35-65 Jahre alt","weiblich","426","0.168828667000744","0.155627068976354","0.182030265025134"
"Realschulabschluss","1984","66 und älter","maennlich","65","0.128465457047524","0.0993682221207942","0.157562691974253"
"Realschulabschluss","1984","66 und älter","weiblich","117","0.156092131635238","0.130456693034352","0.181727570236125"
"Fachhochschulreife","1984","16-34 Jahre alt","maennlich","93","0.0508230157123567","0.0417818142602311","0.0598642171644823"
"Fachhochschulreife","1984","16-34 Jahre alt","weiblich","61","0.0313288052982177","0.0242508142522956","0.0384067963441398"
"Fachhochschulreife","1984","35-65 Jahre alt","maennlich","105","0.0417781533662884","0.0348327641458885","0.0487235425866883"
"Fachhochschulreife","1984","35-65 Jahre alt","weiblich","46","0.0189374813929523","0.0141338731377079","0.0237410896481968"
"Fachhochschulreife","1984","66 und älter","maennlich","","","",""
"Fachhochschulreife","1984","66 und älter","weiblich","","","",""
"Abitur","1984","16-34 Jahre alt","maennlich","286","0.158265147929534","0.143240557923092","0.173289737935976"
"Abitur","1984","16-34 Jahre alt","weiblich","232","0.122848753095582","0.109511311879561","0.136186194311602"
"Abitur","1984","35-65 Jahre alt","maennlich","257","0.103640951904961","0.093060709094815","0.114221194715107"
"Abitur","1984","35-65 Jahre alt","weiblich","118","0.0463085926516414","0.0389024366239067","0.0537147486793762"
"Abitur","1984","66 und älter","maennlich","50","0.0905205843335208","0.0655696768248124","0.115471491842229"
"Abitur","1984","66 und älter","weiblich","","","",""
"Anderer Abschluss","1984","16-34 Jahre alt","maennlich","265","0.0369257916631401","0.0291630145875263","0.0446885687387539"
"Anderer Abschluss","1984","16-34 Jahre alt","weiblich","259","0.0288084943566014","0.0220123496499839","0.0356046390632189"
"Anderer Abschluss","1984","35-65 Jahre alt","maennlich","606","0.0486508656201906","0.0411828677698838","0.0561188634704974"
"Anderer Abschluss","1984","35-65 Jahre alt","weiblich","316","0.0223612218774011","0.0171505334392517","0.0275719103155505"
"Anderer Abschluss","1984","66 und älter","maennlich","","","",""
"Anderer Abschluss","1984","66 und älter","weiblich","","","",""
