"pgpsbil","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","Schleswig-Holstein","53","0.416403053133009","0.333856058594711","0.498950047671307"
"Hauptschulabschluss","1984","16-34 Jahre alt","Hamburg","31","0.282610804706989","0.199956122222664","0.365265487191313"
"Hauptschulabschluss","1984","16-34 Jahre alt","Niedersachsen","185","0.442622854789485","0.396474143113723","0.488771566465247"
"Hauptschulabschluss","1984","16-34 Jahre alt","Bremen","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Nordrhein-Westfalen","482","0.400347919335545","0.373495632409553","0.427200206261537"
"Hauptschulabschluss","1984","16-34 Jahre alt","Hessen","165","0.312394561092801","0.272210018930976","0.352579103254627"
"Hauptschulabschluss","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","165","0.554540470262002","0.499913730543248","0.609167209980756"
"Hauptschulabschluss","1984","16-34 Jahre alt","Baden-Wuerttemberg","367","0.481443210236064","0.447853262829696","0.515033157642432"
"Hauptschulabschluss","1984","16-34 Jahre alt","Bayern","349","0.497291907155226","0.461953371018395","0.532630443292056"
"Hauptschulabschluss","1984","16-34 Jahre alt","Saarland","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Berlin","41","0.313290312944698","0.23590320479178","0.390677421097615"
"Hauptschulabschluss","1984","16-34 Jahre alt","Brandenburg","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Sachsen","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Hauptschulabschluss","1984","16-34 Jahre alt","Thueringen","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Schleswig-Holstein","123","0.650484932259296","0.584892815852012","0.71607704866658"
"Hauptschulabschluss","1984","35-65 Jahre alt","Hamburg","68","0.619268016262954","0.541302247987558","0.697233784538351"
"Hauptschulabschluss","1984","35-65 Jahre alt","Niedersachsen","382","0.696552678672983","0.660794131486509","0.732311225859458"
"Hauptschulabschluss","1984","35-65 Jahre alt","Bremen","37","0.742181819308372","0.637439396554203","0.84692424206254"
"Hauptschulabschluss","1984","35-65 Jahre alt","Nordrhein-Westfalen","876","0.683757476103854","0.661495061759085","0.706019890448623"
"Hauptschulabschluss","1984","35-65 Jahre alt","Hessen","307","0.679559912173431","0.642975559148358","0.716144265198503"
"Hauptschulabschluss","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","291","0.797525948946513","0.759186226646146","0.835865671246879"
"Hauptschulabschluss","1984","35-65 Jahre alt","Baden-Wuerttemberg","537","0.678519951580028","0.651939395018549","0.705100508141507"
"Hauptschulabschluss","1984","35-65 Jahre alt","Bayern","592","0.666132868732916","0.638174921910389","0.694090815555443"
"Hauptschulabschluss","1984","35-65 Jahre alt","Saarland","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Berlin","98","0.55992928074286","0.495068128732644","0.624790432753076"
"Hauptschulabschluss","1984","35-65 Jahre alt","Brandenburg","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Sachsen","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Hauptschulabschluss","1984","35-65 Jahre alt","Thueringen","","","",""
"Hauptschulabschluss","1984","66 und älter","Schleswig-Holstein","35","0.813265230672699","0.698118807938033","0.928411653407365"
"Hauptschulabschluss","1984","66 und älter","Hamburg","35","0.759955877885869","0.636529239058328","0.88338251671341"
"Hauptschulabschluss","1984","66 und älter","Niedersachsen","116","0.744123052476003","0.674981307541771","0.813264797410235"
"Hauptschulabschluss","1984","66 und älter","Bremen","","","",""
"Hauptschulabschluss","1984","66 und älter","Nordrhein-Westfalen","229","0.813054185872885","0.768027553667383","0.858080818078386"
"Hauptschulabschluss","1984","66 und älter","Hessen","74","0.709408466604723","0.622147286226476","0.796669646982969"
"Hauptschulabschluss","1984","66 und älter","Rheinland-Pfalz,Saarland","91","0.832123527810535","0.762593017067952","0.901654038553117"
"Hauptschulabschluss","1984","66 und älter","Baden-Wuerttemberg","160","0.75386923164028","0.696290800941539","0.811447662339021"
"Hauptschulabschluss","1984","66 und älter","Bayern","172","0.733621193299343","0.677340467814559","0.789901918784127"
"Hauptschulabschluss","1984","66 und älter","Saarland","","","",""
"Hauptschulabschluss","1984","66 und älter","Berlin","34","0.701831061584739","0.571049459189021","0.832612663980458"
"Hauptschulabschluss","1984","66 und älter","Brandenburg","","","",""
"Hauptschulabschluss","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"Hauptschulabschluss","1984","66 und älter","Sachsen","","","",""
"Hauptschulabschluss","1984","66 und älter","Sachsen-Anhalt","","","",""
"Hauptschulabschluss","1984","66 und älter","Thueringen","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Schleswig-Holstein","45","0.335945817791129","0.25685534257615","0.415036293006109"
"Realschulabschluss","1984","16-34 Jahre alt","Hamburg","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Niedersachsen","121","0.308450750644724","0.265539363033517","0.351362138255932"
"Realschulabschluss","1984","16-34 Jahre alt","Bremen","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Nordrhein-Westfalen","270","0.255940661655034","0.232024788089546","0.279856535220522"
"Realschulabschluss","1984","16-34 Jahre alt","Hessen","112","0.305583567033157","0.265643146450739","0.345523987615574"
"Realschulabschluss","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","66","0.24003893995057","0.193095917217253","0.286981962683888"
"Realschulabschluss","1984","16-34 Jahre alt","Baden-Wuerttemberg","153","0.247418645230533","0.21840972474231","0.276427565718755"
"Realschulabschluss","1984","16-34 Jahre alt","Bayern","190","0.279030894016214","0.247330154464639","0.310731633567789"
"Realschulabschluss","1984","16-34 Jahre alt","Saarland","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Berlin","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Brandenburg","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","Sachsen","","","",""
