year,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Secondary School Degree,0.50686,6111,12073,0.49795,0.51578
1984,Intermediate School Degree,0.15768,1957,12073,0.15118,0.16418
1984,Technical School Degree,0.02600,328,12073,0.02316,0.02884
1984,Upper Secondary Degree,0.07669,965,12073,0.07195,0.08144
1984,Other Degree,0.02351,1430,12073,0.02081,0.02622
1984,"Dropout, No School Degree",0.01672,871,12073,0.01444,0.01901
1984,No School Degree Yet,0.01334,201,12073,0.01129,0.01538
1984,No School Attended,0.00292,210,12073,0.00195,0.00388
1985,Secondary School Degree,0.50040,5478,10879,0.49100,0.50979
1985,Intermediate School Degree,0.16789,1879,10879,0.16087,0.17492
1985,Technical School Degree,0.02642,301,10879,0.02340,0.02943
1985,Upper Secondary Degree,0.07976,927,10879,0.07466,0.08485
1985,Other Degree,0.02342,1209,10879,0.02058,0.02626
1985,"Dropout, No School Degree",0.01686,717,10879,0.01444,0.01928
1985,No School Degree Yet,0.01485,192,10879,0.01258,0.01712
1985,No School Attended,0.00279,176,10879,0.00180,0.00378
1986,Secondary School Degree,0.49009,5169,10437,0.48050,0.49969
1986,Intermediate School Degree,0.17154,1837,10437,0.16431,0.17877
1986,Technical School Degree,0.02764,303,10437,0.02449,0.03078
1986,Upper Secondary Degree,0.08496,946,10437,0.07961,0.09031
1986,Other Degree,0.02386,1159,10437,0.02093,0.02679
1986,"Dropout, No School Degree",0.01712,665,10437,0.01463,0.01961
1986,No School Degree Yet,0.01258,196,10437,0.01044,0.01472
1986,No School Attended,0.00275,162,10437,0.00174,0.00375
1987,Secondary School Degree,0.48686,5100,10288,0.47720,0.49652
1987,Intermediate School Degree,0.16999,1826,10288,0.16273,0.17725
1987,Technical School Degree,0.02721,290,10288,0.02406,0.03035
1987,Upper Secondary Degree,0.08673,935,10288,0.08129,0.09217
1987,Other Degree,0.02546,1142,10288,0.02241,0.02850
1987,"Dropout, No School Degree",0.01634,639,10288,0.01389,0.01879
1987,No School Degree Yet,0.01152,197,10288,0.00945,0.01358
1987,No School Attended,0.00300,159,10288,0.00195,0.00406
1988,Secondary School Degree,0.48541,4872,9780,0.47550,0.49532
1988,Intermediate School Degree,0.17080,1764,9780,0.16334,0.17826
1988,Technical School Degree,0.02729,277,9780,0.02407,0.03052
1988,Upper Secondary Degree,0.08894,901,9780,0.08329,0.09458
1988,Other Degree,0.02326,1065,9780,0.02027,0.02625
1988,"Dropout, No School Degree",0.01516,582,9780,0.01274,0.01758
1988,No School Degree Yet,0.01176,167,9780,0.00963,0.01390
1988,No School Attended,0.00282,152,9780,0.00177,0.00387
1989,Secondary School Degree,0.47629,4652,9471,0.46623,0.48635
1989,Intermediate School Degree,0.16992,1710,9471,0.16235,0.17748
1989,Technical School Degree,0.02824,279,9471,0.02490,0.03158
1989,Upper Secondary Degree,0.09362,924,9471,0.08775,0.09948
1989,Other Degree,0.02492,1026,9471,0.02178,0.02806
1989,"Dropout, No School Degree",0.01566,557,9471,0.01316,0.01816
1989,No School Degree Yet,0.01396,178,9471,0.01160,0.01633
1989,No School Attended,0.00294,145,9471,0.00185,0.00403
1990,Secondary School Degree,0.44135,6259,13664,0.43302,0.44967
1990,Intermediate School Degree,0.20402,3723,13664,0.19726,0.21078
1990,Technical School Degree,0.02281,286,13664,0.02031,0.02532
1990,Upper Secondary Degree,0.09329,1449,13664,0.08841,0.09817
1990,Other Degree,0.02397,1064,13664,0.02141,0.02654
1990,"Dropout, No School Degree",0.01366,545,13664,0.01171,0.01560
1990,No School Degree Yet,0.01082,199,13664,0.00908,0.01255
1990,No School Attended,0.00256,139,13664,0.00171,0.00340
1991,Secondary School Degree,0.43196,6021,13324,0.42355,0.44037
1991,Intermediate School Degree,0.20773,3663,13324,0.20084,0.21461
1991,Technical School Degree,0.02363,297,13324,0.02105,0.02621
1991,Upper Secondary Degree,0.09621,1445,13324,0.09120,0.10122
1991,Other Degree,0.02507,1037,13324,0.02242,0.02773
1991,"Dropout, No School Degree",0.01518,573,13324,0.01310,0.01725
1991,No School Degree Yet,0.00924,156,13324,0.00762,0.01087
1991,No School Attended,0.00269,132,13324,0.00181,0.00357
1992,Secondary School Degree,0.42466,5837,13041,0.41617,0.43314
1992,Intermediate School Degree,0.20839,3604,13041,0.20141,0.21536
1992,Technical School Degree,0.02425,304,13041,0.02161,0.02689
1992,Upper Secondary Degree,0.09803,1433,13041,0.09293,0.10313
1992,Other Degree,0.02668,1006,13041,0.02392,0.02945
1992,"Dropout, No School Degree",0.01544,546,13041,0.01333,0.01756
1992,No School Degree Yet,0.00972,187,13041,0.00804,0.01141
1992,No School Attended,0.00279,124,13041,0.00188,0.00369
1993,Secondary School Degree,0.41696,5670,12813,0.40842,0.42550
1993,Intermediate School Degree,0.20996,3570,12813,0.20290,0.21701
1993,Technical School Degree,0.02447,307,12813,0.02180,0.02715
1993,Upper Secondary Degree,0.10005,1458,12813,0.09486,0.10525
1993,Other Degree,0.02818,973,12813,0.02531,0.03104
1993,"Dropout, No School Degree",0.01641,529,12813,0.01421,0.01861
1993,No School Degree Yet,0.00957,181,12813,0.00788,0.01125
1993,No School Attended,0.00323,125,12813,0.00225,0.00421
1994,Secondary School Degree,0.41018,5491,12540,0.40157,0.41879
1994,Intermediate School Degree,0.20721,3509,12540,0.20011,0.21430
1994,Technical School Degree,0.02565,321,12540,0.02289,0.02842
1994,Upper Secondary Degree,0.10339,1493,12540,0.09806,0.10872
1994,Other Degree,0.02814,896,12540,0.02524,0.03103
1994,"Dropout, No School Degree",0.01606,485,12540,0.01386,0.01826
1994,No School Degree Yet,0.01213,230,12540,0.01021,0.01404
1994,No School Attended,0.00320,115,12540,0.00221,0.00418
1995,Secondary School Degree,0.39680,5394,12904,0.38836,0.40524
1995,Intermediate School Degree,0.20363,3582,12904,0.19668,0.21057
1995,Technical School Degree,0.02653,340,12904,0.02375,0.02930
1995,Upper Secondary Degree,0.10571,1566,12904,0.10040,0.11101
1995,Other Degree,0.04050,1159,12904,0.03710,0.04390
1995,"Dropout, No School Degree",0.01423,478,12904,0.01218,0.01627
1995,No School Degree Yet,0.01394,280,12904,0.01192,0.01597
1995,No School Attended,0.00240,105,12904,0.00155,0.00324
1996,Secondary School Degree,0.39152,5261,12663,0.38302,0.40002
1996,Intermediate School Degree,0.20631,3583,12663,0.19927,0.21336
1996,Technical School Degree,0.02686,338,12663,0.02404,0.02967
1996,Upper Secondary Degree,0.10656,1571,12663,0.10119,0.11194
1996,Other Degree,0.04026,1085,12663,0.03684,0.04368
1996,"Dropout, No School Degree",0.01459,442,12663,0.01250,0.01668
1996,No School Degree Yet,0.01544,289,12663,0.01329,0.01759
1996,No School Attended,0.00236,94,12663,0.00151,0.00320
1997,Secondary School Degree,0.38854,5135,12435,0.37997,0.39711
1997,Intermediate School Degree,0.20646,3535,12435,0.19935,0.21358
1997,Technical School Degree,0.02794,342,12435,0.02505,0.03084
1997,Upper Secondary Degree,0.10886,1592,12435,0.10338,0.11433
1997,Other Degree,0.03960,1015,12435,0.03617,0.04303
1997,"Dropout, No School Degree",0.01466,414,12435,0.01255,0.01678
1997,No School Degree Yet,0.01551,312,12435,0.01334,0.01768
1997,No School Attended,0.00257,90,12435,0.00168,0.00346
1998,Secondary School Degree,0.36661,5606,13488,0.35848,0.37474
1998,Intermediate School Degree,0.20493,3878,13488,0.19811,0.21174
1998,Technical School Degree,0.02814,395,13488,0.02535,0.03093
1998,Upper Secondary Degree,0.10854,1811,13488,0.10329,0.11379
1998,Other Degree,0.03993,990,13488,0.03663,0.04323
1998,"Dropout, No School Degree",0.01480,394,13488,0.01277,0.01684
1998,No School Degree Yet,0.01559,331,13488,0.01350,0.01768
1998,No School Attended,0.00260,83,13488,0.00174,0.00345
1999,Secondary School Degree,0.37714,5485,13252,0.36889,0.38539
1999,Intermediate School Degree,0.21070,3849,13252,0.20376,0.21765
1999,Technical School Degree,0.02834,385,13252,0.02551,0.03116
1999,Upper Secondary Degree,0.11414,1832,13252,0.10873,0.11956
1999,Other Degree,0.04114,925,13252,0.03776,0.04453
1999,"Dropout, No School Degree",0.01606,385,13252,0.01392,0.01820
1999,No School Degree Yet,0.01574,316,13252,0.01362,0.01786
1999,No School Attended,0.00235,75,13252,0.00152,0.00317
2000,Secondary School Degree,0.36404,9930,24043,0.35795,0.37012
2000,Intermediate School Degree,0.22265,6981,24043,0.21739,0.22791
2000,Technical School Degree,0.03802,1016,24043,0.03560,0.04044
2000,Upper Secondary Degree,0.12594,3679,24043,0.12174,0.13013
2000,Other Degree,0.04691,1526,24043,0.04424,0.04958
2000,"Dropout, No School Degree",0.01345,410,24043,0.01199,0.01490
2000,No School Degree Yet,0.01444,501,24043,0.01293,0.01595
2001,Secondary School Degree,0.35507,8726,21773,0.34872,0.36143
2001,Intermediate School Degree,0.22386,6418,21773,0.21832,0.22940
2001,Technical School Degree,0.03912,957,21773,0.03654,0.04170
2001,Upper Secondary Degree,0.13085,3457,21773,0.12637,0.13533
2001,Other Degree,0.04795,1362,21773,0.04511,0.05079
2001,"Dropout, No School Degree",0.01116,313,21773,0.00976,0.01256
2001,No School Degree Yet,0.01621,540,21773,0.01453,0.01788
2002,Secondary School Degree,0.35413,8324,22803,0.34792,0.36033
2002,Intermediate School Degree,0.22648,6684,22803,0.22105,0.23191
2002,Technical School Degree,0.03825,1090,22803,0.03576,0.04074
2002,Upper Secondary Degree,0.12717,4486,22803,0.12284,0.13149
2002,Other Degree,0.04899,1317,22803,0.04619,0.05179
2002,"Dropout, No School Degree",0.01140,289,22803,0.01002,0.01278
2002,No School Degree Yet,0.01702,613,22803,0.01534,0.01870
2003,Secondary School Degree,0.34545,7893,21879,0.33915,0.35175
2003,Intermediate School Degree,0.22733,6444,21879,0.22178,0.23288
2003,Technical School Degree,0.03966,1059,21879,0.03707,0.04224
2003,Upper Secondary Degree,0.13118,4349,21879,0.12671,0.13566
2003,Other Degree,0.04938,1239,21879,0.04651,0.05225
2003,"Dropout, No School Degree",0.01213,277,21879,0.01068,0.01358
2003,No School Degree Yet,0.01709,618,21879,0.01537,0.01881
2004,Secondary School Degree,0.34258,7537,21272,0.33620,0.34895
2004,Intermediate School Degree,0.22699,6282,21272,0.22136,0.23262
2004,Technical School Degree,0.03951,1051,21272,0.03690,0.04213
2004,Upper Secondary Degree,0.13162,4305,21272,0.12708,0.13617
2004,Other Degree,0.05140,1191,21272,0.04843,0.05437
2004,"Dropout, No School Degree",0.01262,265,21272,0.01112,0.01412
2004,No School Degree Yet,0.01876,641,21272,0.01694,0.02058
2005,Secondary School Degree,0.33103,7071,20294,0.32455,0.33750
2005,Intermediate School Degree,0.23117,6021,20294,0.22537,0.23697
2005,Technical School Degree,0.03973,1017,20294,0.03704,0.04242
2005,Upper Secondary Degree,0.13513,4157,20294,0.13043,0.13984
2005,Other Degree,0.05295,1126,20294,0.04987,0.05603
2005,"Dropout, No School Degree",0.01319,248,20294,0.01162,0.01476
2005,No School Degree Yet,0.02120,654,20294,0.01922,0.02319
2006,Secondary School Degree,0.32188,7617,21808,0.31568,0.32808
2006,Intermediate School Degree,0.23262,6492,21808,0.22701,0.23822
2006,Technical School Degree,0.04070,1121,21808,0.03808,0.04333
2006,Upper Secondary Degree,0.14147,4486,21808,0.13685,0.14610
2006,Other Degree,0.05507,1198,21808,0.05204,0.05810
2006,"Dropout, No School Degree",0.01278,242,21808,0.01129,0.01427
2006,No School Degree Yet,0.01940,652,21808,0.01757,0.02123
2007,Secondary School Degree,0.31396,6934,20357,0.30759,0.32034
2007,Intermediate School Degree,0.23367,6085,20357,0.22786,0.23948
2007,Technical School Degree,0.04248,1058,20357,0.03971,0.04525
2007,Upper Secondary Degree,0.14917,4367,20357,0.14427,0.15406
2007,Other Degree,0.05437,1070,20357,0.05125,0.05748
2007,"Dropout, No School Degree",0.01204,213,20357,0.01054,0.01354
2007,No School Degree Yet,0.02155,630,20357,0.01956,0.02355
2008,Secondary School Degree,0.31067,6474,19062,0.30410,0.31724
2008,Intermediate School Degree,0.23703,5771,19062,0.23099,0.24306
2008,Technical School Degree,0.04409,1017,19062,0.04117,0.04700
2008,Upper Secondary Degree,0.15153,4106,19062,0.14644,0.15662
2008,Other Degree,0.05227,946,19062,0.04911,0.05543
