"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","14012.39","7940","524","12615.2","15409.58"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","18408.78","16812.5","1926","17613.75","19203.81"
"1985","1-Pers.- Haushalt","Laendlicher Raum","5612.41","250","184","3966.28","7258.54"
"1985","1-Pers.- Haushalt","Staedtischer Raum","8198.2","506","956","7118.14","9278.26"
"1985","Alleinerziehende","Laendlicher Raum","14080.12","11259.5","152","12012.17","16148.07"
"1985","Alleinerziehende","Staedtischer Raum","15070.97","14212.5","596","14003.31","16138.63"
"1985","Paar mit Kind(ern)","Laendlicher Raum","28352.57","26349.5","1989","27572.28","29132.86"
"1985","Paar mit Kind(ern)","Staedtischer Raum","32190.07","28874","7350","31762.07","32618.07"
"1985","Sonstige","Laendlicher Raum","23066.54","19328","291","20230.65","25902.43"
"1985","Sonstige","Staedtischer Raum","22118.17","19046","630","20839.91","23396.43"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16073.94","12277","480","14528.84","17619.04"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","20095.84","18545","1930","19168.9","21022.78"
"1986","1-Pers.- Haushalt","Laendlicher Raum","6197.21","784.5","171","4783.4","7611.02"
"1986","1-Pers.- Haushalt","Staedtischer Raum","8423.69","2486","908","7676.24","9171.14"
"1986","Alleinerziehende","Laendlicher Raum","15105.59","12629","151","13061.36","17149.82"
"1986","Alleinerziehende","Staedtischer Raum","15974.77","13672","561","14755.54","17194"
"1986","Paar mit Kind(ern)","Laendlicher Raum","31228.37","27098","1898","30029.92","32426.82"
"1986","Paar mit Kind(ern)","Staedtischer Raum","32695.96","30154.5","6901","32276.6","33115.32"
"1986","Sonstige","Laendlicher Raum","25348.36","24690","298","23455.26","27241.46"
"1986","Sonstige","Staedtischer Raum","23025.91","20754","596","21591.32","24460.5"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","17762.59","13272","494","15595.13","19930.05"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","20809.56","19411","1890","19950.01","21669.11"
"1987","1-Pers.- Haushalt","Laendlicher Raum","6125.78","926.5","170","4741.1","7510.46"
"1987","1-Pers.- Haushalt","Staedtischer Raum","9277.66","2868","908","8426.03","10129.29"
"1987","Alleinerziehende","Laendlicher Raum","14748.63","10390.5","167","12338.83","17158.43"
"1987","Alleinerziehende","Staedtischer Raum","18153.23","14606.5","538","16617.38","19689.08"
"1987","Paar mit Kind(ern)","Laendlicher Raum","30153.53","27663.5","1831","29432.27","30874.79"
"1987","Paar mit Kind(ern)","Staedtischer Raum","33913.88","30601","6701","33487.95","34339.81"
"1987","Sonstige","Laendlicher Raum","26682.52","25976","277","24597.71","28767.33"
"1987","Sonstige","Staedtischer Raum","26642.27","22598","666","25083.61","28200.93"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16963.23","10251.5","470","15031.46","18895"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","22925.31","21064","1866","21915.9","23934.72"
"1988","1-Pers.- Haushalt","Laendlicher Raum","6838.61","1124.5","170","5343.32","8333.9"
"1988","1-Pers.- Haushalt","Staedtischer Raum","9327.91","3089.5","867","8441.76","10214.06"
"1988","Alleinerziehende","Laendlicher Raum","18211.37","13718","162","15705.85","20716.89"
"1988","Alleinerziehende","Staedtischer Raum","18846.29","15161","542","17398.77","20293.81"
"1988","Paar mit Kind(ern)","Laendlicher Raum","31849.13","28783.5","1720","31057.73","32640.53"
"1988","Paar mit Kind(ern)","Staedtischer Raum","34967.02","30884","6390","34505.06","35428.98"
"1988","Sonstige","Laendlicher Raum","24710.17","22619.5","235","22656.61","26763.73"
"1988","Sonstige","Staedtischer Raum","28343.39","25468","591","26558.31","30128.47"
"1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","17793.17","15524.5","476","16071.86","19514.48"
"1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","24809","23207","1840","23700.29","25917.71"
"1989","1-Pers.- Haushalt","Laendlicher Raum","7066.84","994","166","5516.78","8616.9"
"1989","1-Pers.- Haushalt","Staedtischer Raum","10281.77","3781","874","9193.44","11370.1"
"1989","Alleinerziehende","Laendlicher Raum","21549","14920","140","18042.15","25055.85"
"1989","Alleinerziehende","Staedtischer Raum","19676.31","15901","520","18048.72","21303.9"
"1989","Paar mit Kind(ern)","Laendlicher Raum","33870.74","29990.5","1614","32844.2","34897.28"
"1989","Paar mit Kind(ern)","Staedtischer Raum","36311.37","31983.5","6129","35801.16","36821.58"
"1989","Sonstige","Laendlicher Raum","30144.81","28992.5","217","27348.69","32940.93"
"1989","Sonstige","Staedtischer Raum","29530.47","23585.5","618","27703.29","31357.65"
"1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","18499.71","13764","504","16664.61","20334.81"
"1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","25395.14","22778","1864","24058.9","26731.38"
"1990","1-Pers.- Haushalt","Laendlicher Raum","8169.14","2929.5","182","6597.62","9740.66"
"1990","1-Pers.- Haushalt","Staedtischer Raum","10848.98","3207","819","9631.67","12066.29"
"1990","Alleinerziehende","Laendlicher Raum","21075.25","15842.5","117","17979.23","24171.27"
"1990","Alleinerziehende","Staedtischer Raum","20769.82","18025.5","523","19164.15","22375.49"
"1990","Paar mit Kind(ern)","Laendlicher Raum","35423.79","31694","1578","34496.09","36351.49"
"1990","Paar mit Kind(ern)","Staedtischer Raum","39200.77","33677","5948","38588.26","39813.28"
"1990","Sonstige","Laendlicher Raum","32608.67","30271","213","30079.6","35137.74"
"1990","Sonstige","Staedtischer Raum","33059.11","31467","685","31180.28","34937.94"
"1991","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","20130.96","15778.5","488","18129.93","22131.99"
"1991","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","26225.69","24229","1908","25093.32","27358.06"
"1991","1-Pers.- Haushalt","Laendlicher Raum","8750.43","1861","172","6982.14","10518.72"
"1991","1-Pers.- Haushalt","Staedtischer Raum","11812.78","4251.5","831","10716.62","12908.94"
"1991","Alleinerziehende","Laendlicher Raum","21589.03","15421.5","145","18499.64","24678.42"
"1991","Alleinerziehende","Staedtischer Raum","20725.68","18355.5","514","19051.73","22399.63"
"1991","Paar mit Kind(ern)","Laendlicher Raum","37057.28","33237","1606","36039.85","38074.71"
"1991","Paar mit Kind(ern)","Staedtischer Raum","41172.21","36255.5","5861","40613.34","41731.08"
"1991","Sonstige","Laendlicher Raum","30579.04","26725.5","242","28047.56","33110.52"
"1991","Sonstige","Staedtischer Raum","35583.29","34650.5","660","33855.4","37311.18"
"1992","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","17114.91","11855.5","1046","16037.2","18192.62"
"1992","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","26660.65","23049.5","2320","25484.84","27836.46"
"1992","1-Pers.- Haushalt","Laendlicher Raum","7534.38","550","351","6334.31","8734.45"
"1992","1-Pers.- Haushalt","Staedtischer Raum","12071.84","4361.5","942","10949.38","13194.3"
"1992","Alleinerziehende","Laendlicher Raum","18655.54","14118.5","294","16746.7","20564.38"
"1992","Alleinerziehende","Staedtischer Raum","19628.97","17936.5","659","18179.64","21078.3"
"1992","Paar mit Kind(ern)","Laendlicher Raum","32302.84","29123","3967","31786.9","32818.78"
"1992","Paar mit Kind(ern)","Staedtischer Raum","41087.1","36204.5","6864","40584.67","41589.53"
"1992","Sonstige","Laendlicher Raum","32493.18","23531","483","30504.17","34482.19"
"1992","Sonstige","Staedtischer Raum","33539.49","29472","737","31862.93","35216.05"
"1993","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","19695.05","12788.5","1084","18524.42","20865.68"
"1993","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","28376.08","25882.5","2364","27367.4","29384.76"
"1993","1-Pers.- Haushalt","Laendlicher Raum","7757.54","876.5","393","6554.63","8960.45"
"1993","1-Pers.- Haushalt","Staedtischer Raum","13368.75","5196","969","12247.93","14489.57"
"1993","Alleinerziehende","Laendlicher Raum","17294.99","15287.5","305","15666.46","18923.52"
"1993","Alleinerziehende","Staedtischer Raum","19003.64","16912.5","613","17794.32","20212.96"
"1993","Paar mit Kind(ern)","Laendlicher Raum","35673.54","31145.5","3845","35037.5","36309.58"
"1993","Paar mit Kind(ern)","Staedtischer Raum","43553.05","38975.5","6720","42975.36","44130.74"
"1993","Sonstige","Laendlicher Raum","27085","25499.5","492","25109.7","29060.3"
"1993","Sonstige","Staedtischer Raum","34103.16","30820","743","32233.13","35973.19"
"1994","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","22189.84","17422.5","1138","20953.06","23426.62"
"1994","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","28480.42","24641.5","2400","27459.4","29501.44"
"1994","1-Pers.- Haushalt","Laendlicher Raum","8173.49","1191.5","396","6980.61","9366.37"
"1994","1-Pers.- Haushalt","Staedtischer Raum","13171.94","4440","966","11966.19","14377.69"
"1994","Alleinerziehende","Laendlicher Raum","17115.54","14236.5","283","15484.96","18746.12"
"1994","Alleinerziehende","Staedtischer Raum","23004.28","18331.5","599","21337.94","24670.62"
"1994","Paar mit Kind(ern)","Laendlicher Raum","38191.48","34531","3709","37447.63","38935.33"
"1994","Paar mit Kind(ern)","Staedtischer Raum","43900.62","39743.5","6457","43307.85","44493.39"
"1994","Sonstige","Laendlicher Raum","29108.99","26266.5","471","27214.42","31003.56"
"1994","Sonstige","Staedtischer Raum","38490.56","34910","719","36553.63","40427.49"
"1995","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","23827","19416","1172","22548.33","25105.67"
"1995","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","29272.31","24210","2482","28181.7","30362.92"
