"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","21659.53","20870","3140","21001.55","22317.51"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","23878.22","21916","11458","23526.42","24230.02"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","24025.07","22345.5","2998","23162.35","24887.79"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","24515.76","22889.5","10896","24158.91","24872.61"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","23726.32","22775","2939","23053.09","24399.55"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","25621.72","23855","10703","25259.23","25984.21"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","24491.94","23302.5","2757","23801.51","25182.37"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","26665.58","24639","10256","26269.47","27061.69"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","26235.25","25116","2613","25410.87","27059.63"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","27957.06","25792.5","9981","27523.36","28390.76"
"1990","Laendlicher Raum","Ostdeutschland","","","","",""
"1990","Laendlicher Raum","Westdeutschland","27208.84","25270","2594","26425.23","27992.45"
"1990","Staedtischer Raum","Ostdeutschland","","","","",""
"1990","Staedtischer Raum","Westdeutschland","29968.93","27845.5","9839","29459.75","30478.11"
"1991","Laendlicher Raum","Ostdeutschland","","","","",""
"1991","Laendlicher Raum","Westdeutschland","28625.92","26911","2653","27791.17","29460.67"
"1991","Staedtischer Raum","Ostdeutschland","","","","",""
"1991","Staedtischer Raum","Westdeutschland","31254.47","28850","9774","30787.45","31721.49"
"1992","Laendlicher Raum","Ostdeutschland","17720.55","17039.5","3460","17312.26","18128.84"
"1992","Laendlicher Raum","Westdeutschland","30263.73","27604.5","2681","29431.8","31095.66"
"1992","Staedtischer Raum","Ostdeutschland","19354.69","18604","1782","18738.2","19971.18"
"1992","Staedtischer Raum","Westdeutschland","32554.3","30169","9740","32056.09","33052.51"
"1993","Laendlicher Raum","Ostdeutschland","20012.06","18533","3415","19480.53","20543.59"
"1993","Laendlicher Raum","Westdeutschland","31605.09","28726.5","2704","30678.44","32531.74"
"1993","Staedtischer Raum","Ostdeutschland","23257.67","21493","1752","22457.28","24058.06"
"1993","Staedtischer Raum","Westdeutschland","34140.57","31644.5","9657","33620.73","34660.41"
"1994","Laendlicher Raum","Ostdeutschland","22444.07","20484.5","3312","21784.74","23103.4"
"1994","Laendlicher Raum","Westdeutschland","32969.73","30591","2685","31978.97","33960.49"
"1994","Staedtischer Raum","Ostdeutschland","25492.28","22066","1720","24517.74","26466.82"
"1994","Staedtischer Raum","Westdeutschland","34367.59","32283.5","9421","33835.56","34899.62"
"1995","Laendlicher Raum","Ostdeutschland","23439.97","21310","3283","22755.15","24124.79"
"1995","Laendlicher Raum","Westdeutschland","33224.01","30961.5","2921","32172.73","34275.29"
"1995","Staedtischer Raum","Ostdeutschland","26477.27","22822.5","1578","25406.7","27547.84"
"1995","Staedtischer Raum","Westdeutschland","34142.17","31336.5","9930","33614.81","34669.53"
"1996","Laendlicher Raum","Ostdeutschland","24250.06","22009.5","3195","23512.21","24987.91"
"1996","Laendlicher Raum","Westdeutschland","34842.81","31873.5","2879","33844.37","35841.25"
"1996","Staedtischer Raum","Ostdeutschland","26726.97","23108","1602","25629.33","27824.61"
"1996","Staedtischer Raum","Westdeutschland","35517.68","32333.5","9663","34944.03","36091.33"
"1997","Laendlicher Raum","Ostdeutschland","24580.12","21403","3137","23695.25","25464.99"
"1997","Laendlicher Raum","Westdeutschland","34262.49","31117","2836","33222.52","35302.46"
"1997","Staedtischer Raum","Ostdeutschland","26833.62","22845.5","1546","25686.91","27980.33"
"1997","Staedtischer Raum","Westdeutschland","36134.43","32940.5","9487","35568.11","36700.75"
"1998","Laendlicher Raum","Ostdeutschland","24605.68","22479","3349","23807.9","25403.46"
"1998","Laendlicher Raum","Westdeutschland","34498.78","30770","3270","33538.2","35459.36"
"1998","Staedtischer Raum","Ostdeutschland","28049.32","23574.5","1585","26807.33","29291.31"
"1998","Staedtischer Raum","Westdeutschland","36181.43","32755","10552","35596.26","36766.6"
"1999","Laendlicher Raum","Ostdeutschland","24634.7","21360.5","3228","23788.63","25480.77"
"1999","Laendlicher Raum","Westdeutschland","34313.23","32316","3143","33320.68","35305.78"
"1999","Staedtischer Raum","Ostdeutschland","29798.54","25089","1543","28334.44","31262.64"
"1999","Staedtischer Raum","Westdeutschland","37816.34","33770.5","10074","37230.12","38402.56"
"2000","Laendlicher Raum","Ostdeutschland","25873.34","21701.5","5019","25052.66","26694.02"
