"year","mean","median","n","lower_confidence","upper_confidence"
"1984","22954.81","21469","16176","22654.79","23254.83"
"1985","23320.71","21571.5","14598","23010.2","23631.22"
"1986","24393.64","22817","13894","24057.56","24729.72"
"1987","25153.89","23557","13642","24834.56","25473.22"
"1988","26137.68","24209.5","13013","25792.8","26482.56"
"1989","27549.46","25568.5","12594","27165.5","27933.42"
"1990","29324.56","27369.5","12433","28889.5","29759.62"
"1991","30618.23","28261","12427","30209.69","31026.77"
"1992","29322.03","26257","17842","28991.44","29652.62"
"1993","31089.6","28295","17528","30733.58","31445.62"
"1994","31991.4","29514","17138","31617.26","32365.54"
"1995","32145.99","29153.5","17712","31764.49","32527.49"
"1996","33456.21","30399","17339","33054.12","33858.3"
"1997","33764.69","30390.5","17007","33352","34177.38"
"1998","33926.97","30674.5","18756","33514.1","34339.84"
"1999","35053.88","31291.5","17988","34629.38","35478.38"
"2000","36196.88","32238.5","31807","35843.01","36550.75"
"2001","36323.72","32611","28728","35941.96","36705.48"
"2002","36572.02","31894.5","30116","36016.07","37127.97"
"2003","37255.99","32663.5","28792","36705.34","37806.64"
"2004","36925.58","32114","27931","36220.91","37630.25"
"2005","36887.23","32406","26706","36161.23","37613.23"
"2006","36599.16","31123","28668","36016.64","37181.68"
"2007","37809.14","32040.5","26618","37228.11","38390.17"
"2008","39211.69","33044.5","24877","38529.12","39894.26"
"2009","40027.95","34175.5","23221","39347.71","40708.19"
"2010","39814.97","33414.5","37468","39368.69","40261.25"
"2011","41479.91","34437","44001","41047.91","41911.91"
"2012","42510.01","35067","42406","42007.64","43012.38"
"2013","42948.17","34794","47665","42487.68","43408.66"
"2014","43643.17","35261","41507","43134.34","44152"
"2015","44108.03","35845","41052","43645.25","44570.81"
"2016","46066.35","37686","36790","45492.46","46640.24"
"2017","47656.88","39066.5","44647","47120.48","48193.28"
"2018","48772.94","39683.5","46486","48252.52","49293.36"
"2019","51852.57","42659.5","47513","50480.82","53224.32"
"2020","55017.36","44620","46550","53346.9","56687.82"
