"year","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","21659.53","20870","3140","21001.55","22317.51"
"1985","Staedtischer Raum","23878.22","21916","11458","23526.42","24230.02"
"1986","Laendlicher Raum","24025.07","22345.5","2998","23162.35","24887.79"
"1986","Staedtischer Raum","24515.76","22889.5","10896","24158.91","24872.61"
"1987","Laendlicher Raum","23726.32","22775","2939","23053.09","24399.55"
"1987","Staedtischer Raum","25621.72","23855","10703","25259.23","25984.21"
"1988","Laendlicher Raum","24491.94","23302.5","2757","23801.51","25182.37"
"1988","Staedtischer Raum","26665.58","24639","10256","26269.47","27061.69"
"1989","Laendlicher Raum","26235.25","25116","2613","25410.87","27059.63"
"1989","Staedtischer Raum","27957.06","25792.5","9981","27523.36","28390.76"
"1990","Laendlicher Raum","27208.84","25270","2594","26425.23","27992.45"
"1990","Staedtischer Raum","29968.93","27845.5","9839","29459.75","30478.11"
"1991","Laendlicher Raum","28625.92","26911","2653","27791.17","29460.67"
"1991","Staedtischer Raum","31254.47","28850","9774","30787.45","31721.49"
"1992","Laendlicher Raum","25433.91","22897","6141","24975.89","25891.93"
"1992","Staedtischer Raum","31196.84","28656","11522","30755.86","31637.82"
"1993","Laendlicher Raum","26997.52","24911.5","6119","26470.77","27524.27"
"1993","Staedtischer Raum","33014.33","30543","11409","32551.95","33476.71"
"1994","Laendlicher Raum","28870.68","26705.5","5997","28281.93","29459.43"
"1994","Staedtischer Raum","33460.78","31190.5","11141","32983.31","33938.25"
"1995","Laendlicher Raum","29471.55","25967.5","6204","28847.93","30095.17"
"1995","Staedtischer Raum","33421.56","30626","11508","32941.87","33901.25"
"1996","Laendlicher Raum","30845.29","27981","6074","30222.48","31468.1"
"1996","Staedtischer Raum","34668.93","31241.5","11265","34150.64","35187.22"
"1997","Laendlicher Raum","30600.9","27237.5","5973","29915.06","31286.74"
"1997","Staedtischer Raum","35255.52","32072.5","11033","34740.37","35770.67"
"1998","Laendlicher Raum","30707.76","27774.5","6619","30076.3","31339.22"
"1998","Staedtischer Raum","35442.89","32131","12137","34907.31","35978.47"
"1999","Laendlicher Raum","30686.93","27972.5","6371","30027.01","31346.85"
"1999","Staedtischer Raum","37096.94","32987.5","11617","36550.99","37642.89"
"2000","Laendlicher Raum","32485.01","29115.5","11149","31918.16","33051.86"
"2000","Staedtischer Raum","37952.76","33762.5","20658","37503.77","38401.75"
"2001","Laendlicher Raum","32374.02","29558.5","9976","31801.47","32946.57"
"2001","Staedtischer Raum","38173.38","34016","18752","37676.53","38670.23"
"2002","Laendlicher Raum","32410.68","29416","10123","31689.55","33131.81"
"2002","Staedtischer Raum","38546.49","32959.5","19993","37798","39294.98"
"2003","Laendlicher Raum","33482.92","29883.5","9640","32738.79","34227.05"
"2003","Staedtischer Raum","39027.05","34031.5","19152","38293.53","39760.57"
"2004","Laendlicher Raum","33604.32","29531.5","9366","32092.37","35116.27"
"2004","Staedtischer Raum","38480.89","33730","18565","37747.66","39214.12"
"2005","Laendlicher Raum","33652","29361","8954","32032","35272"
"2005","Staedtischer Raum","38415.03","34059","17752","37693.82","39136.24"
"2006","Laendlicher Raum","32667.13","27217","9853","31792.79","33541.47"
"2006","Staedtischer Raum","38481.94","33047.5","18815","37725.99","39237.89"
"2007","Laendlicher Raum","33413.88","29650.5","9163","32625.18","34202.58"
"2007","Staedtischer Raum","39916.61","33422.5","17455","39138.67","40694.55"
"2008","Laendlicher Raum","35716.07","30493","8563","34474.84","36957.3"
"2008","Staedtischer Raum","40886.64","34815.5","16314","40079.36","41693.92"
"2009","Laendlicher Raum","35648.13","30893.5","8182","34721.18","36575.08"
"2009","Staedtischer Raum","42156.04","35994","15039","41239.97","43072.11"
"2010","Laendlicher Raum","35047.84","30159","13142","34456.62","35639.06"
"2010","Staedtischer Raum","42066.16","34811","24326","41461.88","42670.44"
"2011","Laendlicher Raum","37359.99","32243","15821","36783.59","37936.39"
"2011","Staedtischer Raum","43469.66","35592","28180","42881.16","44058.16"
"2012","Laendlicher Raum","37289.64","32319.5","15455","36713.94","37865.34"
"2012","Staedtischer Raum","45039.76","36854.5","26951","44325.28","45754.24"
"2013","Laendlicher Raum","37758.18","31865","16152","37158.34","38358.02"
"2013","Staedtischer Raum","45454.95","36299","31513","44832.1","46077.8"
"2014","Laendlicher Raum","37952.46","31221","14364","37297.55","38607.37"
"2014","Staedtischer Raum","46333.12","37317.5","27143","45639.26","47026.98"
"2015","Laendlicher Raum","39000.51","32401","14124","38377.35","39623.67"
"2015","Staedtischer Raum","46530.05","37845","26928","45907.31","47152.79"
"2016","Laendlicher Raum","41395.56","33963","12782","40547.9","42243.22"
"2016","Staedtischer Raum","48253.71","39813","24008","47501.52","49005.9"
"2017","Laendlicher Raum","43664.26","36052.5","15191","42878.17","44450.35"
"2017","Staedtischer Raum","49464.95","40708","29456","48761.51","50168.39"
"2018","Laendlicher Raum","43696.15","36219.5","15352","42988.06","44404.24"
"2018","Staedtischer Raum","51058.92","41506.5","31134","50365.39","51752.45"
"2019","Laendlicher Raum","46463.92","39645.5","15495","45287.66","47640.18"
"2019","Staedtischer Raum","54380.67","44490","31216","52381.69","56379.65"
"2020","Laendlicher Raum","48516.68","40592","15196","46516.92","50516.44"
"2020","Staedtischer Raum","58033.78","46629.5","31354","55751.87","60315.69"
