"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","22954.81","21469","16176","22654.79","23254.83"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","23320.71","21571.5","14598","23010.2","23631.22"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","24393.64","22817","13894","24057.56","24729.72"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","25153.89","23557","13642","24834.56","25473.22"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","26137.68","24209.5","13013","25792.8","26482.56"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","27549.46","25568.5","12594","27165.5","27933.42"
"1990","Ostdeutschland","","","","",""
"1990","Westdeutschland","29324.56","27369.5","12433","28889.5","29759.62"
"1991","Ostdeutschland","","","","",""
"1991","Westdeutschland","30618.23","28261","12427","30209.69","31026.77"
"1992","Ostdeutschland","18368.4","17628.5","5401","18030.76","18706.04"
"1992","Westdeutschland","32003.69","29612","12441","31573.62","32433.76"
"1993","Ostdeutschland","21168.56","19351","5167","20723.08","21614.04"
"1993","Westdeutschland","33531.55","30809","12361","33077.49","33985.61"
"1994","Ostdeutschland","23534.79","20878","5032","22986.76","24082.82"
"1994","Westdeutschland","34028.55","31740","12106","33559.88","34497.22"
"1995","Ostdeutschland","24471.06","21688.5","4861","23891.64","25050.48"
"1995","Westdeutschland","33917.2","31316.5","12851","33444.88","34389.52"
"1996","Ostdeutschland","25129.8","22419.5","4797","24516.39","25743.21"
"1996","Westdeutschland","35354.03","32289.5","12542","34856.23","35851.83"
"1997","Ostdeutschland","25364.4","21785","4683","24661.24","26067.56"
"1997","Westdeutschland","35670.25","32609","12324","35172.97","36167.53"
"1998","Ostdeutschland","25758.59","22724.5","4934","25085.67","26431.51"
"1998","Westdeutschland","35774.03","32312.5","13822","35272.86","36275.2"
"1999","Ostdeutschland","26383","22278","4771","25639.01","27126.99"
"1999","Westdeutschland","36964.3","33404.5","13217","36458.92","37469.68"
"2000","Ostdeutschland","27150.92","22348","7357","26462.28","27839.56"
"2000","Westdeutschland","38215.2","34309.5","24450","37808.74","38621.66"
"2001","Ostdeutschland","26452.76","22430.5","6738","25830.1","27075.42"
"2001","Westdeutschland","38489.54","34646.5","21990","38034.64","38944.44"
"2002","Ostdeutschland","26022.94","20950","6704","25188.64","26857.24"
"2002","Westdeutschland","38877.59","33878.5","23412","38211.39","39543.79"
"2003","Ostdeutschland","26284.66","21613","6547","25453.44","27115.88"
"2003","Westdeutschland","39657.29","34977","22245","38996.81","40317.77"
"2004","Ostdeutschland","25685.1","20711.5","6378","24872.44","26497.76"
"2004","Westdeutschland","39372.88","34705","21553","38499.06","40246.7"
"2005","Ostdeutschland","25624.67","18652","6151","24759.78","26489.56"
"2005","Westdeutschland","39354.97","35139","20555","38454.51","40255.43"
"2006","Ostdeutschland","24517.53","17706.5","6540","23693.29","25341.77"
"2006","Westdeutschland","39214.17","34097.5","22128","38507.84","39920.5"
"2007","Ostdeutschland","25847.37","19520.5","6124","24956.91","26737.83"
"2007","Westdeutschland","40401.92","34726","20494","39704.68","41099.16"
"2008","Ostdeutschland","26555.58","20309.5","5821","25614.15","27497.01"
"2008","Westdeutschland","41937.33","36233.5","19056","41102.83","42771.83"
"2009","Ostdeutschland","28163.64","22210.5","5582","27198.42","29128.86"
"2009","Westdeutschland","42654.57","36673","17639","41821.88","43487.26"
"2010","Ostdeutschland","28355.69","21001","7930","27610.69","29100.69"
"2010","Westdeutschland","42222.22","35795","29538","41698.41","42746.03"
"2011","Ostdeutschland","29044.27","21826","9146","28353.74","29734.8"
"2011","Westdeutschland","44061.75","36742.5","34855","43552.86","44570.64"
"2012","Ostdeutschland","29828.04","21821","8870","29111.13","30544.95"
"2012","Westdeutschland","45100.01","37318","33536","44498.95","45701.07"
"2013","Ostdeutschland","30856.72","23721.5","8836","30138.53","31574.91"
"2013","Westdeutschland","45409.68","36641","38829","44872.47","45946.89"
"2014","Ostdeutschland","31421.35","23980","8022","30645.55","32197.15"
"2014","Westdeutschland","46129.63","37351.5","33485","45531.66","46727.6"
"2015","Ostdeutschland","31816.23","23696.5","7723","31062.17","32570.29"
"2015","Westdeutschland","46608.3","38283.5","33329","46070.69","47145.91"
"2016","Ostdeutschland","34571.74","26590.5","7155","33512.09","35631.39"
"2016","Westdeutschland","48373.29","40448.5","29635","47713.07","49033.51"
"2017","Ostdeutschland","35521.83","28978.5","8649","34713.78","36329.88"
"2017","Westdeutschland","50051.13","41201","35998","49418.16","50684.1"
"2018","Ostdeutschland","36035.02","28880","8973","35213.69","36856.35"
"2018","Westdeutschland","51303.01","42236.5","37513","50691.19","51914.83"
"2019","Ostdeutschland","39614.59","33407","9360","37913.17","41316.01"
"2019","Westdeutschland","54276.05","44514.5","38057","52616.58","55935.52"
"2020","Ostdeutschland","41151.08","34926.5","8794","39314.46","42987.7"
"2020","Westdeutschland","57764.1","47059.5","37756","55750.36","59777.84"
