year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,West,8490,10.95906,10.91445,11.00366,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.50000,10.50000
1984,Direct migration background,West,3265,10.10061,10.01789,10.18332,9.00000,10.00000,10.50000,7.0,12.75000,10.0,9.00000,10.50000
1984,Indirect migration background,West,117,11.08428,10.63828,11.53028,9.29119,10.50000,11.50000,7.0,14.81321,10.5,10.48750,10.51250
1985,No migration background,West,7766,11.00071,10.95329,11.04813,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1985,Direct migration background,West,2799,10.14414,10.05637,10.23191,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1985,Indirect migration background,West,126,11.08855,10.65098,11.52611,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.50000,11.00000
1986,No migration background,West,7397,11.04857,10.99968,11.09746,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1986,Direct migration background,West,2718,10.16182,10.07322,10.25041,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1986,Indirect migration background,West,134,11.24185,10.79492,11.68877,9.00000,10.50000,11.63503,7.0,15.58757,10.5,10.50000,11.50000
1987,No migration background,West,7242,11.09474,11.04489,11.14459,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1987,Direct migration background,West,2706,10.12785,10.04048,10.21522,9.00000,10.00000,10.50000,7.0,12.75000,10.0,10.00000,10.50000
1987,Indirect migration background,West,153,11.31691,10.92586,11.70796,10.00000,10.50000,12.00000,7.00000,15.00000,10.5,10.50000,11.50000
1988,No migration background,West,6865,11.12405,11.07239,11.17571,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1988,Direct migration background,West,2567,10.18607,10.09756,10.27457,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1988,Indirect migration background,West,189,10.93622,10.62827,11.24418,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.50000,11.00000
1989,No migration background,West,6600,11.17179,11.11823,11.22534,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1989,Direct migration background,West,2490,10.22939,10.13744,10.32135,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1989,Indirect migration background,West,212,10.81173,10.51992,11.10354,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.00000,10.50000
1990,No migration background,West,6438,11.21553,11.16069,11.27037,10.00000,10.50000,11.50000,7.75000,13.75000,10.5,10.50000,10.50000
1990,No migration background,East,4236,11.60988,11.54635,11.67340,10.50000,11.50000,12.00000,8.25000,14.25000,11.5,11.50000,11.50000
1990,Direct migration background,West,2416,10.22384,10.13016,10.31751,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1990,Direct migration background,East,142,11.69654,11.26100,12.13208,10.50000,10.50000,12.53969,7.44046,15.59923,10.5,10.50000,10.51250
1990,Indirect migration background,West,239,10.48822,10.25384,10.72259,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.00000,10.50000
1990,Indirect migration background,East,,,,,,,,,,,,
1991,No migration background,West,6409,11.27992,11.22378,11.33606,10.50000,10.50000,11.50000,9.00000,13.00000,10.5,10.50000,10.50000
1991,No migration background,East,3972,11.59784,11.53153,11.66415,10.50000,11.50000,12.00000,8.25000,14.25000,11.5,11.50000,11.50000
1991,Direct migration background,West,2377,10.22685,10.13215,10.32154,9.00000,10.50000,10.50000,7.0,12.75000,10.5,10.00000,10.50000
1991,Direct migration background,East,141,11.76332,11.31505,12.21158,10.50000,10.50000,13.00000,7.0,16.75000,10.5,10.50000,11.00000
1991,Indirect migration background,West,286,10.46474,10.25482,10.67465,9.00000,10.50000,11.50000,7.0,15.25000,10.5,10.00000,10.50000
1991,Indirect migration background,East,,,,,,,,,,,,
