year,bula_h,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,West,No,0.85629,125,125,0.79455,0.91804
1996,Hamburg,West,No,0.94833,78,78,0.89889,0.99777
1996,Lower Saxony,West,Yes,0.13941,76,531,0.10992,0.16890
1996,Lower Saxony,West,No,0.86059,455,531,0.83110,0.89008
1996,Bremen,West,No,0.93803,49,49,0.86982,1.00624
1996,North Rhine-Westphalia,West,Yes,0.09165,110,1289,0.07589,0.10740
1996,North Rhine-Westphalia,West,No,0.90835,1179,1289,0.89260,0.92411
1996,Hesse,West,Yes,0.10157,48,467,0.07415,0.12900
1996,Hesse,West,No,0.89843,419,467,0.87100,0.92585
1996,"Rhineland-Palatinate, Saarland",West,Yes,0.13378,47,347,0.09791,0.16965
1996,"Rhineland-Palatinate, Saarland",West,No,0.86622,300,347,0.83035,0.90209
1996,Baden-Wuerttemberg,West,Yes,0.10830,79,840,0.08727,0.12933
1996,Baden-Wuerttemberg,West,No,0.89170,761,840,0.87067,0.91273
1996,Bavaria,West,Yes,0.12237,95,861,0.10047,0.14428
1996,Bavaria,West,No,0.87763,766,861,0.85572,0.89953
1996,Berlin,West,No,0.90732,159,159,0.86210,0.95254
1996,Berlin,East,No,0.92483,125,125,0.87842,0.97124
1996,Brandenburg,East,Yes,0.19872,64,300,0.15349,0.24396
1996,Brandenburg,East,No,0.80128,236,300,0.75604,0.84651
1996,Mecklenburg-Western Pomerania,East,Yes,0.16013,36,199,0.10904,0.21121
1996,Mecklenburg-Western Pomerania,East,No,0.83987,163,199,0.78879,0.89096
1996,Saxony,East,Yes,0.09781,62,548,0.07292,0.12271
1996,Saxony,East,No,0.90219,486,548,0.87729,0.92708
1996,Saxony-Anhalt,East,Yes,0.19442,75,330,0.15165,0.23718
1996,Saxony-Anhalt,East,No,0.80558,255,330,0.76282,0.84835
1996,Thuringa,East,Yes,0.15167,55,326,0.11268,0.19067
1996,Thuringa,East,No,0.84833,271,326,0.80933,0.88732
2001,Schleswig-Holstein,West,Yes,0.13711,55,363,0.10168,0.17255
2001,Schleswig-Holstein,West,No,0.86289,308,363,0.82745,0.89832
2001,Hamburg,West,No,0.96103,174,174,0.93219,0.98987
2001,Lower Saxony,West,Yes,0.14201,146,961,0.11993,0.16409
2001,Lower Saxony,West,No,0.85799,815,961,0.83591,0.88007
2001,Bremen,West,No,0.94906,91,91,0.90363,0.99449
2001,North Rhine-Westphalia,West,Yes,0.11582,312,2485,0.10324,0.12841
2001,North Rhine-Westphalia,West,No,0.88418,2173,2485,0.87159,0.89676
2001,Hesse,West,Yes,0.09651,88,779,0.07576,0.11726
2001,Hesse,West,No,0.90349,691,779,0.88274,0.92424
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.14149,106,720,0.11602,0.16697
2001,"Rhineland-Palatinate, Saarland",West,No,0.85851,614,720,0.83303,0.88398
2001,Baden-Wuerttemberg,West,Yes,0.09784,141,1362,0.08205,0.11362
2001,Baden-Wuerttemberg,West,No,0.90216,1221,1362,0.88638,0.91795
2001,Bavaria,West,Yes,0.10551,191,1616,0.09053,0.12050
2001,Bavaria,West,No,0.89449,1425,1616,0.87950,0.90947
2001,Berlin,West,No,0.91484,249,249,0.88010,0.94958
2001,Berlin,East,No,0.92479,193,193,0.88749,0.96210
2001,Brandenburg,East,Yes,0.20997,115,500,0.17423,0.24570
2001,Brandenburg,East,No,0.79003,385,500,0.75430,0.82577
2001,Mecklenburg-Western Pomerania,East,Yes,0.21760,69,285,0.16961,0.26559
2001,Mecklenburg-Western Pomerania,East,No,0.78240,216,285,0.73441,0.83039
2001,Saxony,East,Yes,0.10902,111,849,0.08804,0.13000
2001,Saxony,East,No,0.89098,738,849,0.87000,0.91196
2001,Saxony-Anhalt,East,Yes,0.21510,124,505,0.17923,0.25097
2001,Saxony-Anhalt,East,No,0.78490,381,505,0.74903,0.82077
2001,Thuringa,East,Yes,0.17725,110,494,0.14354,0.21096
2001,Thuringa,East,No,0.82275,384,494,0.78904,0.85646
2006,Schleswig-Holstein,West,Yes,0.11231,49,389,0.08089,0.14373
2006,Schleswig-Holstein,West,No,0.88769,340,389,0.85627,0.91911
2006,Hamburg,West,No,0.98477,187,187,0.96717,1.00237
2006,Lower Saxony,West,Yes,0.14328,173,1074,0.12232,0.16424
2006,Lower Saxony,West,No,0.85672,901,1074,0.83576,0.87768
2006,Bremen,West,No,0.86255,77,77,0.78514,0.93997
2006,North Rhine-Westphalia,West,Yes,0.10729,311,2538,0.09524,0.11933
2006,North Rhine-Westphalia,West,No,0.89271,2227,2538,0.88067,0.90476
2006,Hesse,West,Yes,0.12758,122,846,0.10508,0.15007
2006,Hesse,West,No,0.87242,724,846,0.84993,0.89492
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.12875,104,727,0.10438,0.15311
2006,"Rhineland-Palatinate, Saarland",West,No,0.87125,623,727,0.84689,0.89562
2006,Baden-Wuerttemberg,West,Yes,0.09778,167,1473,0.08261,0.11295
2006,Baden-Wuerttemberg,West,No,0.90222,1306,1473,0.88705,0.91739
2006,Bavaria,West,Yes,0.11170,210,1730,0.09686,0.12655
2006,Bavaria,West,No,0.88830,1520,1730,0.87345,0.90314
2006,Berlin,West,No,0.92397,258,258,0.89156,0.95637
2006,Berlin,East,No,0.95782,197,197,0.92968,0.98596
2006,Brandenburg,East,Yes,0.18962,102,532,0.15628,0.22297
2006,Brandenburg,East,No,0.81038,430,532,0.77703,0.84372
2006,Mecklenburg-Western Pomerania,East,Yes,0.19232,62,304,0.14794,0.23669
2006,Mecklenburg-Western Pomerania,East,No,0.80768,242,304,0.76331,0.85206
2006,Saxony,East,Yes,0.10784,108,877,0.08730,0.12838
2006,Saxony,East,No,0.89216,769,877,0.87162,0.91270
2006,Saxony-Anhalt,East,Yes,0.21923,114,492,0.18263,0.25582
2006,Saxony-Anhalt,East,No,0.78077,378,492,0.74418,0.81737
2006,Thuringa,East,Yes,0.15478,94,515,0.12351,0.18605
2006,Thuringa,East,No,0.84522,421,515,0.81395,0.87649
2011,Schleswig-Holstein,West,Yes,0.08665,40,406,0.05925,0.11405
2011,Schleswig-Holstein,West,No,0.82943,366,406,0.79280,0.86607
2011,Hamburg,West,No,0.88085,184,184,0.83391,0.92779
2011,Lower Saxony,West,Yes,0.12085,161,1087,0.10146,0.14023
2011,Lower Saxony,West,No,0.80073,926,1087,0.77697,0.82449
2011,Bremen,West,No,0.77337,72,72,0.67599,0.87076
2011,North Rhine-Westphalia,West,Yes,0.10145,286,2353,0.08925,0.11366
2011,North Rhine-Westphalia,West,No,0.82204,2067,2353,0.80659,0.83750
2011,Hesse,West,Yes,0.14039,135,830,0.11675,0.16404
2011,Hesse,West,No,0.77851,695,830,0.75025,0.80678
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.12207,111,710,0.09797,0.14617
2011,"Rhineland-Palatinate, Saarland",West,No,0.80369,599,710,0.77446,0.83293
2011,Baden-Wuerttemberg,West,Yes,0.09741,153,1401,0.08188,0.11294
2011,Baden-Wuerttemberg,West,No,0.82162,1248,1401,0.80156,0.84167
2011,Bavaria,West,Yes,0.09812,220,1839,0.08452,0.11172
2011,Bavaria,West,No,0.82406,1619,1839,0.80665,0.84146
2011,Berlin,West,No,0.89382,276,276,0.85740,0.93023
2011,Berlin,East,No,0.86298,206,206,0.81590,0.91005
2011,Brandenburg,East,Yes,0.16620,101,518,0.13411,0.19829
2011,Brandenburg,East,No,0.75811,417,518,0.72120,0.79503
2011,Mecklenburg-Western Pomerania,East,Yes,0.14945,58,315,0.11001,0.18888
2011,Mecklenburg-Western Pomerania,East,No,0.77491,257,315,0.72872,0.82111
2011,Saxony,East,Yes,0.10843,85,808,0.08698,0.12988
2011,Saxony,East,No,0.82746,723,808,0.80139,0.85353
2011,Saxony-Anhalt,East,Yes,0.20118,105,509,0.16632,0.23604
2011,Saxony-Anhalt,East,No,0.72761,404,509,0.68889,0.76632
2011,Thuringa,East,Yes,0.10401,65,519,0.07772,0.13030
2011,Thuringa,East,No,0.82002,454,519,0.78694,0.85310
2016,Schleswig-Holstein,West,Yes,0.11414,74,503,0.08632,0.14195
2016,Schleswig-Holstein,West,No,0.87689,429,503,0.84815,0.90563
2016,Hamburg,West,No,0.91374,245,245,0.87851,0.94897
2016,Lower Saxony,West,Yes,0.16556,254,1348,0.14571,0.18541
2016,Lower Saxony,West,No,0.82816,1094,1348,0.80802,0.84831
2016,Bremen,West,No,0.78910,92,92,0.70529,0.87292
2016,North Rhine-Westphalia,West,Yes,0.11679,382,2907,0.10511,0.12847
2016,North Rhine-Westphalia,West,No,0.87698,2525,2907,0.86504,0.88892
2016,Hesse,West,Yes,0.14770,149,978,0.12545,0.16995
2016,Hesse,West,No,0.84823,829,978,0.82573,0.87073
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.12907,134,848,0.10649,0.15165
2016,"Rhineland-Palatinate, Saarland",West,No,0.86310,714,848,0.83995,0.88625
2016,Baden-Wuerttemberg,West,Yes,0.09972,184,1627,0.08515,0.11428
2016,Baden-Wuerttemberg,West,No,0.89584,1443,1627,0.88099,0.91069
2016,Bavaria,West,Yes,0.09984,261,2300,0.08758,0.11209
2016,Bavaria,West,No,0.89697,2039,2300,0.88455,0.90940
2016,Berlin,West,No,0.93101,322,322,0.90328,0.95873
2016,Berlin,East,No,0.95506,248,248,0.92923,0.98090
2016,Brandenburg,East,Yes,0.15110,112,562,0.12146,0.18073
2016,Brandenburg,East,No,0.84474,450,562,0.81477,0.87471
2016,Mecklenburg-Western Pomerania,East,Yes,0.15501,60,328,0.11578,0.19423
2016,Mecklenburg-Western Pomerania,East,No,0.83788,268,328,0.79793,0.87783
2016,Saxony,East,Yes,0.08769,89,865,0.06883,0.10655
2016,Saxony,East,No,0.90779,776,865,0.88850,0.92708
2016,Saxony-Anhalt,East,Yes,0.21059,104,513,0.17527,0.24590
2016,Saxony-Anhalt,East,No,0.78184,409,513,0.74606,0.81761
2016,Thuringa,East,Yes,0.14403,81,544,0.11450,0.17356
2016,Thuringa,East,No,0.84858,463,544,0.81843,0.87873
2021,Schleswig-Holstein,West,Yes,0.12837,79,427,0.09660,0.16013
2021,Schleswig-Holstein,West,No,0.85755,348,427,0.82436,0.89074
2021,Hamburg,West,No,0.93804,247,247,0.90791,0.96816
2021,Lower Saxony,West,Yes,0.15190,202,1062,0.13030,0.17350
2021,Lower Saxony,West,No,0.83904,860,1062,0.81692,0.86115
2021,Bremen,West,No,0.81394,69,69,0.72144,0.90643
2021,North Rhine-Westphalia,West,Yes,0.13279,369,2283,0.11887,0.14672
2021,North Rhine-Westphalia,West,No,0.85457,1914,2283,0.84010,0.86903
2021,Hesse,West,Yes,0.15199,108,694,0.12526,0.17872
2021,Hesse,West,No,0.82407,586,694,0.79573,0.85242
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.13331,101,535,0.10448,0.16214
2021,"Rhineland-Palatinate, Saarland",West,No,0.85344,434,535,0.82345,0.88344
2021,Baden-Wuerttemberg,West,Yes,0.08823,120,1215,0.07228,0.10419
2021,Baden-Wuerttemberg,West,No,0.90250,1095,1215,0.88582,0.91919
2021,Bavaria,West,Yes,0.10640,223,1747,0.09194,0.12087
2021,Bavaria,West,No,0.88677,1524,1747,0.87190,0.90163
2021,Berlin,West,No,0.92205,329,329,0.89303,0.95106
2021,Berlin,East,No,0.90675,183,183,0.86451,0.94900
2021,Brandenburg,East,Yes,0.13072,89,446,0.09940,0.16204
2021,Brandenburg,East,No,0.86437,357,446,0.83255,0.89618
2021,Mecklenburg-Western Pomerania,East,Yes,0.15898,46,261,0.11453,0.20343
2021,Mecklenburg-Western Pomerania,East,No,0.83302,215,261,0.78768,0.87835
2021,Saxony,East,Yes,0.08362,80,733,0.06356,0.10367
2021,Saxony,East,No,0.90900,653,733,0.88816,0.92984
2021,Saxony-Anhalt,East,Yes,0.19588,74,369,0.15533,0.23643
2021,Saxony-Anhalt,East,No,0.79546,295,369,0.75425,0.83667
2021,Thuringa,East,Yes,0.11267,48,383,0.08097,0.14438
2021,Thuringa,East,No,0.87690,335,383,0.84395,0.90984
