year,rentown,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.16723,303,1811,0.15004,0.18442
1996,Owner,West,No,0.83277,1508,1811,0.81558,0.84996
1996,Owner,East,Yes,0.29462,189,584,0.25762,0.33163
1996,Owner,East,No,0.70538,395,584,0.66837,0.74238
1996,Tenant,West,Yes,0.06725,199,2982,0.05826,0.07624
1996,Tenant,West,No,0.93275,2783,2982,0.92376,0.94174
1996,Tenant,East,Yes,0.08693,113,1254,0.07133,0.10253
1996,Tenant,East,No,0.91307,1141,1254,0.89747,0.92867
2001,Owner,West,Yes,0.15351,679,4164,0.14256,0.16446
2001,Owner,West,No,0.84649,3485,4164,0.83554,0.85744
2001,Owner,East,Yes,0.28107,340,1103,0.25453,0.30762
2001,Owner,East,No,0.71893,763,1103,0.69238,0.74547
2001,Tenant,West,Yes,0.07780,397,4673,0.07012,0.08548
2001,Tenant,West,No,0.92220,4276,4673,0.91452,0.92988
2001,Tenant,East,Yes,0.10559,206,1740,0.09115,0.12004
2001,Tenant,East,No,0.89441,1534,1740,0.87996,0.90885
2006,Owner,West,Yes,0.14506,755,4794,0.13509,0.15503
2006,Owner,West,No,0.85494,4039,4794,0.84497,0.86491
2006,Owner,East,Yes,0.27249,320,1209,0.24738,0.29760
2006,Owner,East,No,0.72751,889,1209,0.70240,0.75262
2006,Tenant,West,Yes,0.08513,418,4542,0.07702,0.09325
2006,Tenant,West,No,0.91487,4124,4542,0.90675,0.92298
2006,Tenant,East,Yes,0.09209,171,1718,0.07841,0.10577
2006,Tenant,East,No,0.90791,1547,1718,0.89423,0.92159
2011,Owner,West,Yes,0.14123,722,4782,0.13136,0.15110
2011,Owner,West,No,0.85877,4060,4782,0.84890,0.86864
2011,Owner,East,Yes,0.23311,258,1162,0.20879,0.25743
2011,Owner,East,No,0.76689,904,1162,0.74257,0.79121
2011,Tenant,West,Yes,0.08505,418,4410,0.07682,0.09328
2011,Tenant,West,No,0.91495,3992,4410,0.90672,0.92318
2011,Tenant,East,Yes,0.09240,173,1730,0.07875,0.10605
2011,Tenant,East,No,0.90760,1557,1730,0.89395,0.92125
2016,Owner,West,Yes,0.14541,841,5146,0.13577,0.15504
2016,Owner,West,No,0.85459,4305,5146,0.84496,0.86423
2016,Owner,East,Yes,0.21129,249,1156,0.18774,0.23483
2016,Owner,East,No,0.78871,907,1156,0.76517,0.81226
2016,Tenant,West,Yes,0.09433,655,6081,0.08699,0.10168
2016,Tenant,West,No,0.90567,5426,6081,0.89832,0.91301
2016,Tenant,East,Yes,0.08324,211,1918,0.07088,0.09561
2016,Tenant,East,No,0.91676,1707,1918,0.90439,0.92912
2021,Owner,West,Yes,0.14905,763,4127,0.13818,0.15992
2021,Owner,West,No,0.85095,3364,4127,0.84008,0.86182
2021,Owner,East,Yes,0.18437,187,953,0.15974,0.20900
2021,Owner,East,No,0.81563,766,953,0.79100,0.84026
2021,Tenant,West,Yes,0.09493,494,4534,0.08640,0.10346
2021,Tenant,West,No,0.90507,4040,4534,0.89654,0.91360
2021,Tenant,East,Yes,0.08450,165,1437,0.07011,0.09888
2021,Tenant,East,No,0.91550,1272,1437,0.90112,0.92989
