year,bula_h,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,No,0.85629,125,125,0.79455,0.91804
1996,Hamburg,No,0.94833,78,78,0.89889,0.99777
1996,Lower Saxony,Yes,0.13941,76,531,0.10992,0.16890
1996,Lower Saxony,No,0.86059,455,531,0.83110,0.89008
1996,Bremen,No,0.93803,49,49,0.86982,1.00624
1996,North Rhine-Westphalia,Yes,0.09165,110,1289,0.07589,0.10740
1996,North Rhine-Westphalia,No,0.90835,1179,1289,0.89260,0.92411
1996,Hesse,Yes,0.10157,48,467,0.07415,0.12900
1996,Hesse,No,0.89843,419,467,0.87100,0.92585
1996,"Rhineland-Palatinate, Saarland",Yes,0.13378,47,347,0.09791,0.16965
1996,"Rhineland-Palatinate, Saarland",No,0.86622,300,347,0.83035,0.90209
1996,Baden-Wuerttemberg,Yes,0.10830,79,840,0.08727,0.12933
1996,Baden-Wuerttemberg,No,0.89170,761,840,0.87067,0.91273
1996,Bavaria,Yes,0.12237,95,861,0.10047,0.14428
1996,Bavaria,No,0.87763,766,861,0.85572,0.89953
1996,Berlin,No,0.91312,284,284,0.88031,0.94594
1996,Brandenburg,Yes,0.19872,64,300,0.15349,0.24396
1996,Brandenburg,No,0.80128,236,300,0.75604,0.84651
1996,Mecklenburg-Western Pomerania,Yes,0.16013,36,199,0.10904,0.21121
1996,Mecklenburg-Western Pomerania,No,0.83987,163,199,0.78879,0.89096
1996,Saxony,Yes,0.09781,62,548,0.07292,0.12271
1996,Saxony,No,0.90219,486,548,0.87729,0.92708
1996,Saxony-Anhalt,Yes,0.19442,75,330,0.15165,0.23718
1996,Saxony-Anhalt,No,0.80558,255,330,0.76282,0.84835
1996,Thuringa,Yes,0.15167,55,326,0.11268,0.19067
1996,Thuringa,No,0.84833,271,326,0.80933,0.88732
2001,Schleswig-Holstein,Yes,0.13711,55,363,0.10168,0.17255
2001,Schleswig-Holstein,No,0.86289,308,363,0.82745,0.89832
2001,Hamburg,No,0.96103,174,174,0.93219,0.98987
2001,Lower Saxony,Yes,0.14201,146,961,0.11993,0.16409
2001,Lower Saxony,No,0.85799,815,961,0.83591,0.88007
2001,Bremen,No,0.94906,91,91,0.90363,0.99449
2001,North Rhine-Westphalia,Yes,0.11582,312,2485,0.10324,0.12841
2001,North Rhine-Westphalia,No,0.88418,2173,2485,0.87159,0.89676
2001,Hesse,Yes,0.09651,88,779,0.07576,0.11726
2001,Hesse,No,0.90349,691,779,0.88274,0.92424
2001,"Rhineland-Palatinate, Saarland",Yes,0.14149,106,720,0.11602,0.16697
2001,"Rhineland-Palatinate, Saarland",No,0.85851,614,720,0.83303,0.88398
2001,Baden-Wuerttemberg,Yes,0.09784,141,1362,0.08205,0.11362
2001,Baden-Wuerttemberg,No,0.90216,1221,1362,0.88638,0.91795
2001,Bavaria,Yes,0.10551,191,1616,0.09053,0.12050
2001,Bavaria,No,0.89449,1425,1616,0.87950,0.90947
2001,Berlin,Yes,0.08142,39,481,0.05695,0.10588
2001,Berlin,No,0.91858,442,481,0.89412,0.94305
2001,Brandenburg,Yes,0.20997,115,500,0.17423,0.24570
2001,Brandenburg,No,0.79003,385,500,0.75430,0.82577
2001,Mecklenburg-Western Pomerania,Yes,0.21760,69,285,0.16961,0.26559
2001,Mecklenburg-Western Pomerania,No,0.78240,216,285,0.73441,0.83039
2001,Saxony,Yes,0.10902,111,849,0.08804,0.13000
2001,Saxony,No,0.89098,738,849,0.87000,0.91196
2001,Saxony-Anhalt,Yes,0.21510,124,505,0.17923,0.25097
2001,Saxony-Anhalt,No,0.78490,381,505,0.74903,0.82077
2001,Thuringa,Yes,0.17725,110,494,0.14354,0.21096
2001,Thuringa,No,0.82275,384,494,0.78904,0.85646
2006,Schleswig-Holstein,Yes,0.11231,49,389,0.08089,0.14373
2006,Schleswig-Holstein,No,0.88769,340,389,0.85627,0.91911
2006,Hamburg,No,0.98477,187,187,0.96717,1.00237
2006,Lower Saxony,Yes,0.14328,173,1074,0.12232,0.16424
2006,Lower Saxony,No,0.85672,901,1074,0.83576,0.87768
2006,Bremen,No,0.86255,77,77,0.78514,0.93997
2006,North Rhine-Westphalia,Yes,0.10729,311,2538,0.09524,0.11933
2006,North Rhine-Westphalia,No,0.89271,2227,2538,0.88067,0.90476
2006,Hesse,Yes,0.12758,122,846,0.10508,0.15007
2006,Hesse,No,0.87242,724,846,0.84993,0.89492
2006,"Rhineland-Palatinate, Saarland",Yes,0.12875,104,727,0.10438,0.15311
2006,"Rhineland-Palatinate, Saarland",No,0.87125,623,727,0.84689,0.89562
2006,Baden-Wuerttemberg,Yes,0.09778,167,1473,0.08261,0.11295
2006,Baden-Wuerttemberg,No,0.90222,1306,1473,0.88705,0.91739
2006,Bavaria,Yes,0.11170,210,1730,0.09686,0.12655
2006,Bavaria,No,0.88830,1520,1730,0.87345,0.90314
2006,Berlin,No,0.93747,455,455,0.91519,0.95974
2006,Brandenburg,Yes,0.18962,102,532,0.15628,0.22297
2006,Brandenburg,No,0.81038,430,532,0.77703,0.84372
2006,Mecklenburg-Western Pomerania,Yes,0.19232,62,304,0.14794,0.23669
2006,Mecklenburg-Western Pomerania,No,0.80768,242,304,0.76331,0.85206
2006,Saxony,Yes,0.10784,108,877,0.08730,0.12838
2006,Saxony,No,0.89216,769,877,0.87162,0.91270
2006,Saxony-Anhalt,Yes,0.21923,114,492,0.18263,0.25582
2006,Saxony-Anhalt,No,0.78077,378,492,0.74418,0.81737
2006,Thuringa,Yes,0.15478,94,515,0.12351,0.18605
2006,Thuringa,No,0.84522,421,515,0.81395,0.87649
2011,Schleswig-Holstein,Yes,0.09459,40,406,0.06609,0.12309
2011,Schleswig-Holstein,No,0.90541,366,406,0.87691,0.93391
2011,Hamburg,No,0.94028,184,184,0.90595,0.97461
2011,Lower Saxony,Yes,0.13113,161,1087,0.11106,0.15121
2011,Lower Saxony,No,0.86887,926,1087,0.84879,0.88894
2011,Bremen,No,0.86349,72,72,0.78363,0.94335
2011,North Rhine-Westphalia,Yes,0.10986,286,2353,0.09722,0.12250
2011,North Rhine-Westphalia,No,0.89014,2067,2353,0.87750,0.90278
2011,Hesse,Yes,0.15278,135,830,0.12829,0.17727
2011,Hesse,No,0.84722,695,830,0.82273,0.87171
2011,"Rhineland-Palatinate, Saarland",Yes,0.13186,111,710,0.10695,0.15676
2011,"Rhineland-Palatinate, Saarland",No,0.86814,599,710,0.84324,0.89305
2011,Baden-Wuerttemberg,Yes,0.10599,153,1401,0.08987,0.12211
2011,Baden-Wuerttemberg,No,0.89401,1248,1401,0.87789,0.91013
2011,Bavaria,Yes,0.10640,220,1839,0.09230,0.12049
2011,Bavaria,No,0.89360,1619,1839,0.87951,0.90770
2011,Berlin,Yes,0.05449,31,513,0.03483,0.07416
2011,Berlin,No,0.94551,482,513,0.92584,0.96517
2011,Brandenburg,Yes,0.17981,101,518,0.14670,0.21291
2011,Brandenburg,No,0.82019,417,518,0.78709,0.85330
2011,Mecklenburg-Western Pomerania,Yes,0.16168,58,315,0.12096,0.20240
2011,Mecklenburg-Western Pomerania,No,0.83832,257,315,0.79760,0.87904
2011,Saxony,Yes,0.11586,85,808,0.09377,0.13794
2011,Saxony,No,0.88414,723,808,0.86206,0.90623
2011,Saxony-Anhalt,Yes,0.21660,105,509,0.18078,0.25242
2011,Saxony-Anhalt,No,0.78340,404,509,0.74758,0.81922
2011,Thuringa,Yes,0.11256,65,519,0.08534,0.13978
2011,Thuringa,No,0.88744,454,519,0.86022,0.91466
2016,Schleswig-Holstein,Yes,0.11517,74,503,0.08724,0.14310
2016,Schleswig-Holstein,No,0.88483,429,503,0.85690,0.91276
2016,Hamburg,No,0.91728,245,245,0.88272,0.95184
2016,Lower Saxony,Yes,0.16661,254,1348,0.14671,0.18651
2016,Lower Saxony,No,0.83339,1094,1348,0.81349,0.85329
2016,Bremen,No,0.79717,92,92,0.71455,0.87979
2016,North Rhine-Westphalia,Yes,0.11752,382,2907,0.10581,0.12923
2016,North Rhine-Westphalia,No,0.88248,2525,2907,0.87077,0.89419
2016,Hesse,Yes,0.14830,149,978,0.12602,0.17059
2016,Hesse,No,0.85170,829,978,0.82941,0.87398
2016,"Rhineland-Palatinate, Saarland",Yes,0.13009,134,848,0.10743,0.15274
2016,"Rhineland-Palatinate, Saarland",No,0.86991,714,848,0.84726,0.89257
2016,Baden-Wuerttemberg,Yes,0.10016,184,1627,0.08557,0.11475
2016,Baden-Wuerttemberg,No,0.89984,1443,1627,0.88525,0.91443
2016,Bavaria,Yes,0.10015,261,2300,0.08788,0.11243
2016,Bavaria,No,0.89985,2039,2300,0.88757,0.91212
2016,Berlin,Yes,0.05659,40,610,0.03824,0.07494
2016,Berlin,No,0.94341,570,610,0.92506,0.96176
2016,Brandenburg,Yes,0.15173,112,562,0.12204,0.18142
2016,Brandenburg,No,0.84827,450,562,0.81858,0.87796
2016,Mecklenburg-Western Pomerania,Yes,0.15612,60,328,0.11678,0.19546
2016,Mecklenburg-Western Pomerania,No,0.84388,268,328,0.80454,0.88322
2016,Saxony,Yes,0.08808,89,865,0.06919,0.10698
2016,Saxony,No,0.91192,776,865,0.89302,0.93081
2016,Saxony-Anhalt,Yes,0.21219,104,513,0.17678,0.24761
2016,Saxony-Anhalt,No,0.78781,409,513,0.75239,0.82322
2016,Thuringa,Yes,0.14510,81,544,0.11548,0.17473
2016,Thuringa,No,0.85490,463,544,0.82527,0.88452
2021,Schleswig-Holstein,Yes,0.13020,79,427,0.09824,0.16216
2021,Schleswig-Holstein,No,0.86980,348,427,0.83784,0.90176
2021,Hamburg,No,0.94850,247,247,0.92088,0.97612
2021,Lower Saxony,Yes,0.15329,202,1062,0.13161,0.17497
2021,Lower Saxony,No,0.84671,860,1062,0.82503,0.86839
2021,Bremen,No,0.82560,69,69,0.73541,0.91579
2021,North Rhine-Westphalia,Yes,0.13449,369,2283,0.12049,0.14849
2021,North Rhine-Westphalia,No,0.86551,1914,2283,0.85151,0.87951
2021,Hesse,Yes,0.15572,108,694,0.12872,0.18272
2021,Hesse,No,0.84428,586,694,0.81728,0.87128
2021,"Rhineland-Palatinate, Saarland",Yes,0.13510,101,535,0.10610,0.16409
2021,"Rhineland-Palatinate, Saarland",No,0.86490,434,535,0.83591,0.89390
2021,Baden-Wuerttemberg,Yes,0.08906,120,1215,0.07304,0.10508
2021,Baden-Wuerttemberg,No,0.91094,1095,1215,0.89492,0.92696
2021,Bavaria,Yes,0.10713,223,1747,0.09263,0.12164
2021,Bavaria,No,0.89287,1524,1747,0.87836,0.90737
2021,Berlin,Yes,0.06673,41,553,0.04591,0.08755
2021,Berlin,No,0.93327,512,553,0.91245,0.95409
2021,Brandenburg,Yes,0.13137,89,446,0.09998,0.16275
2021,Brandenburg,No,0.86863,357,446,0.83725,0.90002
2021,Mecklenburg-Western Pomerania,Yes,0.16026,46,261,0.11567,0.20486
2021,Mecklenburg-Western Pomerania,No,0.83974,215,261,0.79514,0.88433
2021,Saxony,Yes,0.08424,80,733,0.06412,0.10436
2021,Saxony,No,0.91576,653,733,0.89564,0.93588
2021,Saxony-Anhalt,Yes,0.19759,74,369,0.15691,0.23827
2021,Saxony-Anhalt,No,0.80241,295,369,0.76173,0.84309
2021,Thuringa,Yes,0.11386,48,383,0.08201,0.14572
2021,Thuringa,No,0.88614,335,383,0.85428,0.91799
