year,bula_h,regtyp,pet_dog,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.013242123051338046,57,6587,0.013204931463813753,0.01327931463886234
1996,Schleswig-Holstein,Rural regions,No,0.01995858615905546,68,6587,0.019913082354775312,0.02000408996333561
1996,Hamburg,Urban regions,No,0.020543310501788176,78,6587,0.020497158723500806,0.020589462280075545
1996,Lower Saxony,Urban regions,Yes,0.006384986661088909,35,6587,0.006359071752830671,0.006410901569347147
1996,Lower Saxony,Urban regions,No,0.0439585391382665,243,6587,0.04389183994285322,0.04402523833367978
1996,Lower Saxony,Rural regions,Yes,0.006783018852093085,41,6587,0.006756313753469126,0.006809723950717044
1996,Lower Saxony,Rural regions,No,0.037276974306800964,212,6587,0.03721533870896567,0.03733860990463626
1996,Bremen,Urban regions,No,0.010548875923592773,49,6587,0.010515635934602252,0.010582115912583293
1996,North Rhine-Westphalia,Urban regions,Yes,0.02025802762653769,109,6587,0.020212190747189746,0.020303864505885637
1996,North Rhine-Westphalia,Urban regions,No,0.19676585342590053,1148,6587,0.19663650636818766,0.1968952004836134
1996,North Rhine-Westphalia,Rural regions,No,0.006108086734981593,31,6587,0.006082736453714719,0.006133437016248468
1996,Hesse,Urban regions,Yes,0.005934686829021519,39,6587,0.005909696787992133,0.005959676870050904
1996,Hesse,Urban regions,No,0.056567386898269435,354,6587,0.0564922247633788,0.05664254903316007
1996,Hesse,Rural regions,No,0.011426932668575184,65,6587,0.011392352283314436,0.011461513053835932
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.006622990827438331,36,6587,0.006596600502655631,0.006649381152221031
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.04594227827257272,252,6587,0.045874161479146046,0.04601039506599939
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.008717836691217182,48,6587,0.00868759099286151,0.008748082389572854
1996,Baden-Wuerttemberg,Urban regions,Yes,0.012347009972581926,69,6587,0.012311081091119516,0.012382938854044335
1996,Baden-Wuerttemberg,Urban regions,No,0.09921145249622701,665,6587,0.09911418831437473,0.09930871667807929
1996,Baden-Wuerttemberg,Rural regions,No,0.01671842090192448,96,6587,0.016676705427700358,0.016760136376148604
1996,Bavaria,Urban regions,Yes,0.008605746779753135,43,6587,0.008575694454110935,0.008635799105395334
1996,Bavaria,Urban regions,No,0.06672535511807441,387,6587,0.06664416357665738,0.06680654665949144
1996,Bavaria,Rural regions,Yes,0.009609099157543922,52,6587,0.009577359278720825,0.009640839036367019
1996,Bavaria,Rural regions,No,0.06392230739388322,379,6587,0.0638427202763877,0.06400189451137873
1996,Berlin,Urban regions,No,0.0452485582309829,284,6587,0.045180933096720506,0.045316183365245295
1996,Brandenburg,Rural regions,Yes,0.006122471007160362,64,6587,0.006097091077714436,0.006147850936606287
1996,Brandenburg,Rural regions,No,0.022267507777023285,218,6587,0.02221950057041937,0.0223155149836272
1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.0031956635964668838,34,6587,0.003177300492499525,0.0032140267004342423
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.014816174548487378,139,6587,0.014776865974820783,0.014855483122153974
1996,Saxony,Urban regions,No,0.026424801343297746,262,6587,0.026372615678234828,0.026476987008360663
1996,Saxony,Rural regions,Yes,0.0029364380750992927,35,6587,0.002918833220117788,0.002954042930080797
1996,Saxony,Rural regions,No,0.024513663916392318,224,6587,0.024463351483885124,0.02456397634889951
1996,Saxony-Anhalt,Urban regions,No,0.006817590319532796,65,6587,0.006790817718525931,0.0068443629205396615
1996,Saxony-Anhalt,Rural regions,Yes,0.005444477468545333,64,6587,0.005420535865540449,0.0054684190715502175
1996,Saxony-Anhalt,Rural regions,No,0.019533336801107335,190,6587,0.01948831060679979,0.01957836299541488
1996,Thuringa,Urban regions,No,0.00783256204570699,80,6587,0.007803880337521219,0.00786124375389276
1996,Thuringa,Rural regions,Yes,0.003275651293244883,41,6587,0.0032570605406451974,0.0032942420458445683
1996,Thuringa,Rural regions,No,0.017391217188426258,191,6587,0.01734868517754801,0.017433749199304505
2001,Schleswig-Holstein,Urban regions,No,0.012858005312242252,133,11680,0.012822187839078356,0.012893822785406147
2001,Schleswig-Holstein,Rural regions,Yes,0.002620448673713746,31,11680,0.002604195566935277,0.0026367017804922147
2001,Schleswig-Holstein,Rural regions,No,0.01900373725025441,175,11680,0.018960329076502854,0.019047145424005967
2001,Hamburg,Urban regions,No,0.021581623877420828,174,11680,0.021535425928973822,0.021627821825867834
2001,Lower Saxony,Urban regions,Yes,0.005419415888881509,54,11680,0.005396075152243972,0.005442756625519045
2001,Lower Saxony,Urban regions,No,0.043628516935951635,428,11680,0.043563576251163964,0.043693457620739305
2001,Lower Saxony,Rural regions,Yes,0.007968832487644387,92,11680,0.0079405655775825,0.007997099397706275
2001,Lower Saxony,Rural regions,No,0.03724155025348379,387,11680,0.037181351032010417,0.03730174947495716
2001,Bremen,Urban regions,No,0.01067366225377622,91,11680,0.010640992576570422,0.010706331930982017
2001,North Rhine-Westphalia,Urban regions,Yes,0.024444429426569582,299,11680,0.0243953347629603,0.024493524090178864
2001,North Rhine-Westphalia,Urban regions,No,0.1897360399484059,2126,11680,0.1896113858657865,0.18986069403102532
2001,North Rhine-Westphalia,Rural regions,No,0.004555339516006139,47,11680,0.004533930965390428,0.004576748066621851
2001,Hesse,Urban regions,Yes,0.005686713013301873,68,11680,0.005662806810079066,0.00571061921652468
2001,Hesse,Urban regions,No,0.05570258786472634,562,11680,0.05562967395004932,0.05577550177940335
2001,Hesse,Rural regions,No,0.011597533079471473,129,11680,0.011563494764704174,0.011631571394238772
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.006689585806474493,77,11680,0.006663670255976966,0.006715501356972019
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.040514816844245044,473,11680,0.04045213461895571,0.04057749906953438
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.012185130849664981,141,11680,0.012150251272782868,0.012220010426547094
2001,Baden-Wuerttemberg,Urban regions,Yes,0.011342002412649486,132,11680,0.011308336821923762,0.01137566800337521
2001,Baden-Wuerttemberg,Urban regions,No,0.10130247187200712,1096,11680,0.10120654613939874,0.10139839760461551
2001,Baden-Wuerttemberg,Rural regions,No,0.012201331895225005,125,11680,0.01216642942475749,0.012236234365692518
2001,Bavaria,Urban regions,Yes,0.0057412890966390346,67,11680,0.005717269111187532,0.005765309082090537
2001,Bavaria,Urban regions,No,0.06955542056727683,722,11680,0.06947454281457208,0.06963629831998158
2001,Bavaria,Rural regions,Yes,0.009749833787538804,124,11680,0.009718595343220273,0.009781072231857335
2001,Bavaria,Rural regions,No,0.06179081065582398,703,11680,0.061714263313402254,0.061867357998245706
2001,Berlin,Urban regions,Yes,0.003929709004027074,39,11680,0.0039098186039236696,0.003949599404130478
2001,Berlin,Urban regions,No,0.04433178181005508,442,11680,0.044266343888772944,0.044397219731337215
2001,Brandenburg,Urban regions,No,0.002040708188295471,33,11680,0.0020263610529135806,0.002055055323677361
2001,Brandenburg,Rural regions,Yes,0.006472472273785259,111,11680,0.006446977956792828,0.006497966590777691
2001,Brandenburg,Rural regions,No,0.023104017793102366,352,11680,0.023056255381526395,0.023151780204678337
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.002497045575153188,36,11680,0.00248117880028548,0.002512912350020896
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.004420451742327589,65,11680,0.004399361108095544,0.004441542376559634
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.014546998975592555,180,11680,0.01450893422468877,0.01458506372649634
2001,Saxony,Urban regions,Yes,0.0025371970791372095,48,11680,0.0025212035691562634,0.0025531905891181556
2001,Saxony,Urban regions,No,0.024138939068007886,372,11680,0.024090144507178987,0.024187733628836784
2001,Saxony,Rural regions,Yes,0.0035331565983092255,63,11680,0.0035142927107335888,0.003552020485884862
2001,Saxony,Rural regions,No,0.02546313729011061,366,11680,0.025413056240624003,0.025513218339597216
2001,Saxony-Anhalt,Urban regions,No,0.006097082495340915,93,11680,0.006072333854785676,0.006121831135896154
2001,Saxony-Anhalt,Rural regions,Yes,0.00633047626735917,113,11680,0.006305261352428707,0.006355691182289633
2001,Saxony-Anhalt,Rural regions,No,0.019077213807955306,288,11680,0.019033723426705517,0.019120704189205095
2001,Thuringa,Urban regions,No,0.006894103846461988,116,11680,0.006867797834066534,0.0069204098588574415
2001,Thuringa,Rural regions,Yes,0.003789971467079642,82,11680,0.0037704365417896694,0.0038095063923696145
2001,Thuringa,Rural regions,No,0.017004407148504645,268,11680,0.01696330402152955,0.01704551027547974
2006,Schleswig-Holstein,Urban regions,No,0.013270704749631634,143,12265,0.013234886742090557,0.013306522757172711
2006,Schleswig-Holstein,Rural regions,Yes,0.0030919095707634264,33,12265,0.003074531707687236,0.0031092874338396167
2006,Schleswig-Holstein,Rural regions,No,0.021218395335590903,197,12265,0.021173287230181706,0.0212635034410001
2006,Hamburg,Urban regions,No,0.02015537896959483,187,12265,0.020111391446330406,0.020199366492859253
2006,Lower Saxony,Urban regions,Yes,0.0052817187451037395,67,12265,0.005259030907533363,0.005304406582674116
2006,Lower Saxony,Urban regions,No,0.0425529297481409,459,12265,0.04248975005104542,0.04261610944523638
2006,Lower Saxony,Rural regions,Yes,0.008524360508420075,106,12265,0.008495584712340508,0.008553136304499642
2006,Lower Saxony,Rural regions,No,0.04000446269324104,442,12265,0.039943122626121076,0.040065802760361
2006,Bremen,Urban regions,No,0.008415301950391333,77,12265,0.008386709249652525,0.008443894651130142
2006,North Rhine-Westphalia,Urban regions,Yes,0.022599353601643304,301,12265,0.022552833598157906,0.0226458736051287
2006,North Rhine-Westphalia,Urban regions,No,0.18870564857164474,2173,12265,0.18858317649124165,0.18882812065204782
2006,North Rhine-Westphalia,Rural regions,No,0.005355523138478131,54,12265,0.005332678183492958,0.005378368093463304
2006,Hesse,Urban regions,Yes,0.007624013983289113,97,12265,0.007596787886490774,0.007651240080087452
2006,Hesse,Urban regions,No,0.05299626518247279,594,12265,0.05292614324662497,0.0530663871183206
2006,Hesse,Rural regions,No,0.011690954851167827,130,12265,0.011657309365965492,0.011724600336370163
