,Unnamed: 0,year,rentown,pet_dog,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Owner,Yes,0.18334,492,6631,0.17178,0.19626
1,1,1996,Owner,No,0.81666,1903,6631,0.79223,0.84623
2,2,1996,Tenant,Yes,0.07153,312,6631,0.06555,0.07703
3,3,1996,Tenant,No,0.92847,3924,6631,0.9078,0.95335
4,4,2001,Owner,Yes,0.17225,1019,11680,0.16613,0.1784
5,5,2001,Owner,No,0.82775,4248,11680,0.81195,0.84135
6,6,2001,Tenant,Yes,0.08373,603,11680,0.07972,0.08829
7,7,2001,Tenant,No,0.91627,5810,11680,0.90021,0.92854
8,8,2006,Owner,Yes,0.16375,1075,12263,0.15576,0.17207
9,9,2006,Owner,No,0.83625,4928,12263,0.81774,0.85333
10,10,2006,Tenant,Yes,0.08659,589,12263,0.08223,0.09173
11,11,2006,Tenant,No,0.91341,5671,12263,0.89907,0.9298
12,12,2011,Owner,Yes,0.1544,980,12084,0.14699,0.16294
13,13,2011,Owner,No,0.8456,4964,12084,0.82471,0.86693
14,14,2011,Tenant,Yes,0.08704,591,12084,0.08006,0.09429
15,15,2011,Tenant,No,0.91296,5549,12084,0.88977,0.9361
16,16,2016,Owner,Yes,0.15431,1090,14301,0.14531,0.1673
17,17,2016,Owner,No,0.84569,5212,14301,0.81807,0.86824
18,18,2016,Tenant,Yes,0.09226,866,14301,0.08459,0.09862
19,19,2016,Tenant,No,0.90774,7133,14301,0.88318,0.92961
20,20,2021,Owner,Yes,0.15406,950,11051,0.13985,0.16806
21,21,2021,Owner,No,0.84594,4130,11051,0.8155,0.8797
22,22,2021,Tenant,Yes,0.09263,659,11051,0.08527,0.1012
23,23,2021,Tenant,No,0.90737,5312,11051,0.87863,0.93481
