,Unnamed: 0,year,sampreg,pet_dog,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,West,Yes,0.11008,502,6631,0.104,0.11585
1,1,1996,West,No,0.88992,4291,6631,0.87029,0.91255
2,2,1996,East,Yes,0.14486,302,6631,0.13549,0.15372
3,3,1996,East,No,0.85514,1536,6631,0.83092,0.87716
4,4,2001,West,Yes,0.11122,1076,11680,0.10727,0.11519
5,5,2001,West,No,0.88878,7761,11680,0.87697,0.89817
6,6,2001,East,Yes,0.1639,546,11680,0.15729,0.17113
7,7,2001,East,No,0.8361,2297,11680,0.82111,0.85575
8,8,2006,West,Yes,0.11148,1174,12265,0.10657,0.1166
9,9,2006,West,No,0.88852,8163,12265,0.87503,0.90147
10,10,2006,East,Yes,0.15054,491,12265,0.14022,0.16099
11,11,2006,East,No,0.84946,2437,12265,0.82248,0.8746
12,12,2011,West,Yes,0.11287,1140,12084,0.10657,0.11898
13,13,2011,West,No,0.88713,8052,12084,0.87055,0.90198
14,14,2011,East,Yes,0.14229,431,12084,0.1303,0.1554
15,15,2011,East,No,0.85771,2461,12084,0.82817,0.89354
16,16,2016,West,Yes,0.11902,1496,14302,0.11208,0.12642
17,17,2016,West,No,0.88098,9732,14302,0.85992,0.89672
18,18,2016,East,Yes,0.12964,460,14302,0.11847,0.14372
19,19,2016,East,No,0.87036,2614,14302,0.83891,0.91469
20,20,2021,West,Yes,0.12202,1258,11056,0.11331,0.13051
21,21,2021,West,No,0.87798,7407,11056,0.85577,0.90073
22,22,2021,East,Yes,0.12348,353,11056,0.10837,0.14187
23,23,2021,East,No,0.87652,2038,11056,0.82426,0.91581
