"plj0046","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","16-34 Jahre alt","1400","0.311083951200487","0.297710313373553","0.324457589027421"
"Grosse Sorgen","1999","35-65 Jahre alt","2612","0.364803105003524","0.353751449080118","0.375854760926929"
"Grosse Sorgen","1999","66 und älter","719","0.42232340810743","0.399618690047656","0.445028126167205"
"Einige Sorgen","1999","16-34 Jahre alt","2129","0.458915000947674","0.444519510107748","0.4733104917876"
"Einige Sorgen","1999","35-65 Jahre alt","3366","0.453926761707883","0.442496340098017","0.465357183317749"
"Einige Sorgen","1999","66 und älter","834","0.445560100293958","0.422712976427676","0.468407224160239"
"Keine Sorgen","1999","16-34 Jahre alt","1074","0.230001047851839","0.21784373541594","0.242158360287739"
"Keine Sorgen","1999","35-65 Jahre alt","1310","0.181270133288593","0.172425550472354","0.190114716104832"
"Keine Sorgen","1999","66 und älter","265","0.132116491598612","0.116551088013098","0.147681895184126"
"Grosse Sorgen","2000","16-34 Jahre alt","1881","0.260001015772754","0.249767842022148","0.27023418952336"
"Grosse Sorgen","2000","35-65 Jahre alt","4094","0.313032940991659","0.305163399458941","0.320902482524378"
"Grosse Sorgen","2000","66 und älter","1098","0.313728752341625","0.298537654754416","0.328919849928834"
"Einige Sorgen","2000","16-34 Jahre alt","3135","0.433770730902028","0.422208715500911","0.445332746303145"
"Einige Sorgen","2000","35-65 Jahre alt","6113","0.448599285378383","0.440159150134724","0.457039420622043"
"Einige Sorgen","2000","66 und älter","1740","0.483719472983319","0.467358702643088","0.50008024332355"
"Keine Sorgen","2000","16-34 Jahre alt","2042","0.306228253325218","0.295475041588279","0.316981465062157"
"Keine Sorgen","2000","35-65 Jahre alt","3132","0.238367773629957","0.23113703138124","0.245598515878674"
"Keine Sorgen","2000","66 und älter","746","0.202551774675056","0.189393972130031","0.215709577220081"
"Grosse Sorgen","2001","16-34 Jahre alt","1370","0.211635516908384","0.201502377659691","0.221768656157078"
"Grosse Sorgen","2001","35-65 Jahre alt","3109","0.255188358237158","0.247449090070639","0.262927626403676"
"Grosse Sorgen","2001","66 und älter","864","0.257402492653493","0.242708903488768","0.272096081818218"
"Einige Sorgen","2001","16-34 Jahre alt","2842","0.450083001745873","0.437741128363639","0.462424875128108"
"Einige Sorgen","2001","35-65 Jahre alt","5801","0.471853871895596","0.462991967715243","0.48071577607595"
"Einige Sorgen","2001","66 und älter","1709","0.501285254672716","0.48448122868228","0.518089280663152"
"Keine Sorgen","2001","16-34 Jahre alt","2030","0.338281481345742","0.326544349986412","0.350018612705073"
"Keine Sorgen","2001","35-65 Jahre alt","3280","0.272957769867246","0.26504964009299","0.280865899641502"
"Keine Sorgen","2001","66 und älter","828","0.241312252673791","0.226932017214907","0.255692488132675"
"Grosse Sorgen","2002","16-34 Jahre alt","1449","0.234631657919328","0.224031985165318","0.245231330673338"
"Grosse Sorgen","2002","35-65 Jahre alt","3554","0.297644834523193","0.289852021858747","0.305437647187639"
"Grosse Sorgen","2002","66 und älter","1185","0.342913176357223","0.327394219691322","0.358432133023124"
"Einige Sorgen","2002","16-34 Jahre alt","2751","0.443166908531215","0.430741516906924","0.455592300155507"
"Einige Sorgen","2002","35-65 Jahre alt","6359","0.472043321159136","0.463534747880644","0.480551894437628"
"Einige Sorgen","2002","66 und älter","1780","0.495281000126496","0.478935067086242","0.511626933166749"
"Keine Sorgen","2002","16-34 Jahre alt","1940","0.322201433549457","0.310512417293326","0.333890449805588"
"Keine Sorgen","2002","35-65 Jahre alt","3311","0.230311844317671","0.223135847969125","0.237487840666217"
"Keine Sorgen","2002","66 und älter","629","0.161805823516282","0.149765769140886","0.173845877891677"
"Grosse Sorgen","2003","16-34 Jahre alt","1263","0.217118332340684","0.206535300014614","0.227701364666755"
"Grosse Sorgen","2003","35-65 Jahre alt","3213","0.281866679423939","0.274015920175812","0.289717438672065"
"Grosse Sorgen","2003","66 und älter","1062","0.308431190926145","0.293478892865156","0.323383488987133"
"Einige Sorgen","2003","16-34 Jahre alt","2607","0.44730672978336","0.434543557899222","0.460069901667498"
"Einige Sorgen","2003","35-65 Jahre alt","5922","0.464152061834574","0.455449679200024","0.472854444469124"
"Einige Sorgen","2003","66 und älter","1833","0.493157874768014","0.476971841102648","0.509343908433381"
"Keine Sorgen","2003","16-34 Jahre alt","1960","0.335574937875956","0.323454129767626","0.347695745984286"
"Keine Sorgen","2003","35-65 Jahre alt","3481","0.253981258741487","0.24638564353307","0.261576873949904"
"Keine Sorgen","2003","66 und älter","770","0.198410934305841","0.185499639580697","0.211322229030985"
"Grosse Sorgen","2004","16-34 Jahre alt","1518","0.279011664804059","0.267255148667142","0.290768180940976"
"Grosse Sorgen","2004","35-65 Jahre alt","3794","0.341212042030838","0.33279589282355","0.349628191238126"
"Grosse Sorgen","2004","66 und älter","1374","0.372503033278732","0.357068064886469","0.387938001670995"
"Einige Sorgen","2004","16-34 Jahre alt","2417","0.430202533112534","0.417224762796915","0.443180303428152"
"Einige Sorgen","2004","35-65 Jahre alt","5611","0.44039079020613","0.43157847615409","0.44920310425817"
"Einige Sorgen","2004","66 und älter","1744","0.465682188877511","0.449757180782204","0.481607196972818"
"Keine Sorgen","2004","16-34 Jahre alt","1656","0.290785802083407","0.278882193046531","0.302689411120283"
"Keine Sorgen","2004","35-65 Jahre alt","2786","0.218397167763032","0.211063098812675","0.225731236713389"
"Keine Sorgen","2004","66 und älter","651","0.161814777843757","0.150057301522803","0.173572254164711"
"Grosse Sorgen","2005","16-34 Jahre alt","1642","0.313974290245543","0.301486611784233","0.326461968706853"
"Grosse Sorgen","2005","35-65 Jahre alt","4406","0.409531895133171","0.400568863782976","0.418494926483365"
"Grosse Sorgen","2005","66 und älter","1630","0.436216730104899","0.42040336255762","0.452030097652178"
"Einige Sorgen","2005","16-34 Jahre alt","2277","0.420993749430807","0.407709289042319","0.434278209819295"
"Einige Sorgen","2005","35-65 Jahre alt","5071","0.424762516487973","0.415752833514319","0.433772199461626"
"Einige Sorgen","2005","66 und älter","1627","0.422775438826792","0.407023123753593","0.438527753899992"
"Keine Sorgen","2005","16-34 Jahre alt","1387","0.26503196032365","0.253156572006692","0.276907348640609"
"Keine Sorgen","2005","35-65 Jahre alt","2086","0.165705588378857","0.15892853239861","0.172482644359104"
"Keine Sorgen","2005","66 und älter","521","0.141007831068309","0.129910122067453","0.152105540069164"
"Grosse Sorgen","2006","16-34 Jahre alt","1437","0.292817133769392","0.280336711789062","0.305297555749722"
"Grosse Sorgen","2006","35-65 Jahre alt","4204","0.361175899688043","0.352697447403591","0.369654351972496"
"Grosse Sorgen","2006","66 und älter","1575","0.359951971775971","0.345831991860469","0.374071951691474"
"Einige Sorgen","2006","16-34 Jahre alt","2229","0.425456076948801","0.411896250050981","0.439015903846622"
"Einige Sorgen","2006","35-65 Jahre alt","5471","0.430161502728911","0.421422573625061","0.43890043183276"
"Einige Sorgen","2006","66 und älter","2087","0.464553522594729","0.449881789081646","0.479225256107812"
"Keine Sorgen","2006","16-34 Jahre alt","1441","0.281726789281807","0.26938937723871","0.294064201324903"
"Keine Sorgen","2006","35-65 Jahre alt","2655","0.208662597583046","0.20149011166924","0.215835083496852"
"Keine Sorgen","2006","66 und älter","777","0.175494505629299","0.16430440331018","0.186684607948419"
"Grosse Sorgen","2007","16-34 Jahre alt","1241","0.265200714119138","0.252560192353702","0.277841235884575"
"Grosse Sorgen","2007","35-65 Jahre alt","3395","0.315934674546013","0.307401236233187","0.324468112858839"
"Grosse Sorgen","2007","66 und älter","1356","0.318355172807019","0.304516680248093","0.332193665365945"
"Einige Sorgen","2007","16-34 Jahre alt","1968","0.422215969632489","0.408072909486448","0.43635902977853"
"Einige Sorgen","2007","35-65 Jahre alt","5112","0.439082527655815","0.429972930329903","0.448192124981727"
"Einige Sorgen","2007","66 und älter","2081","0.470959318123067","0.456131065061194","0.485787571184941"
"Keine Sorgen","2007","16-34 Jahre alt","1476","0.312583316248372","0.299309792695974","0.325856839800771"
"Keine Sorgen","2007","35-65 Jahre alt","2894","0.244982797798172","0.237088330381634","0.25287726521471"
"Keine Sorgen","2007","66 und älter","916","0.210685509069914","0.198571270324621","0.222799747815207"
"Grosse Sorgen","2008","16-34 Jahre alt","958","0.221145531690202","0.208823800774896","0.233467262605507"
"Grosse Sorgen","2008","35-65 Jahre alt","2727","0.272225700569515","0.263768633225173","0.280682767913856"
"Grosse Sorgen","2008","66 und älter","1249","0.294411898985339","0.280823790262489","0.308000007708189"
"Einige Sorgen","2008","16-34 Jahre alt","1838","0.421668371978127","0.407006869991507","0.436329873964747"
"Einige Sorgen","2008","35-65 Jahre alt","4767","0.442421041117446","0.432984171724059","0.451857910510833"
"Einige Sorgen","2008","66 und älter","2065","0.477424269364092","0.462532970700502","0.492315568027682"
"Keine Sorgen","2008","16-34 Jahre alt","1562","0.357186096331672","0.342959717095368","0.371412475567976"
"Keine Sorgen","2008","35-65 Jahre alt","3147","0.285353258313039","0.276773125777442","0.293933390848636"
"Keine Sorgen","2008","66 und älter","1008","0.228163831650569","0.215652841752792","0.240674821548347"
"Grosse Sorgen","2009","16-34 Jahre alt","764","0.190844227896374","0.178637266108354","0.203051189684395"
"Grosse Sorgen","2009","35-65 Jahre alt","2122","0.232671081718274","0.224328859312752","0.241013304123796"
"Grosse Sorgen","2009","66 und älter","964","0.234982887163318","0.222121922530804","0.247843851795832"
"Einige Sorgen","2009","16-34 Jahre alt","1545","0.390206713672534","0.375053990462317","0.405359436882752"
"Einige Sorgen","2009","35-65 Jahre alt","4257","0.433658377855318","0.423874007404151","0.443442748306486"
"Einige Sorgen","2009","66 und älter","2033","0.481902888513042","0.466746169432301","0.497059607593783"
"Keine Sorgen","2009","16-34 Jahre alt","1672","0.418949058431091","0.403622673948139","0.434275442914044"
"Keine Sorgen","2009","35-65 Jahre alt","3476","0.333670540426408","0.324361107732447","0.342979973120369"
"Keine Sorgen","2009","66 und älter","1178","0.28311422432364","0.269448719566179","0.2967797290811"
"Grosse Sorgen","2010","16-34 Jahre alt","1364","0.210857011566739","0.20097303958856","0.220740983544918"
"Grosse Sorgen","2010","35-65 Jahre alt","2817","0.225835876928366","0.218735049349983","0.23293670450675"
"Grosse Sorgen","2010","66 und älter","939","0.238895275517898","0.225731887555647","0.252058663480148"
"Einige Sorgen","2010","16-34 Jahre alt","2516","0.372482891221637","0.360768342008116","0.384197440435158"
"Einige Sorgen","2010","35-65 Jahre alt","5435","0.421945587059132","0.413558549967707","0.430332624150557"
"Einige Sorgen","2010","66 und älter","1913","0.466353952549147","0.450953759269783","0.48175414582851"
"Keine Sorgen","2010","16-34 Jahre alt","2663","0.416660097211624","0.404714402027195","0.428605792396053"
"Keine Sorgen","2010","35-65 Jahre alt","5068","0.352218536012502","0.344106752704144","0.36033031932086"
"Keine Sorgen","2010","66 und älter","1179","0.294750771932956","0.280676028812072","0.308825515053839"
"Grosse Sorgen","2011","16-34 Jahre alt","931","0.219470377893097","0.207038752552513","0.231902003233681"
"Grosse Sorgen","2011","35-65 Jahre alt","2607","0.240791124894411","0.232889592714691","0.24869265707413"
"Grosse Sorgen","2011","66 und älter","1276","0.255976394937998","0.243951919241031","0.268000870634964"
"Einige Sorgen","2011","16-34 Jahre alt","1638","0.374917551746951","0.360376969378891","0.389458134115012"
