"plj0046","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","978","0.298197593759734","0.282890341976686","0.313504845542782"
"Grosse Sorgen","1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","422","0.365596254740028","0.338024270389839","0.393168239090217"
"Grosse Sorgen","1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1760","0.355843530014626","0.342775297282236","0.368911762747015"
"Grosse Sorgen","1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","852","0.40355744688675","0.38273213645002","0.424382757323481"
"Grosse Sorgen","1999","66 und älter","Westdeutschland, alte Bundeslaender","536","0.431276126446631","0.404619525678409","0.457932727214852"
"Grosse Sorgen","1999","66 und älter","Ostdeutschland, neue Bundeslaender","183","0.383725339334251","0.340755578676682","0.42669509999182"
"Einige Sorgen","1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1593","0.460716162730838","0.444037425814959","0.477394899646718"
"Einige Sorgen","1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","536","0.451295665670106","0.422806215884846","0.479785115455365"
"Einige Sorgen","1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2363","0.449811244631909","0.436232405423237","0.463390083840582"
"Einige Sorgen","1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1003","0.471728293140589","0.450538382316261","0.492918203964917"
"Einige Sorgen","1999","66 und älter","Westdeutschland, alte Bundeslaender","608","0.44692109450185","0.420161144159353","0.473681044844348"
"Einige Sorgen","1999","66 und älter","Ostdeutschland, neue Bundeslaender","226","0.439692413403136","0.395833963608875","0.483550863197396"
"Keine Sorgen","1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","860","0.241086243509428","0.226773589937779","0.255398897081076"
"Keine Sorgen","1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","214","0.183108079589866","0.160965901503545","0.205250257676187"
"Keine Sorgen","1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1033","0.194345225353465","0.183544496412287","0.205145954294643"
"Keine Sorgen","1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","277","0.124714259972661","0.110689757142849","0.138738762802473"
"Keine Sorgen","1999","66 und älter","Westdeutschland, alte Bundeslaender","182","0.121802779051519","0.104199200730911","0.139406357372127"
"Keine Sorgen","1999","66 und älter","Ostdeutschland, neue Bundeslaender","83","0.176582247262613","0.14288851097383","0.210275983551396"
"Grosse Sorgen","2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1338","0.246213685025706","0.234723383394565","0.257703986656848"
"Grosse Sorgen","2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","543","0.320792207207289","0.298323966764582","0.343260447649996"
"Grosse Sorgen","2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2950","0.302481501288924","0.293503403561147","0.311459599016702"
"Grosse Sorgen","2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1144","0.358688618227235","0.342284994879837","0.375092241574634"
"Grosse Sorgen","2000","66 und älter","Westdeutschland, alte Bundeslaender","847","0.319005033765236","0.301450290599239","0.336559776931233"
"Grosse Sorgen","2000","66 und älter","Ostdeutschland, neue Bundeslaender","251","0.293113283610553","0.262970129177484","0.323256438043622"
"Einige Sorgen","2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2400","0.432251657662885","0.419038777920085","0.445464537405686"
"Einige Sorgen","2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","735","0.440468638842153","0.416572620623405","0.464364657060902"
"Einige Sorgen","2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4574","0.447144991171567","0.437426768114085","0.456863214229049"
"Einige Sorgen","2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1539","0.454891960954662","0.43786089067189","0.471923031237434"
"Einige Sorgen","2000","66 und älter","Westdeutschland, alte Bundeslaender","1327","0.490982973214877","0.472154152000321","0.509811794429433"
"Einige Sorgen","2000","66 und älter","Ostdeutschland, neue Bundeslaender","413","0.455339549723019","0.422361372679606","0.488317726766433"
