"plj0046","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","16-34 Jahre alt","(Fach-)Abitur","148","0.232741440630813","0.201874785267879","0.263608095993746"
"Grosse Sorgen","1999","16-34 Jahre alt","(noch) kein Abschluss","102","0.269237050046781","0.225930734118975","0.312543365974586"
"Grosse Sorgen","1999","16-34 Jahre alt","AkademikerInnen","64","0.150369295434691","0.11602171829659","0.184716872572793"
"Grosse Sorgen","1999","16-34 Jahre alt","Hauptschulabschluss","442","0.369086587269808","0.342526012071543","0.395647162468072"
"Grosse Sorgen","1999","16-34 Jahre alt","Realschulabschluss","558","0.360894397332662","0.336766629393536","0.385022165271788"
"Grosse Sorgen","1999","35-65 Jahre alt","(Fach-)Abitur","96","0.211212623748543","0.170010715803977","0.252414531693109"
"Grosse Sorgen","1999","35-65 Jahre alt","(noch) kein Abschluss","84","0.312530007049437","0.261901760152061","0.363158253946813"
"Grosse Sorgen","1999","35-65 Jahre alt","AkademikerInnen","321","0.219021228502578","0.1969592769467","0.241083180058455"
"Grosse Sorgen","1999","35-65 Jahre alt","Hauptschulabschluss","1418","0.428841928996494","0.412403493299285","0.445280364693704"
"Grosse Sorgen","1999","35-65 Jahre alt","Realschulabschluss","665","0.383646299626581","0.360275020779953","0.407017578473208"
"Grosse Sorgen","1999","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1999","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1999","66 und älter","AkademikerInnen","73","0.408276169157919","0.34015695347909","0.476395384836749"
"Grosse Sorgen","1999","66 und älter","Hauptschulabschluss","526","0.423703765540871","0.396769639918367","0.450637891163376"
"Grosse Sorgen","1999","66 und älter","Realschulabschluss","80","0.439585620887375","0.369742505995753","0.509428735778996"
"Einige Sorgen","1999","16-34 Jahre alt","(Fach-)Abitur","323","0.425284149082564","0.389172441201267","0.461395856963862"
"Einige Sorgen","1999","16-34 Jahre alt","(noch) kein Abschluss","182","0.426160150075619","0.37787902981385","0.474441270337388"
"Einige Sorgen","1999","16-34 Jahre alt","AkademikerInnen","191","0.456504693791609","0.408639265612777","0.504370121970441"
"Einige Sorgen","1999","16-34 Jahre alt","Hauptschulabschluss","584","0.465451846257081","0.437996984589011","0.49290670792515"
"Einige Sorgen","1999","16-34 Jahre alt","Realschulabschluss","728","0.48307227844152","0.457967191242674","0.508177365640366"
"Einige Sorgen","1999","35-65 Jahre alt","(Fach-)Abitur","177","0.467766496580217","0.417399845307303","0.518133147853131"
"Einige Sorgen","1999","35-65 Jahre alt","(noch) kein Abschluss","139","0.381988900162891","0.328919562852575","0.435058237473206"
"Einige Sorgen","1999","35-65 Jahre alt","AkademikerInnen","643","0.46348683213511","0.436886313783499","0.49008735048672"
"Einige Sorgen","1999","35-65 Jahre alt","Hauptschulabschluss","1584","0.446660958819381","0.430148248538774","0.463173669099988"
"Einige Sorgen","1999","35-65 Jahre alt","Realschulabschluss","776","0.463783380611546","0.439815496700513","0.487751264522579"
"Einige Sorgen","1999","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1999","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1999","66 und älter","AkademikerInnen","90","0.409825481957743","0.341666546408865","0.477984417506622"
"Einige Sorgen","1999","66 und älter","Hauptschulabschluss","604","0.459168248062286","0.4320059917352","0.486330504389373"
"Einige Sorgen","1999","66 und älter","Realschulabschluss","81","0.40678251174018","0.337657481276554","0.475907542203806"
"Keine Sorgen","1999","16-34 Jahre alt","(Fach-)Abitur","249","0.341974410286623","0.307324665593001","0.376624154980245"
"Keine Sorgen","1999","16-34 Jahre alt","(noch) kein Abschluss","119","0.3046027998776","0.259668396224159","0.349537203531042"
"Keine Sorgen","1999","16-34 Jahre alt","AkademikerInnen","161","0.3931260107737","0.34618887574771","0.44006314579969"
"Keine Sorgen","1999","16-34 Jahre alt","Hauptschulabschluss","242","0.165461566473112","0.14500841657678","0.185914716369443"
"Keine Sorgen","1999","16-34 Jahre alt","Realschulabschluss","236","0.156033324225818","0.137802256907553","0.174264391544083"
"Keine Sorgen","1999","35-65 Jahre alt","(Fach-)Abitur","104","0.32102087967124","0.273893611493271","0.368148147849209"
"Keine Sorgen","1999","35-65 Jahre alt","(noch) kein Abschluss","99","0.305481092787672","0.255171087896207","0.355791097679138"
"Keine Sorgen","1999","35-65 Jahre alt","AkademikerInnen","386","0.317491939362312","0.292660525342592","0.342323353382033"
"Keine Sorgen","1999","35-65 Jahre alt","Hauptschulabschluss","480","0.124497112184125","0.113531266299698","0.135462958068551"
"Keine Sorgen","1999","35-65 Jahre alt","Realschulabschluss","222","0.152570319761874","0.135288525526635","0.169852113997112"
"Keine Sorgen","1999","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1999","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1999","66 und älter","AkademikerInnen","37","0.181898348884338","0.128435622010261","0.235361075758414"
"Keine Sorgen","1999","66 und älter","Hauptschulabschluss","163","0.117127986396842","0.0996001608415252","0.134655811952159"
"Keine Sorgen","1999","66 und älter","Realschulabschluss","33","0.153631867372445","0.102889873067383","0.204373861677508"
"Grosse Sorgen","2000","16-34 Jahre alt","(Fach-)Abitur","240","0.167828657412737","0.147811738003019","0.187845576822455"
