"plj0046","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Grosse Sorgen","1999","16-34 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1999","16-34 Jahre alt","Niedersachsen","129","0.326472157708393","0.282507041647465","0.370437273769321"
"Grosse Sorgen","1999","16-34 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1999","16-34 Jahre alt","Nordrhein-Westfalen","272","0.288947605380634","0.259784453851786","0.318110756909483"
"Grosse Sorgen","1999","16-34 Jahre alt","Hessen","64","0.311045752957643","0.257301381300929","0.364790124614358"
"Grosse Sorgen","1999","16-34 Jahre alt","Rheinland-Pfalz,Saarland","63","0.300310988812905","0.243028922452969","0.35759305517284"
"Grosse Sorgen","1999","16-34 Jahre alt","Baden-Wuerttemberg","193","0.306255507926252","0.271063251630411","0.341447764222093"
"Grosse Sorgen","1999","16-34 Jahre alt","Bayern","191","0.296016768106496","0.259520356259077","0.332513179953915"
"Grosse Sorgen","1999","16-34 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1999","16-34 Jahre alt","Berlin","55","0.352230204521943","0.276788520383772","0.427671888660115"
"Grosse Sorgen","1999","16-34 Jahre alt","Brandenburg","58","0.296250130595817","0.229360312578576","0.363139948613059"
"Grosse Sorgen","1999","16-34 Jahre alt","Mecklenburg-Vorpommern","38","0.257808526680863","0.185089625190691","0.330527428171034"
"Grosse Sorgen","1999","16-34 Jahre alt","Sachsen","142","0.375711548711148","0.325543581889074","0.425879515533223"
"Grosse Sorgen","1999","16-34 Jahre alt","Sachsen-Anhalt","76","0.421077494250711","0.353817914440679","0.488337074060743"
"Grosse Sorgen","1999","16-34 Jahre alt","Thueringen","82","0.409307384939872","0.345483060240607","0.473131709639137"
"Grosse Sorgen","1999","35-65 Jahre alt","Schleswig-Holstein","43","0.30581493348583","0.239059053681892","0.372570813289769"
"Grosse Sorgen","1999","35-65 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1999","35-65 Jahre alt","Niedersachsen","209","0.379316365208717","0.339997036418746","0.418635693998688"
"Grosse Sorgen","1999","35-65 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1999","35-65 Jahre alt","Nordrhein-Westfalen","525","0.367461882271336","0.34263836044403","0.392285404098643"
"Grosse Sorgen","1999","35-65 Jahre alt","Hessen","165","0.351847944878203","0.309259627076755","0.394436262679651"
"Grosse Sorgen","1999","35-65 Jahre alt","Rheinland-Pfalz,Saarland","119","0.308644716818321","0.263376002310914","0.353913431325728"
"Grosse Sorgen","1999","35-65 Jahre alt","Baden-Wuerttemberg","275","0.373167608122551","0.340918411170476","0.405416805074627"
"Grosse Sorgen","1999","35-65 Jahre alt","Bayern","315","0.325356493471012","0.295148003475883","0.35556498346614"
"Grosse Sorgen","1999","35-65 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1999","35-65 Jahre alt","Berlin","125","0.40401779044392","0.34792703123471","0.46010854965313"
"Grosse Sorgen","1999","35-65 Jahre alt","Brandenburg","135","0.373290068382183","0.322545228814638","0.424034907949727"
"Grosse Sorgen","1999","35-65 Jahre alt","Mecklenburg-Vorpommern","68","0.329955556726061","0.267964151304919","0.391946962147203"
"Grosse Sorgen","1999","35-65 Jahre alt","Sachsen","283","0.45094301167476","0.412512629832209","0.489373393517312"
"Grosse Sorgen","1999","35-65 Jahre alt","Sachsen-Anhalt","162","0.431765947407207","0.382857057931322","0.480674836883092"
"Grosse Sorgen","1999","35-65 Jahre alt","Thueringen","148","0.348933896102572","0.301930020762045","0.3959377714431"
"Grosse Sorgen","1999","66 und älter","Schleswig-Holstein","","","",""
"Grosse Sorgen","1999","66 und älter","Hamburg","","","",""
"Grosse Sorgen","1999","66 und älter","Niedersachsen","69","0.507582890320566","0.427038131049012","0.588127649592119"
"Grosse Sorgen","1999","66 und älter","Bremen","","","",""
"Grosse Sorgen","1999","66 und älter","Nordrhein-Westfalen","149","0.447162812906455","0.393680459042068","0.500645166770841"
"Grosse Sorgen","1999","66 und älter","Hessen","44","0.33660939786198","0.253435888851728","0.419782906872232"
"Grosse Sorgen","1999","66 und älter","Rheinland-Pfalz,Saarland","37","0.279162993548031","0.200523529478464","0.357802457617599"
"Grosse Sorgen","1999","66 und älter","Baden-Wuerttemberg","74","0.37533071733969","0.31015102738876","0.440510407290619"
"Grosse Sorgen","1999","66 und älter","Bayern","119","0.512517533873885","0.452785704664737","0.572249363083032"
"Grosse Sorgen","1999","66 und älter","Saarland","","","",""
"Grosse Sorgen","1999","66 und älter","Berlin","","","",""
"Grosse Sorgen","1999","66 und älter","Brandenburg","33","0.398908597909805","0.28734071614058","0.510476479679031"
"Grosse Sorgen","1999","66 und älter","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1999","66 und älter","Sachsen","56","0.381851759104025","0.304868535599714","0.458834982608335"
"Grosse Sorgen","1999","66 und älter","Sachsen-Anhalt","34","0.430311299544833","0.32744733336522","0.533175265724446"
"Grosse Sorgen","1999","66 und älter","Thueringen","","","",""
"Einige Sorgen","1999","16-34 Jahre alt","Schleswig-Holstein","49","0.481282458783182","0.384317796526917","0.578247121039446"
"Einige Sorgen","1999","16-34 Jahre alt","Hamburg","","","",""
"Einige Sorgen","1999","16-34 Jahre alt","Niedersachsen","199","0.442691779291512","0.396121823483998","0.489261735099026"
"Einige Sorgen","1999","16-34 Jahre alt","Bremen","","","",""
"Einige Sorgen","1999","16-34 Jahre alt","Nordrhein-Westfalen","433","0.466591610630317","0.434494016082365","0.498689205178268"
"Einige Sorgen","1999","16-34 Jahre alt","Hessen","148","0.496621329636755","0.438573531626841","0.554669127646669"
"Einige Sorgen","1999","16-34 Jahre alt","Rheinland-Pfalz,Saarland","119","0.457493838426587","0.395238657490548","0.519749019362625"
"Einige Sorgen","1999","16-34 Jahre alt","Baden-Wuerttemberg","306","0.440186120183761","0.402285581130041","0.478086659237481"
"Einige Sorgen","1999","16-34 Jahre alt","Bayern","271","0.480160675642603","0.440217856454387","0.520103494830819"
"Einige Sorgen","1999","16-34 Jahre alt","Saarland","","","",""
"Einige Sorgen","1999","16-34 Jahre alt","Berlin","50","0.354422660338653","0.278874723233321","0.429970597443986"
"Einige Sorgen","1999","16-34 Jahre alt","Brandenburg","92","0.546154525010076","0.473219968163603","0.61908908185655"
"Einige Sorgen","1999","16-34 Jahre alt","Mecklenburg-Vorpommern","74","0.587814932726513","0.505985955084946","0.669643910368079"
"Einige Sorgen","1999","16-34 Jahre alt","Sachsen","154","0.460558800210601","0.40892653527275","0.512191065148452"
"Einige Sorgen","1999","16-34 Jahre alt","Sachsen-Anhalt","95","0.393914678754888","0.327351985877738","0.460477371632038"
"Einige Sorgen","1999","16-34 Jahre alt","Thueringen","105","0.398919789016707","0.335358942449132","0.462480635584283"
"Einige Sorgen","1999","35-65 Jahre alt","Schleswig-Holstein","89","0.496726551144638","0.424285750284783","0.569167352004493"
"Einige Sorgen","1999","35-65 Jahre alt","Hamburg","","","",""
"Einige Sorgen","1999","35-65 Jahre alt","Niedersachsen","277","0.448080655179886","0.407782416618518","0.488378893741254"
"Einige Sorgen","1999","35-65 Jahre alt","Bremen","","","",""
"Einige Sorgen","1999","35-65 Jahre alt","Nordrhein-Westfalen","646","0.443717725237385","0.418136879533471","0.469298570941299"
"Einige Sorgen","1999","35-65 Jahre alt","Hessen","213","0.419328479576249","0.375321965434746","0.463334993717751"
