"plj0046","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","16-34 Jahre alt","maennlich","733","0.319950364438637","0.300731955744817","0.339168773132457"
"Grosse Sorgen","1999","16-34 Jahre alt","weiblich","667","0.301791506815151","0.283192650781731","0.320390362848571"
"Grosse Sorgen","1999","35-65 Jahre alt","maennlich","1337","0.369744418131563","0.353995025374804","0.385493810888321"
"Grosse Sorgen","1999","35-65 Jahre alt","weiblich","1275","0.359748680118745","0.344240599752836","0.375256760484655"
"Grosse Sorgen","1999","66 und älter","maennlich","294","0.43487688798841","0.399515499186895","0.470238276789925"
"Grosse Sorgen","1999","66 und älter","weiblich","425","0.41418092128407","0.384569567751591","0.443792274816549"
"Einige Sorgen","1999","16-34 Jahre alt","maennlich","995","0.43708990859117","0.416653210880247","0.457526606302094"
"Einige Sorgen","1999","16-34 Jahre alt","weiblich","1134","0.481788788969981","0.461543596523434","0.502033981416529"
"Einige Sorgen","1999","35-65 Jahre alt","maennlich","1578","0.434759046787398","0.418585853607457","0.450932239967339"
"Einige Sorgen","1999","35-65 Jahre alt","weiblich","1788","0.47353324540322","0.457399176388561","0.489667314417879"
"Einige Sorgen","1999","66 und älter","maennlich","356","0.443656437305608","0.408218409665023","0.479094464946192"
"Einige Sorgen","1999","66 und älter","weiblich","478","0.446794861566985","0.416908114622601","0.476681608511368"
"Keine Sorgen","1999","16-34 Jahre alt","maennlich","535","0.242959726970193","0.225289893710525","0.260629560229861"
"Keine Sorgen","1999","16-34 Jahre alt","weiblich","539","0.216419704214868","0.199734546538023","0.233104861891712"
"Keine Sorgen","1999","35-65 Jahre alt","maennlich","694","0.19549653508104","0.182557909610432","0.208435160551647"
"Keine Sorgen","1999","35-65 Jahre alt","weiblich","616","0.166718074478035","0.15467408074508","0.17876206821099"
"Keine Sorgen","1999","66 und älter","maennlich","105","0.121466674705982","0.0981652590783613","0.144768090333603"
"Keine Sorgen","1999","66 und älter","weiblich","160","0.139024217148945","0.118226189277833","0.159822245020058"
"Grosse Sorgen","2000","16-34 Jahre alt","maennlich","974","0.276902792426558","0.261899464160987","0.291906120692128"
"Grosse Sorgen","2000","16-34 Jahre alt","weiblich","907","0.242383811554844","0.228464614608859","0.256303008500828"
"Grosse Sorgen","2000","35-65 Jahre alt","maennlich","2090","0.320554565694634","0.309280918507871","0.331828212881396"
