"hgowner","year","bula_h","quintil","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","Schleswig-Holstein","1","204","0.550806866006082","0.500729126889581","0.600884605122582"
"Eigentuemer","1984","Schleswig-Holstein","2","78","0.70118554671468","0.622500230835985","0.779870862593375"
"Eigentuemer","1984","Schleswig-Holstein","3","","","",""
"Eigentuemer","1984","Schleswig-Holstein","4","","","",""
"Eigentuemer","1984","Schleswig-Holstein","5","","","",""
"Eigentuemer","1984","Hamburg","1","46","0.165489728929837","0.123082641220206","0.207896816639468"
"Eigentuemer","1984","Hamburg","2","","","",""
"Eigentuemer","1984","Hamburg","3","","","",""
"Eigentuemer","1984","Hamburg","4","","","",""
"Eigentuemer","1984","Hamburg","5","","","",""
"Eigentuemer","1984","Niedersachsen","1","504","0.491736645789668","0.462716048162712","0.520757243416624"
"Eigentuemer","1984","Niedersachsen","2","273","0.718167270758102","0.677450794340864","0.758883747175339"
"Eigentuemer","1984","Niedersachsen","3","","","",""
"Eigentuemer","1984","Niedersachsen","4","","","",""
"Eigentuemer","1984","Niedersachsen","5","","","",""
"Eigentuemer","1984","Bremen","1","","","",""
"Eigentuemer","1984","Bremen","2","","","",""
"Eigentuemer","1984","Bremen","3","","","",""
"Eigentuemer","1984","Bremen","4","","","",""
"Eigentuemer","1984","Bremen","5","","","",""
"Eigentuemer","1984","Nordrhein-Westfalen","1","862","0.337908474839432","0.320874573775699","0.354942375903164"
"Eigentuemer","1984","Nordrhein-Westfalen","2","469","0.532208522844245","0.506383507965447","0.558033537723043"
"Eigentuemer","1984","Nordrhein-Westfalen","3","","","",""
"Eigentuemer","1984","Nordrhein-Westfalen","4","","","",""
"Eigentuemer","1984","Nordrhein-Westfalen","5","","","",""
"Eigentuemer","1984","Hessen","1","338","0.421073797807208","0.392054532757314","0.450093062857103"
"Eigentuemer","1984","Hessen","2","144","0.499300572556578","0.456325561348438","0.542275583764718"
"Eigentuemer","1984","Hessen","3","","","",""
"Eigentuemer","1984","Hessen","4","","","",""
"Eigentuemer","1984","Hessen","5","","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","1","375","0.556652909052708","0.521123147275466","0.59218267082995"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","2","190","0.749308830419067","0.702827901244411","0.795789759593724"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","3","","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","4","","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","5","","","",""
"Eigentuemer","1984","Baden-Württemberg","1","716","0.491000376766483","0.469046912234659","0.512953841298307"
"Eigentuemer","1984","Baden-Württemberg","2","447","0.687038599707888","0.659906236663717","0.714170962752059"
"Eigentuemer","1984","Baden-Württemberg","3","","","",""
"Eigentuemer","1984","Baden-Württemberg","4","","","",""
"Eigentuemer","1984","Baden-Württemberg","5","","","",""
"Eigentuemer","1984","Bayern","1","764","0.455956235590806","0.433614154434645","0.478298316746966"
"Eigentuemer","1984","Bayern","2","447","0.72127983849761","0.690628582795565","0.751931094199656"
"Eigentuemer","1984","Bayern","3","","","",""
"Eigentuemer","1984","Bayern","4","","","",""
"Eigentuemer","1984","Bayern","5","","","",""
"Eigentuemer","1984","Saarland","1","","","",""
"Eigentuemer","1984","Saarland","2","","","",""
"Eigentuemer","1984","Saarland","3","","","",""
"Eigentuemer","1984","Saarland","4","","","",""
"Eigentuemer","1984","Saarland","5","","","",""
"Eigentuemer","1984","Berlin","1","34","0.0989251319696494","0.0700608380856038","0.127789425853695"
"Eigentuemer","1984","Berlin","2","","","",""
"Eigentuemer","1984","Berlin","3","","","",""
"Eigentuemer","1984","Berlin","4","","","",""
"Eigentuemer","1984","Berlin","5","","","",""
