"hgowner","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","West","5958","0.469248095476525","0.461557507195454","0.476938683757596"
"Eigentuemer","1984","Ost","","","",""
"Hauptmieter","1984","West","10006","0.519136551826562","0.51143702193892","0.526836081714205"
"Hauptmieter","1984","Ost","","","",""
"Untermieter","1984","West","168","0.00936260682420867","0.00787848936767609","0.0108467242807413"
"Untermieter","1984","Ost","","","",""
"Mieter","1984","West","44","0.0022527458727043","0.0015221471748016","0.00298334457060701"
"Mieter","1984","Ost","","","",""
"Eigentuemer","1985","West","5652","0.474993041481721","0.466892247920077","0.483093835043365"
"Eigentuemer","1985","Ost","","","",""
"Hauptmieter","1985","West","8760","0.512431128349939","0.504322691315336","0.520539565384541"
"Hauptmieter","1985","Ost","","","",""
"Untermieter","1985","West","186","0.0125758301683403","0.0107681498896779","0.0143835104470028"
"Untermieter","1985","Ost","","","",""
"Mieter","1985","West","","","",""
"Mieter","1985","Ost","","","",""
"Eigentuemer","1986","West","5501","0.46935945374049","0.461057600120286","0.477661307360695"
"Eigentuemer","1986","Ost","","","",""
"Hauptmieter","1986","West","8147","0.514547913260589","0.506233948722631","0.522861877798547"
"Hauptmieter","1986","Ost","","","",""
"Untermieter","1986","West","233","0.0158820933482379","0.0138023990066052","0.0179617876898705"
"Untermieter","1986","Ost","","","",""
"Mieter","1986","West","","","",""
"Mieter","1986","Ost","","","",""
"Eigentuemer","1987","West","5419","0.465008537772647","0.456636937493504","0.473380138051789"
"Eigentuemer","1987","Ost","","","",""
"Hauptmieter","1987","West","7958","0.513927638597302","0.505538718737499","0.522316558457105"
"Hauptmieter","1987","Ost","","","",""
"Untermieter","1987","West","252","0.0203929207261463","0.0180206171271348","0.0227652243251579"
"Untermieter","1987","Ost","","","",""
"Mieter","1987","West","","","",""
"Mieter","1987","Ost","","","",""
"Eigentuemer","1988","West","5149","0.464257865958125","0.455688468435738","0.472827263480511"
"Eigentuemer","1988","Ost","","","",""
"Hauptmieter","1988","West","7617","0.511563572172924","0.502974493486356","0.520152650859492"
"Hauptmieter","1988","Ost","","","",""
"Untermieter","1988","West","242","0.0238516538204688","0.0212297913159876","0.02647351632495"
"Untermieter","1988","Ost","","","",""
"Mieter","1988","West","","","",""
"Mieter","1988","Ost","","","",""
"Eigentuemer","1989","West","5024","0.470308529362296","0.461588370468382","0.479028688256211"
"Eigentuemer","1989","Ost","","","",""
"Hauptmieter","1989","West","7323","0.50537093386172","0.49663586309308","0.51410600463036"
"Hauptmieter","1989","Ost","","","",""
"Untermieter","1989","West","223","0.0223990439713795","0.0198137077487586","0.0249843801940004"
"Untermieter","1989","Ost","","","",""
"Mieter","1989","West","","","",""
"Mieter","1989","Ost","","","",""
"Eigentuemer","1990","West","5059","0.469313617260123","0.460541021046943","0.478086213473304"
"Eigentuemer","1990","Ost","1959","0.297447519207102","0.285958857419508","0.308936180994696"
"Hauptmieter","1990","West","7108","0.50589499339717","0.497106439747069","0.514683547047271"
"Hauptmieter","1990","Ost","3898","0.666003948721407","0.654150794055536","0.677857103387279"
"Untermieter","1990","West","258","0.0244730187166208","0.0217569484309107","0.0271890890023308"
"Untermieter","1990","Ost","218","0.0353986273568711","0.0307546292734973","0.0400426254402449"
"Mieter","1990","West","","","",""
"Mieter","1990","Ost","","","",""
"Eigentuemer","1991","West","5093","0.472517106673295","0.463756015921073","0.481278197425518"
"Eigentuemer","1991","Ost","1842","0.298559443183788","0.286644764707179","0.310474121660398"
"Hauptmieter","1991","West","7123","0.502449377429975","0.493675127227633","0.511223627632317"
"Hauptmieter","1991","Ost","3531","0.646990921084144","0.634548253022204","0.659433589146083"
"Untermieter","1991","West","243","0.0235551972484338","0.0208937832128058","0.0262166112840617"
"Untermieter","1991","Ost","287","0.0528113743238866","0.0469882849407233","0.0586344637070498"
"Mieter","1991","West","","","",""
"Mieter","1991","Ost","","","",""
"Eigentuemer","1992","West","5154","0.480148062855407","0.471369005834458","0.488927119876356"
"Eigentuemer","1992","Ost","1732","0.293412924351996","0.281269715431009","0.305556133272982"
"Hauptmieter","1992","West","6998","0.492321240359456","0.483536291667601","0.501106189051311"
"Hauptmieter","1992","Ost","3513","0.679033993184903","0.666583507881168","0.691484478488639"
"Untermieter","1992","West","283","0.0269240311126247","0.0240798066884159","0.0297682555368335"
"Untermieter","1992","Ost","153","0.0262246498163295","0.0219628284771405","0.0304864711555184"
"Mieter","1992","West","","","",""
"Mieter","1992","Ost","","","",""
"Eigentuemer","1993","West","5123","0.484286839886381","0.475476466863086","0.493097212909677"
"Eigentuemer","1993","Ost","1699","0.312619263407274","0.29997960297839","0.325258923836158"
"Hauptmieter","1993","West","6898","0.485362198485023","0.476551249803125","0.494173147166921"
"Hauptmieter","1993","Ost","3343","0.660884720446953","0.647976529089847","0.673792911804059"
"Untermieter","1993","West","339","0.0303509616285953","0.0273266094034361","0.0333753138537545"
"Untermieter","1993","Ost","125","0.0264960161457731","0.0221168843437163","0.0308751479478298"
"Mieter","1993","West","","","",""
"Mieter","1993","Ost","","","",""
"Eigentuemer","1994","West","5077","0.489539058395746","0.480632449271763","0.498445667519729"
"Eigentuemer","1994","Ost","1728","0.314649315520796","0.301818696907097","0.327479934134496"
"Hauptmieter","1994","West","6727","0.482880150790332","0.47397681523953","0.491783486341133"
"Hauptmieter","1994","Ost","3157","0.655283242172069","0.642151465026719","0.668415019317418"
"Untermieter","1994","West","297","0.0275807908139226","0.024662909771437","0.0304986718564082"
"Untermieter","1994","Ost","147","0.0300674423071349","0.0253490202356091","0.0347858643786607"
"Mieter","1994","West","","","",""
"Mieter","1994","Ost","","","",""
"Eigentuemer","1995","West","5179","0.487225087086112","0.478583214976252","0.495866959195973"
"Eigentuemer","1995","Ost","1711","0.328736250378263","0.315530725237798","0.341941775518729"
"Hauptmieter","1995","West","7358","0.483248849651603","0.474609008262991","0.491888691040215"
"Hauptmieter","1995","Ost","2983","0.637398382319226","0.623883706655961","0.65091305798249"
"Untermieter","1995","West","314","0.0295260632622853","0.0265993893230372","0.0324527372015335"
