"hgowner","year","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","5958","0.469248095476525","0.461557507195454","0.476938683757596"
"Hauptmieter","1984","10006","0.519136551826562","0.51143702193892","0.526836081714205"
"Untermieter","1984","168","0.00936260682420867","0.00787848936767609","0.0108467242807413"
"Mieter","1984","44","0.0022527458727043","0.0015221471748016","0.00298334457060701"
"Eigentuemer","1985","5652","0.474993041481721","0.466892247920077","0.483093835043365"
"Hauptmieter","1985","8760","0.512431128349939","0.504322691315336","0.520539565384541"
"Untermieter","1985","186","0.0125758301683403","0.0107681498896779","0.0143835104470028"
"Mieter","1985","","","",""
"Eigentuemer","1986","5501","0.46935945374049","0.461057600120286","0.477661307360695"
"Hauptmieter","1986","8147","0.514547913260589","0.506233948722631","0.522861877798547"
"Untermieter","1986","233","0.0158820933482379","0.0138023990066052","0.0179617876898705"
"Mieter","1986","","","",""
"Eigentuemer","1987","5419","0.465008537772647","0.456636937493504","0.473380138051789"
"Hauptmieter","1987","7958","0.513927638597302","0.505538718737499","0.522316558457105"
"Untermieter","1987","252","0.0203929207261463","0.0180206171271348","0.0227652243251579"
"Mieter","1987","","","",""
"Eigentuemer","1988","5149","0.464257865958125","0.455688468435738","0.472827263480511"
"Hauptmieter","1988","7617","0.511563572172924","0.502974493486356","0.520152650859492"
"Untermieter","1988","242","0.0238516538204688","0.0212297913159876","0.02647351632495"
"Mieter","1988","","","",""
"Eigentuemer","1989","5024","0.470308529362296","0.461588370468382","0.479028688256211"
"Hauptmieter","1989","7323","0.50537093386172","0.49663586309308","0.51410600463036"
"Untermieter","1989","223","0.0223990439713795","0.0198137077487586","0.0249843801940004"
"Mieter","1989","","","",""
"Eigentuemer","1990","7018","0.434934944105376","0.427793939096909","0.442075949113842"
"Hauptmieter","1990","11006","0.537921864936093","0.53074036320635","0.545103366665836"
"Untermieter","1990","476","0.0266584871290355","0.024338164720386","0.0289788095376849"
"Mieter","1990","","","",""
"Eigentuemer","1991","6935","0.43767807593368","0.430458904023312","0.444897247844049"
"Hauptmieter","1991","10654","0.531397152316723","0.52413559863174","0.538658706001707"
"Untermieter","1991","530","0.0294144208779625","0.0269556698888073","0.0318731718671176"
"Mieter","1991","","","",""
"Eigentuemer","1992","6886","0.443422738531736","0.436133233615482","0.450712243447989"
"Hauptmieter","1992","10511","0.529042162076901","0.521717923535268","0.536366400618534"
"Untermieter","1992","436","0.0267864833262884","0.0244173568842304","0.0291556097683463"
"Mieter","1992","","","",""
"Eigentuemer","1993","6822","0.450373340671489","0.443007632127994","0.457739049214984"
"Hauptmieter","1993","10241","0.520037254968251","0.512640941814588","0.527433568121914"
"Untermieter","1993","464","0.0295894043602601","0.0270807537823102","0.03209805493821"
"Mieter","1993","","","",""
"Eigentuemer","1994","6805","0.455571724940843","0.448114450938892","0.463028998942794"
"Hauptmieter","1994","9884","0.516364523271837","0.508881645399497","0.523847401144177"
"Untermieter","1994","444","0.0280637517873198","0.0255907573553406","0.030536746219299"
"Mieter","1994","","","",""
"Eigentuemer","1995","6890","0.4575074504943","0.450170589959173","0.464844311029426"
"Hauptmieter","1995","10341","0.512152839912182","0.504791515245254","0.51951416457911"
"Untermieter","1995","481","0.0303397095935189","0.0278137301941108","0.032865688992927"
"Mieter","1995","","","",""
"Eigentuemer","1996","6962","0.466208787238182","0.45878352142588","0.473634053050484"
"Hauptmieter","1996","9880","0.505908844860504","0.498467083422696","0.513350606298312"
"Untermieter","1996","497","0.0278823679013137","0.0254318363161284","0.030332899486499"
"Mieter","1996","","","",""
"Eigentuemer","1997","7091","0.472975564076934","0.46547197637174","0.480479151782129"
"Hauptmieter","1997","9479","0.49996405053066","0.492449478730861","0.507478622330458"
"Untermieter","1997","437","0.0270603853924059","0.0246217651904698","0.0294990055943419"
"Mieter","1997","","","",""
"Eigentuemer","1998","8227","0.473770534482849","0.46662475543333","0.480916313532367"
"Hauptmieter","1998","9983","0.495231187451991","0.488075881154675","0.502386493749307"
"Untermieter","1998","546","0.0309982780651602","0.0285179505090828","0.0334786056212376"
"Mieter","1998","","","",""
"Eigentuemer","1999","8104","0.481025778981742","0.473724251566515","0.48832730639697"
"Hauptmieter","1999","9449","0.492923009376911","0.485616950809477","0.500229067944345"
"Untermieter","1999","435","0.0260512116413466","0.0237234490958474","0.0283789741868459"
"Mieter","1999","","","",""
"Eigentuemer","2000","15910","0.477725407163928","0.472236001124493","0.483214813203362"
"Hauptmieter","2000","15470","0.505589175919113","0.500094657855846","0.51108369398238"
"Untermieter","2000","427","0.0166854169169592","0.0152777448007571","0.0180930890331613"
"Mieter","2000","","","",""
"Eigentuemer","2001","14487","0.483237250455109","0.477458669559748","0.489015831350471"
"Hauptmieter","2001","13854","0.500456727568829","0.494674898901326","0.506238556236331"
"Untermieter","2001","386","0.0161968586837917","0.0147371543616934","0.0176565630058899"
"Mieter","2001","","","",""
"Eigentuemer","2002","16209","0.487876798916794","0.482231437440469","0.49352216039312"
"Hauptmieter","2002","13469","0.49459099611684","0.488944304931446","0.500237687302234"
"Untermieter","2002","437","0.0174187512709404","0.0159412012526147","0.018896301289266"
"Mieter","2002","","","",""
"Eigentuemer","2003","15495","0.482604384376518","0.47683247933089","0.488376289422147"
"Hauptmieter","2003","12798","0.494683820197237","0.488908745189645","0.500458895204829"
"Untermieter","2003","498","0.0225941999506434","0.020877682930555","0.0243107169707319"
"Mieter","2003","","","",""
"Eigentuemer","2004","15088","0.477975093116044","0.472117042846758","0.48383314338533"
"Hauptmieter","2004","12369","0.499640018030019","0.493776277556378","0.505503758503659"
"Untermieter","2004","470","0.0222109267315549","0.0204826599673858","0.023939193495724"
"Mieter","2004","","","",""
"Eigentuemer","2005","14437","0.476009992350239","0.470020068004176","0.481999916696302"
"Hauptmieter","2005","11783","0.500677787737458","0.49468096232621","0.506674613148706"
"Untermieter","2005","483","0.023292621979897","0.021483602583935","0.025101641375859"
"Mieter","2005","","","",""
"Eigentuemer","2006","15676","0.470699459302858","0.464921124363584","0.476477794242132"
"Hauptmieter","2006","12520","0.508642086452491","0.502854668902228","0.514429504002754"
"Untermieter","2006","466","0.0206418964984075","0.0189959138522404","0.0222878791445746"
"Mieter","2006","","","",""
"Eigentuemer","2007","14602","0.481662329998808","0.475659747912102","0.487664912085514"
"Hauptmieter","2007","11570","0.496533454840654","0.490526976062721","0.502539933618588"
"Untermieter","2007","444","0.0217879473012797","0.0200341271995892","0.0235417674029702"
"Mieter","2007","","","",""
"Eigentuemer","2008","13787","0.494226571177976","0.488013731624319","0.500439410731633"
"Hauptmieter","2008","10668","0.483160036883448","0.476950308072735","0.489369765694161"
"Untermieter","2008","420","0.0225972423497066","0.0207504690387963","0.024444015660617"
"Mieter","2008","","","",""
"Eigentuemer","2009","12893","0.505889293948806","0.499458753000313","0.5123198348973"
"Hauptmieter","2009","9868","0.47122555944835","0.464805230522899","0.477645888373801"
"Untermieter","2009","458","0.0228686225898167","0.0209459554001524","0.0247912897794809"
"Mieter","2009","","","",""
"Eigentuemer","2010","18400","0.514442382952357","0.509381729579051","0.519503036325662"
"Hauptmieter","2010","18506","0.46674042059192","0.461688868047111","0.471791973136729"
"Untermieter","2010","555","0.0187225293683992","0.0173500810183396","0.0200949777184588"
"Mieter","2010","","","",""
"Eigentuemer","2011","22285","0.5152441846184","0.510574528699972","0.519913840536828"
"Hauptmieter","2011","21163","0.466834357324329","0.462172818550038","0.471495896098621"
"Untermieter","2011","546","0.0178476285694859","0.0166105521973465","0.0190847049416253"
"Mieter","2011","","","",""
"Eigentuemer","2012","21648","0.514992367175295","0.510235630400729","0.51974910394986"
"Hauptmieter","2012","20275","0.467915292654968","0.463166224036561","0.472664361273375"
"Untermieter","2012","477","0.017048901352219","0.0158167938792453","0.0182810088251928"
"Mieter","2012","","","",""
"Eigentuemer","2013","22199","0.507653719131378","0.503165568655122","0.512141869607634"
"Hauptmieter","2013","24927","0.475740626824049","0.471257236868298","0.4802240167798"
"Untermieter","2013","536","0.01656926368091","0.0154232975404805","0.0177152298213395"
"Mieter","2013","","","",""
"Eigentuemer","2014","19972","0.507811834543626","0.503002284909871","0.51262138417738"
"Hauptmieter","2014","21066","0.475395585649175","0.470591276328929","0.480199894969421"
"Untermieter","2014","466","0.0166423537790603","0.0154116584763991","0.0178730490817216"
"Mieter","2014","","","",""
"Eigentuemer","2015","18913","0.507977514958125","0.503141410748782","0.512813619167468"
"Hauptmieter","2015","21604","0.475650700363644","0.470819719164763","0.480481681562524"
"Untermieter","2015","535","0.016371784678231","0.0151442198633222","0.0175993494931397"
"Mieter","2015","","","",""
"Eigentuemer","2016","17525","0.511017504377652","0.505909471966709","0.516125536788595"
"Hauptmieter","2016","18765","0.469877951415157","0.464777958572203","0.474977944258112"
"Untermieter","2016","499","0.0191045442071913","0.0177057017634141","0.0205033866509685"
"Mieter","2016","","","",""
"Eigentuemer","2017","19450","0.512377137778886","0.507861756366728","0.516892519191045"
"Hauptmieter","2017","26681","0.466917255821359","0.462410388073475","0.471424123569243"
"Untermieter","2017","943","0.0207056063997548","0.0194192593622195","0.02199195343729"
"Mieter","2017","","","",""
"Eigentuemer","2018","18436","0.513310325774136","0.508845571284508","0.517775080263764"
"Hauptmieter","2018","28896","0.469616573439244","0.465158489962397","0.474074656916091"
"Untermieter","2018","810","0.0169744285394509","0.0158205462567838","0.0181283108221181"
"Mieter","2018","","","",""
"Eigentuemer","2019","21134","0.516524323993594","0.51208415801389","0.520964489973297"
"Hauptmieter","2019","26517","0.465787506209781","0.461355325702832","0.470219686716731"
"Untermieter","2019","1008","0.017688169796625","0.0165169655516683","0.0188593740415817"
"Mieter","2019","","","",""
"Eigentuemer","2020","18617","0.511191665276497","0.506807124207398","0.515576206345596"
