"hgowner","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Mieter","1985","2","Staedtischer Raum","","","",""
"Mieter","1985","2","Laendlicher Raum","","","",""
"Mieter","1985","3","Staedtischer Raum","","","",""
"Mieter","1985","3","Laendlicher Raum","","","",""
"Mieter","1985","4","Staedtischer Raum","","","",""
"Mieter","1985","4","Laendlicher Raum","","","",""
"Mieter","1985","5","Staedtischer Raum","","","",""
"Mieter","1985","5","Laendlicher Raum","","","",""
"Eigentuemer","1986","1","Staedtischer Raum","2456","0.37575152962955","0.364745032465073","0.386758026794027"
"Eigentuemer","1986","1","Laendlicher Raum","1024","0.546845286294281","0.524716609373484","0.568973963215077"
"Eigentuemer","1986","2","Staedtischer Raum","1306","0.580094464758145","0.563625598450402","0.596563331065888"
"Eigentuemer","1986","2","Laendlicher Raum","715","0.796769205092426","0.772429547204939","0.821108862979914"
"Eigentuemer","1986","3","Staedtischer Raum","","","",""
"Eigentuemer","1986","3","Laendlicher Raum","","","",""
"Eigentuemer","1986","4","Staedtischer Raum","","","",""
"Eigentuemer","1986","4","Laendlicher Raum","","","",""
"Eigentuemer","1986","5","Staedtischer Raum","","","",""
"Eigentuemer","1986","5","Laendlicher Raum","","","",""
"Hauptmieter","1986","1","Staedtischer Raum","4828","0.604687321386406","0.593576253345488","0.615798389427325"
"Hauptmieter","1986","1","Laendlicher Raum","871","0.433891307333803","0.411859996023895","0.455922618643711"
"Hauptmieter","1986","2","Staedtischer Raum","2122","0.413610940438422","0.39717753834035","0.430044342536493"
"Hauptmieter","1986","2","Laendlicher Raum","326","0.201348798744874","0.177093505054479","0.225604092435268"
"Hauptmieter","1986","3","Staedtischer Raum","","","",""
"Hauptmieter","1986","3","Laendlicher Raum","","","",""
"Hauptmieter","1986","4","Staedtischer Raum","","","",""
"Hauptmieter","1986","4","Laendlicher Raum","","","",""
"Hauptmieter","1986","5","Staedtischer Raum","","","",""
"Hauptmieter","1986","5","Laendlicher Raum","","","",""
"Untermieter","1986","1","Staedtischer Raum","154","0.0195611489840439","0.0164139265336131","0.0227083714344747"
"Untermieter","1986","1","Laendlicher Raum","48","0.0180812300497178","0.0121580937350945","0.0240043663643411"
"Untermieter","1986","2","Staedtischer Raum","","","",""
"Untermieter","1986","2","Laendlicher Raum","","","",""
"Untermieter","1986","3","Staedtischer Raum","","","",""
"Untermieter","1986","3","Laendlicher Raum","","","",""
"Untermieter","1986","4","Staedtischer Raum","","","",""
"Untermieter","1986","4","Laendlicher Raum","","","",""
"Untermieter","1986","5","Staedtischer Raum","","","",""
"Untermieter","1986","5","Laendlicher Raum","","","",""
"Mieter","1986","1","Staedtischer Raum","","","",""
"Mieter","1986","1","Laendlicher Raum","","","",""
"Mieter","1986","2","Staedtischer Raum","","","",""
"Mieter","1986","2","Laendlicher Raum","","","",""
"Mieter","1986","3","Staedtischer Raum","","","",""
"Mieter","1986","3","Laendlicher Raum","","","",""
"Mieter","1986","4","Staedtischer Raum","","","",""
"Mieter","1986","4","Laendlicher Raum","","","",""
"Mieter","1986","5","Staedtischer Raum","","","",""
"Mieter","1986","5","Laendlicher Raum","","","",""
