"hgowner","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","1-Pers.-HH","1","256","0.232513089466181","0.209442996130527","0.255583182801834"
"Eigentuemer","1984","1-Pers.-HH","2","","","",""
"Eigentuemer","1984","1-Pers.-HH","3","","","",""
"Eigentuemer","1984","1-Pers.-HH","4","","","",""
"Eigentuemer","1984","1-Pers.-HH","5","","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","1","1020","0.436683977614201","0.417982966021061","0.455384989207341"
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","2","","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","3","","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","4","","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","5","","","",""
"Eigentuemer","1984","Alleinerziehende","1","191","0.322284867158719","0.288405682419939","0.356164051897499"
"Eigentuemer","1984","Alleinerziehende","2","","","",""
"Eigentuemer","1984","Alleinerziehende","3","","","",""
"Eigentuemer","1984","Alleinerziehende","4","","","",""
"Eigentuemer","1984","Alleinerziehende","5","","","",""
"Eigentuemer","1984","Paar mit Kind(ern)","1","2233","0.488829481329309","0.476147261462545","0.501511701196072"
"Eigentuemer","1984","Paar mit Kind(ern)","2","1751","0.607975430357599","0.593530533693253","0.622420327021944"
"Eigentuemer","1984","Paar mit Kind(ern)","3","","","",""
"Eigentuemer","1984","Paar mit Kind(ern)","4","","","",""
"Eigentuemer","1984","Paar mit Kind(ern)","5","","","",""
"Eigentuemer","1984","Sonstige","1","169","0.486378353622614","0.437025898919693","0.535730808325535"
"Eigentuemer","1984","Sonstige","2","315","0.817558030782192","0.786859473095524","0.848256588468861"
"Eigentuemer","1984","Sonstige","3","","","",""
"Eigentuemer","1984","Sonstige","4","","","",""
"Eigentuemer","1984","Sonstige","5","","","",""
"Hauptmieter","1984","1-Pers.-HH","1","973","0.737397237483663","0.713365201927958","0.761429273039368"
"Hauptmieter","1984","1-Pers.-HH","2","","","",""
"Hauptmieter","1984","1-Pers.-HH","3","","","",""
"Hauptmieter","1984","1-Pers.-HH","4","","","",""
"Hauptmieter","1984","1-Pers.-HH","5","","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","1","1652","0.553781618250595","0.535038216453392","0.572525020047799"
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","2","","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","3","","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","4","","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","5","","","",""
"Hauptmieter","1984","Alleinerziehende","1","536","0.668894253456939","0.634778772828426","0.703009734085452"
"Hauptmieter","1984","Alleinerziehende","2","70","0.518867472603562","0.419436243879854","0.618298701327271"
"Hauptmieter","1984","Alleinerziehende","3","","","",""
"Hauptmieter","1984","Alleinerziehende","4","","","",""
"Hauptmieter","1984","Alleinerziehende","5","","","",""
