"hgowner","year","quintil","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","1","3869","0.415916272723393","0.406740134770662","0.425092410676124"
"Eigentuemer","1984","2","2089","0.630231421674135","0.616973474606265","0.643489368742005"
"Eigentuemer","1984","3","","","",""
"Eigentuemer","1984","4","","","",""
"Eigentuemer","1984","5","","","",""
"Hauptmieter","1984","1","7055","0.57053188808594","0.561316261958976","0.579747514212903"
"Hauptmieter","1984","2","2951","0.363998554380312","0.350784376954422","0.377212731806202"
"Hauptmieter","1984","3","","","",""
"Hauptmieter","1984","4","","","",""
"Hauptmieter","1984","5","","","",""
"Untermieter","1984","1","136","0.0111940607970744","0.0092353568963389","0.0131527646978099"
"Untermieter","1984","2","32","0.00383432113829634","0.00213697161700609","0.0055316706595866"
"Untermieter","1984","3","","","",""
"Untermieter","1984","4","","","",""
"Untermieter","1984","5","","","",""
"Mieter","1984","1","","","",""
"Mieter","1984","2","","","",""
"Mieter","1984","3","","","",""
"Mieter","1984","4","","","",""
"Mieter","1984","5","","","",""
"Eigentuemer","1985","1","3593","0.420240393638994","0.410544708110496","0.429936079167491"
"Eigentuemer","1985","2","2059","0.655104964182878","0.641430999940005","0.66877892842575"
"Eigentuemer","1985","3","","","",""
"Eigentuemer","1985","4","","","",""
"Eigentuemer","1985","5","","","",""
"Hauptmieter","1985","1","6217","0.565934229908202","0.556198547504463","0.575669912311942"
"Hauptmieter","1985","2","2543","0.336429658616195","0.322837571675689","0.350021745556701"
"Hauptmieter","1985","3","","","",""
"Hauptmieter","1985","4","","","",""
"Hauptmieter","1985","5","","","",""
"Untermieter","1985","1","146","0.013825376452804","0.0115317587004731","0.0161189942051349"
"Untermieter","1985","2","40","0.00846537720092771","0.00582981893486327","0.0111009354669922"
"Untermieter","1985","3","","","",""
"Untermieter","1985","4","","","",""
"Untermieter","1985","5","","","",""
"Mieter","1985","1","","","",""
"Mieter","1985","2","","","",""
"Mieter","1985","3","","","",""
"Mieter","1985","4","","","",""
"Mieter","1985","5","","","",""
"Eigentuemer","1986","1","3480","0.415525731740184","0.405553737105819","0.425497726374549"
"Eigentuemer","1986","2","2021","0.645680760257564","0.631705879056877","0.65965564145825"
"Eigentuemer","1986","3","","","",""
"Eigentuemer","1986","4","","","",""
"Eigentuemer","1986","5","","","",""
"Hauptmieter","1986","1","5699","0.56498233556433","0.554950711289098","0.575013959839561"
"Hauptmieter","1986","2","2448","0.349360315160299","0.335430386446238","0.36329024387436"
"Hauptmieter","1986","3","","","",""
"Hauptmieter","1986","4","","","",""
"Hauptmieter","1986","5","","","",""
"Untermieter","1986","1","202","0.0192171119136756","0.0164391206450894","0.0219951031822618"
"Untermieter","1986","2","31","0.00495892458213759","0.00290655253872138","0.0070112966255538"
"Untermieter","1986","3","","","",""
"Untermieter","1986","4","","","",""
"Untermieter","1986","5","","","",""
"Mieter","1986","1","","","",""
"Mieter","1986","2","","","",""
"Mieter","1986","3","","","",""
"Mieter","1986","4","","","",""
"Mieter","1986","5","","","",""
"Eigentuemer","1987","1","3464","0.411688959654944","0.401685702586677","0.421692216723211"
"Eigentuemer","1987","2","1955","0.645845868889265","0.631613935047835","0.660077802730695"
"Eigentuemer","1987","3","","","",""
"Eigentuemer","1987","4","","","",""
"Eigentuemer","1987","5","","","",""
"Hauptmieter","1987","1","5628","0.56373811680249","0.553657997895791","0.57381823570919"
"Hauptmieter","1987","2","2330","0.344991681895159","0.330845767136529","0.359137596653788"
"Hauptmieter","1987","3","","","",""
"Hauptmieter","1987","4","","","",""
"Hauptmieter","1987","5","","","",""
"Untermieter","1987","1","199","0.0237042060636871","0.0206120832416452","0.026796328885729"
"Untermieter","1987","2","53","0.00916244921557655","0.00632707532409762","0.0119978231070555"
"Untermieter","1987","3","","","",""
"Untermieter","1987","4","","","",""
"Untermieter","1987","5","","","",""
"Mieter","1987","1","","","",""
"Mieter","1987","2","","","",""
"Mieter","1987","3","","","",""
"Mieter","1987","4","","","",""
"Mieter","1987","5","","","",""
"Eigentuemer","1988","1","3347","0.417274334332106","0.407066348069871","0.427482320594342"
"Eigentuemer","1988","2","1802","0.631912864417665","0.617054007288101","0.646771721547229"
"Eigentuemer","1988","3","","","",""
"Eigentuemer","1988","4","","","",""
"Eigentuemer","1988","5","","","",""
"Hauptmieter","1988","1","5416","0.554655924705858","0.544367311635532","0.564944537776184"
"Hauptmieter","1988","2","2201","0.35779377140456","0.343025314042732","0.372562228766387"
"Hauptmieter","1988","3","","","",""
"Hauptmieter","1988","4","","","",""
"Hauptmieter","1988","5","","","",""
"Untermieter","1988","1","198","0.027651220407062","0.0242568021409552","0.0310456386731688"
"Untermieter","1988","2","44","0.0102933641777754","0.00718370065657734","0.0134030276989735"
"Untermieter","1988","3","","","",""
"Untermieter","1988","4","","","",""
"Untermieter","1988","5","","","",""
"Mieter","1988","1","","","",""
"Mieter","1988","2","","","",""
"Mieter","1988","3","","","",""
"Mieter","1988","4","","","",""
"Mieter","1988","5","","","",""
"Eigentuemer","1989","1","3251","0.421674016025241","0.411247970451697","0.432100061598785"
"Eigentuemer","1989","2","1773","0.650472778093755","0.635634891189858","0.665310664997652"
"Eigentuemer","1989","3","","","",""
"Eigentuemer","1989","4","","","",""
"Eigentuemer","1989","5","","","",""
"Hauptmieter","1989","1","5172","0.551200741102371","0.540699858381149","0.561701623823593"
"Hauptmieter","1989","2","2151","0.335596585883853","0.320902530057499","0.350290641710207"
"Hauptmieter","1989","3","","","",""
"Hauptmieter","1989","4","","","",""
"Hauptmieter","1989","5","","","",""
"Untermieter","1989","1","180","0.0246850518904785","0.0214091241879316","0.0279609795930255"
"Untermieter","1989","2","43","0.0139306360223924","0.0102834644311762","0.0175778076136086"
"Untermieter","1989","3","","","",""
"Untermieter","1989","4","","","",""
"Untermieter","1989","5","","","",""
"Mieter","1989","1","","","",""
"Mieter","1989","2","","","",""
"Mieter","1989","3","","","",""
"Mieter","1989","4","","","",""
"Mieter","1989","5","","","",""
"Eigentuemer","1990","1","4769","0.39675863016646","0.388499926282806","0.405017334050115"
"Eigentuemer","1990","2","2249","0.589394160181942","0.575804551208406","0.602983769155479"
"Eigentuemer","1990","3","","","",""
"Eigentuemer","1990","4","","","",""
"Eigentuemer","1990","5","","","",""
"Hauptmieter","1990","1","8291","0.572143854296502","0.563791581878499","0.580496126714506"
"Hauptmieter","1990","2","2715","0.399461623393461","0.385931573455164","0.412991673331758"
"Hauptmieter","1990","3","","","",""
"Hauptmieter","1990","4","","","",""
"Hauptmieter","1990","5","","","",""
"Untermieter","1990","1","411","0.0305486457812489","0.0276435387524499","0.0334537528100479"
"Untermieter","1990","2","65","0.0109191243190012","0.00804833518947109","0.0137899134485313"
"Untermieter","1990","3","","","",""
"Untermieter","1990","4","","","",""
"Untermieter","1990","5","","","",""
"Mieter","1990","1","","","",""
"Mieter","1990","2","","","",""
"Mieter","1990","3","","","",""
"Mieter","1990","4","","","",""
"Mieter","1990","5","","","",""
"Eigentuemer","1991","1","4727","0.398751362976896","0.390434886939962","0.40706783901383"
"Eigentuemer","1991","2","2208","0.599462437120363","0.58563626225892","0.613288611981805"
"Eigentuemer","1991","3","","","",""
"Eigentuemer","1991","4","","","",""
"Eigentuemer","1991","5","","","",""
"Hauptmieter","1991","1","8111","0.565532711240621","0.557113554308792","0.57395186817245"
"Hauptmieter","1991","2","2543","0.38952543557598","0.375765983815827","0.403284887336134"
"Hauptmieter","1991","3","","","",""
