"hgowner","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1985","Staedtischer Raum","West","3850","0.425712669700182","0.416659168002236","0.434766171398128"
"Eigentuemer","1985","Staedtischer Raum","Ost","","","",""
"Eigentuemer","1985","Laendlicher Raum","West","1802","0.62183168421297","0.604870262189817","0.638793106236124"
"Eigentuemer","1985","Laendlicher Raum","Ost","","","",""
"Hauptmieter","1985","Staedtischer Raum","West","7450","0.560535829663569","0.551448064259102","0.569623595068035"
"Hauptmieter","1985","Staedtischer Raum","Ost","","","",""
"Hauptmieter","1985","Laendlicher Raum","West","1310","0.369095581264401","0.352217056917285","0.385974105611516"
"Hauptmieter","1985","Laendlicher Raum","Ost","","","",""
"Untermieter","1985","Staedtischer Raum","West","158","0.0137515006362491","0.011619133864415","0.0158838674080832"
"Untermieter","1985","Staedtischer Raum","Ost","","","",""
"Untermieter","1985","Laendlicher Raum","West","","","",""
"Untermieter","1985","Laendlicher Raum","Ost","","","",""
"Mieter","1985","Staedtischer Raum","West","","","",""
"Mieter","1985","Staedtischer Raum","Ost","","","",""
"Mieter","1985","Laendlicher Raum","West","","","",""
"Mieter","1985","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1986","Staedtischer Raum","West","3762","0.420124282997813","0.410853201723009","0.429395364272618"
"Eigentuemer","1986","Staedtischer Raum","Ost","","","",""
"Eigentuemer","1986","Laendlicher Raum","West","1739","0.617938623812246","0.600534128612353","0.63534311901214"
"Eigentuemer","1986","Laendlicher Raum","Ost","","","",""
"Hauptmieter","1986","Staedtischer Raum","West","6950","0.563195379808051","0.553878999938618","0.572511759677484"
"Hauptmieter","1986","Staedtischer Raum","Ost","","","",""
"Hauptmieter","1986","Laendlicher Raum","West","1197","0.367742284343572","0.350470347284445","0.385014221402698"
"Hauptmieter","1986","Laendlicher Raum","Ost","","","",""
"Untermieter","1986","Staedtischer Raum","West","176","0.0166803371941355","0.0142747350092459","0.0190859393790251"
"Untermieter","1986","Staedtischer Raum","Ost","","","",""
"Untermieter","1986","Laendlicher Raum","West","57","0.0134731973019904","0.00934355940813048","0.0176028351958504"
"Untermieter","1986","Laendlicher Raum","Ost","","","",""
"Mieter","1986","Staedtischer Raum","West","","","",""
"Mieter","1986","Staedtischer Raum","Ost","","","",""
"Mieter","1986","Laendlicher Raum","West","","","",""
"Mieter","1986","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1987","Staedtischer Raum","West","3773","0.419087766725398","0.409737481775907","0.428438051674889"
"Eigentuemer","1987","Staedtischer Raum","Ost","","","",""
"Eigentuemer","1987","Laendlicher Raum","West","1646","0.605081115238718","0.587408165258184","0.622754065219252"
"Eigentuemer","1987","Laendlicher Raum","Ost","","","",""
"Hauptmieter","1987","Staedtischer Raum","West","6716","0.560352764252795","0.550946871427414","0.569758657078176"
"Hauptmieter","1987","Staedtischer Raum","Ost","","","",""
"Hauptmieter","1987","Laendlicher Raum","West","1242","0.372316623332331","0.354839303849951","0.389793942814711"
"Hauptmieter","1987","Laendlicher Raum","Ost","","","",""
"Untermieter","1987","Staedtischer Raum","West","201","0.0196686202926554","0.0170371983404289","0.0223000422448818"
"Untermieter","1987","Staedtischer Raum","Ost","","","",""
"Untermieter","1987","Laendlicher Raum","West","51","0.0226022614289513","0.0172287285584115","0.0279757942994912"
"Untermieter","1987","Laendlicher Raum","Ost","","","",""
"Mieter","1987","Staedtischer Raum","West","","","",""
"Mieter","1987","Staedtischer Raum","Ost","","","",""
"Mieter","1987","Laendlicher Raum","West","","","",""
"Mieter","1987","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1988","Staedtischer Raum","West","3646","0.423524281295818","0.413960467735739","0.433088094855898"
"Eigentuemer","1988","Staedtischer Raum","Ost","","","",""
"Eigentuemer","1988","Laendlicher Raum","West","1503","0.591194712739573","0.572843987584664","0.609545437894481"
"Eigentuemer","1988","Laendlicher Raum","Ost","","","",""
"Hauptmieter","1988","Staedtischer Raum","West","6423","0.552891438027936","0.54326805304581","0.562514823010061"
"Hauptmieter","1988","Staedtischer Raum","Ost","","","",""
"Hauptmieter","1988","Laendlicher Raum","West","1194","0.382774784755048","0.36463119579968","0.400918373710417"
"Hauptmieter","1988","Laendlicher Raum","Ost","","","",""
"Untermieter","1988","Staedtischer Raum","West","184","0.0233066107161286","0.0203863601301955","0.0262268613020616"
"Untermieter","1988","Staedtischer Raum","Ost","","","",""
"Untermieter","1988","Laendlicher Raum","West","58","0.0255501552805906","0.0196602782819652","0.0314400322792159"
"Untermieter","1988","Laendlicher Raum","Ost","","","",""
"Mieter","1988","Staedtischer Raum","West","","","",""
"Mieter","1988","Staedtischer Raum","Ost","","","",""
"Mieter","1988","Laendlicher Raum","West","","","",""
"Mieter","1988","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1989","Staedtischer Raum","West","3600","0.431687104134535","0.421965560067818","0.441408648201251"
"Eigentuemer","1989","Staedtischer Raum","Ost","","","",""
"Eigentuemer","1989","Laendlicher Raum","West","1424","0.594651263745167","0.575826741151349","0.613475786338986"
"Eigentuemer","1989","Laendlicher Raum","Ost","","","",""
"Hauptmieter","1989","Staedtischer Raum","West","6183","0.545034055940471","0.535260373580816","0.554807738300125"
"Hauptmieter","1989","Staedtischer Raum","Ost","","","",""
"Hauptmieter","1989","Laendlicher Raum","West","1140","0.377674427988383","0.359085857197438","0.396262998779329"
"Hauptmieter","1989","Laendlicher Raum","Ost","","","",""
"Untermieter","1989","Staedtischer Raum","West","178","0.0212775087622407","0.0184451573905694","0.0241098601339121"
"Untermieter","1989","Staedtischer Raum","Ost","","","",""
"Untermieter","1989","Laendlicher Raum","West","45","0.0260098572385901","0.01990712028141","0.0321125941957702"
"Untermieter","1989","Laendlicher Raum","Ost","","","",""
"Mieter","1989","Staedtischer Raum","West","","","",""
"Mieter","1989","Staedtischer Raum","Ost","","","",""
"Mieter","1989","Laendlicher Raum","West","","","",""
"Mieter","1989","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1990","Staedtischer Raum","West","3619","0.430934457654956","0.421148993341246","0.440719921968667"
"Eigentuemer","1990","Staedtischer Raum","Ost","263","0.113146951674244","0.099302067835383","0.126991835513105"
"Eigentuemer","1990","Laendlicher Raum","West","1440","0.595294863836788","0.576406317714605","0.61418340995897"
"Eigentuemer","1990","Laendlicher Raum","Ost","1691","0.405645540660466","0.390315581800708","0.420975499520225"
"Hauptmieter","1990","Staedtischer Raum","West","6035","0.547536236541357","0.537700814125017","0.557371658957697"
"Hauptmieter","1990","Staedtischer Raum","Ost","1688","0.856307798600749","0.840976688430542","0.871638908770956"
"Hauptmieter","1990","Laendlicher Raum","West","1073","0.369205816920244","0.350634563666666","0.387777070173822"
"Hauptmieter","1990","Laendlicher Raum","Ost","2087","0.554064915081849","0.538546012027649","0.569583818136049"
"Untermieter","1990","Staedtischer Raum","West","179","0.021456555232282","0.0185932691825116","0.0243198412820525"
"Untermieter","1990","Staedtischer Raum","Ost","56","0.0281884416240387","0.0209546062789902","0.0354222769690872"
"Untermieter","1990","Laendlicher Raum","West","79","0.0343746901945658","0.0273635795366384","0.0413858008524933"
"Untermieter","1990","Laendlicher Raum","Ost","160","0.0397607037295911","0.0336602569567312","0.045861150502451"
"Mieter","1990","Staedtischer Raum","West","","","",""
"Mieter","1990","Staedtischer Raum","Ost","","","",""
"Mieter","1990","Laendlicher Raum","West","","","",""
"Mieter","1990","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1991","Staedtischer Raum","West","3612","0.433229345644221","0.423421200066525","0.443037491221917"
"Eigentuemer","1991","Staedtischer Raum","Ost","250","0.122734278387957","0.10766329348143","0.137805263294485"
"Eigentuemer","1991","Laendlicher Raum","West","1480","0.595545580139553","0.57691568912459","0.614175471154515"
"Eigentuemer","1991","Laendlicher Raum","Ost","1587","0.399558235137616","0.383805621153641","0.41531084912159"
"Hauptmieter","1991","Staedtischer Raum","West","6013","0.543351075555068","0.53349155544619","0.553210595663945"
"Hauptmieter","1991","Staedtischer Raum","Ost","1506","0.838930335055115","0.822046817063309","0.855813853046921"
"Hauptmieter","1991","Laendlicher Raum","West","1108","0.374351165927693","0.355980583171908","0.392721748683478"
"Hauptmieter","1991","Laendlicher Raum","Ost","1903","0.538034822992214","0.522001004839663","0.554068641144765"
"Untermieter","1991","Staedtischer Raum","West","168","0.0214915720045361","0.018621183586931","0.0243619604221413"
"Untermieter","1991","Staedtischer Raum","Ost","61","0.0361930142559042","0.027614728089393","0.0447713004224155"
"Untermieter","1991","Laendlicher Raum","West","75","0.030030490457292","0.0235519336327781","0.0365090472818059"
"Untermieter","1991","Laendlicher Raum","Ost","221","0.0609791018609589","0.0532832751160939","0.0686749286058239"
"Mieter","1991","Staedtischer Raum","West","","","",""
"Mieter","1991","Staedtischer Raum","Ost","","","",""
"Mieter","1991","Laendlicher Raum","West","","","",""
"Mieter","1991","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1992","Staedtischer Raum","West","3678","0.446218050359531","0.436345904173993","0.456090196545069"
"Eigentuemer","1992","Staedtischer Raum","Ost","254","0.128738161103133","0.113188453102165","0.144287869104101"
"Eigentuemer","1992","Laendlicher Raum","West","1476","0.589016943896318","0.570392833526169","0.607641054266467"
"Eigentuemer","1992","Laendlicher Raum","Ost","1469","0.398945041006482","0.382628666333412","0.415261415679551"
"Hauptmieter","1992","Staedtischer Raum","West","5838","0.527041480429816","0.517126256253038","0.536956704606594"
"Hauptmieter","1992","Staedtischer Raum","Ost","1497","0.853401240436473","0.836978863207313","0.869823617665632"
"Hauptmieter","1992","Laendlicher Raum","West","1140","0.380827446534926","0.362446424620929","0.399208468448922"
"Hauptmieter","1992","Laendlicher Raum","Ost","1871","0.568269891829428","0.551765727720849","0.584774055938006"
"Untermieter","1992","Staedtischer Raum","West","220","0.0262638747154859","0.023087961306995","0.0294397881239768"
"Untermieter","1992","Staedtischer Raum","Ost","30","0.0162583556541194","0.0103865309842404","0.0221301803239984"
"Untermieter","1992","Laendlicher Raum","West","63","0.0291383389289961","0.022771692163677","0.0355049856943153"
"Untermieter","1992","Laendlicher Raum","Ost","118","0.0315549173758718","0.0257301167533526","0.037379717998391"
"Mieter","1992","Staedtischer Raum","West","","","",""
"Mieter","1992","Staedtischer Raum","Ost","","","",""
"Mieter","1992","Laendlicher Raum","West","","","",""
"Mieter","1992","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1993","Staedtischer Raum","West","3641","0.452929302637183","0.44300073957809","0.462857865696275"
"Eigentuemer","1993","Staedtischer Raum","Ost","239","0.133707878881294","0.117771423834969","0.149644333927618"
"Eigentuemer","1993","Laendlicher Raum","West","1482","0.583451931943558","0.564870471259594","0.602033392627522"
"Eigentuemer","1993","Laendlicher Raum","Ost","1460","0.411661964833364","0.395156165110545","0.428167764556184"
"Hauptmieter","1993","Staedtischer Raum","West","5780","0.520480446608271","0.510515962191166","0.530444931025376"
"Hauptmieter","1993","Staedtischer Raum","Ost","1486","0.846331499444763","0.829444840993475","0.863218157896051"
"Hauptmieter","1993","Laendlicher Raum","West","1118","0.374304232409654","0.356063648991149","0.392544815828159"
"Hauptmieter","1993","Laendlicher Raum","Ost","1857","0.558224121115203","0.541568607258897","0.57487963497151"
"Untermieter","1993","Staedtischer Raum","West","235","0.0265902507545461","0.0233813334537832","0.029799168055309"
"Untermieter","1993","Staedtischer Raum","Ost","","","",""
"Untermieter","1993","Laendlicher Raum","West","104","0.0422438356467882","0.0346623573254842","0.0498253139680921"
"Untermieter","1993","Laendlicher Raum","Ost","98","0.0301139140514325","0.0243820391310032","0.0358457889718617"
"Mieter","1993","Staedtischer Raum","West","","","",""
"Mieter","1993","Staedtischer Raum","Ost","","","",""
"Mieter","1993","Laendlicher Raum","West","","","",""
"Mieter","1993","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1994","Staedtischer Raum","West","3549","0.4521807387483","0.44212788082836","0.462233596668241"
"Eigentuemer","1994","Staedtischer Raum","Ost","269","0.144395477436773","0.127784423100746","0.161006531772799"
"Eigentuemer","1994","Laendlicher Raum","West","1528","0.606121551196561","0.58764006388552","0.624603038507602"
