"hgowner","year","quintil","sampreg","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","1","West","3869","0.415916272723393","0.406740134770662","0.425092410676124"
"Eigentuemer","1984","1","Ost","","","",""
"Eigentuemer","1984","2","West","2089","0.630231421674135","0.616973474606265","0.643489368742005"
"Eigentuemer","1984","2","Ost","","","",""
"Eigentuemer","1984","3","West","","","",""
"Eigentuemer","1984","3","Ost","","","",""
"Eigentuemer","1984","4","West","","","",""
"Eigentuemer","1984","4","Ost","","","",""
"Eigentuemer","1984","5","West","","","",""
"Eigentuemer","1984","5","Ost","","","",""
"Hauptmieter","1984","1","West","7055","0.57053188808594","0.561316261958976","0.579747514212903"
"Hauptmieter","1984","1","Ost","","","",""
"Hauptmieter","1984","2","West","2951","0.363998554380312","0.350784376954422","0.377212731806202"
"Hauptmieter","1984","2","Ost","","","",""
"Hauptmieter","1984","3","West","","","",""
"Hauptmieter","1984","3","Ost","","","",""
"Hauptmieter","1984","4","West","","","",""
"Hauptmieter","1984","4","Ost","","","",""
"Hauptmieter","1984","5","West","","","",""
"Hauptmieter","1984","5","Ost","","","",""
"Untermieter","1984","1","West","136","0.0111940607970744","0.0092353568963389","0.0131527646978099"
"Untermieter","1984","1","Ost","","","",""
"Untermieter","1984","2","West","32","0.00383432113829634","0.00213697161700609","0.0055316706595866"
"Untermieter","1984","2","Ost","","","",""
"Untermieter","1984","3","West","","","",""
"Untermieter","1984","3","Ost","","","",""
"Untermieter","1984","4","West","","","",""
"Untermieter","1984","4","Ost","","","",""
"Untermieter","1984","5","West","","","",""
"Untermieter","1984","5","Ost","","","",""
"Mieter","1984","1","West","","","",""
"Mieter","1984","1","Ost","","","",""
"Mieter","1984","2","West","","","",""
"Mieter","1984","2","Ost","","","",""
"Mieter","1984","3","West","","","",""
"Mieter","1984","3","Ost","","","",""
"Mieter","1984","4","West","","","",""
"Mieter","1984","4","Ost","","","",""
"Mieter","1984","5","West","","","",""
"Mieter","1984","5","Ost","","","",""
"Eigentuemer","1985","1","West","3593","0.420240393638994","0.410544708110496","0.429936079167491"
"Eigentuemer","1985","1","Ost","","","",""
"Eigentuemer","1985","2","West","2059","0.655104964182878","0.641430999940005","0.66877892842575"
"Eigentuemer","1985","2","Ost","","","",""
"Eigentuemer","1985","3","West","","","",""
"Eigentuemer","1985","3","Ost","","","",""
"Eigentuemer","1985","4","West","","","",""
"Eigentuemer","1985","4","Ost","","","",""
"Eigentuemer","1985","5","West","","","",""
"Eigentuemer","1985","5","Ost","","","",""
"Hauptmieter","1985","1","West","6217","0.565934229908202","0.556198547504463","0.575669912311942"
"Hauptmieter","1985","1","Ost","","","",""
"Hauptmieter","1985","2","West","2543","0.336429658616195","0.322837571675689","0.350021745556701"
"Hauptmieter","1985","2","Ost","","","",""
"Hauptmieter","1985","3","West","","","",""
"Hauptmieter","1985","3","Ost","","","",""
"Hauptmieter","1985","4","West","","","",""
"Hauptmieter","1985","4","Ost","","","",""
"Hauptmieter","1985","5","West","","","",""
"Hauptmieter","1985","5","Ost","","","",""
"Untermieter","1985","1","West","146","0.013825376452804","0.0115317587004731","0.0161189942051349"
"Untermieter","1985","1","Ost","","","",""
"Untermieter","1985","2","West","40","0.00846537720092771","0.00582981893486327","0.0111009354669922"
"Untermieter","1985","2","Ost","","","",""
"Untermieter","1985","3","West","","","",""
"Untermieter","1985","3","Ost","","","",""
"Untermieter","1985","4","West","","","",""
"Untermieter","1985","4","Ost","","","",""
"Untermieter","1985","5","West","","","",""
"Untermieter","1985","5","Ost","","","",""
"Mieter","1985","1","West","","","",""
"Mieter","1985","1","Ost","","","",""
"Mieter","1985","2","West","","","",""
"Mieter","1985","2","Ost","","","",""
"Mieter","1985","3","West","","","",""
