"hgowner","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1984","Schleswig-Holstein","West","282","0.583993492935261","0.541173827883601","0.626813157986922"
"Eigentuemer","1984","Schleswig-Holstein","Ost","","","",""
"Eigentuemer","1984","Hamburg","West","60","0.170539911265481","0.133355357071488","0.207724465459474"
"Eigentuemer","1984","Hamburg","Ost","","","",""
"Eigentuemer","1984","Niedersachsen","West","777","0.55048048429501","0.526174382745621","0.574786585844399"
"Eigentuemer","1984","Niedersachsen","Ost","","","",""
"Eigentuemer","1984","Bremen","West","44","0.32423350582607","0.253240244260465","0.395226767391675"
"Eigentuemer","1984","Bremen","Ost","","","",""
"Eigentuemer","1984","Nordrhein-Westfalen","West","1331","0.384897199618441","0.370513669836081","0.3992807294008"
"Eigentuemer","1984","Nordrhein-Westfalen","Ost","","","",""
"Eigentuemer","1984","Hessen","West","482","0.439849743249238","0.415767748636932","0.463931737861543"
"Eigentuemer","1984","Hessen","Ost","","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","West","565","0.608162004347683","0.579115348651581","0.637208660043784"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","Ost","","","",""
"Eigentuemer","1984","Baden-Württemberg","West","1163","0.548034891363877","0.530554733678777","0.565515049048977"
"Eigentuemer","1984","Baden-Württemberg","Ost","","","",""
"Eigentuemer","1984","Bayern","West","1211","0.526004056753624","0.507277018392062","0.544731095115185"
"Eigentuemer","1984","Bayern","Ost","","","",""
"Eigentuemer","1984","Saarland","West","","","",""
"Eigentuemer","1984","Saarland","Ost","","","",""
"Eigentuemer","1984","Berlin","West","43","0.104055581695687","0.0783027828331318","0.129808380558242"
"Eigentuemer","1984","Berlin","Ost","","","",""
"Eigentuemer","1984","Brandenburg","West","","","",""
"Eigentuemer","1984","Brandenburg","Ost","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","West","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","Ost","","","",""
