"hgowner","year","hhtyp","regtyp","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1985","1-Pers.-HH","Staedtischer Raum","166","0.201630511463552","0.176197415127358","0.227063607799747"
"Eigentuemer","1985","1-Pers.-HH","Laendlicher Raum","51","0.296795098982638","0.230785288401305","0.362804909563972"
"Eigentuemer","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","656","0.397352088805527","0.375497656603113","0.41920652100794"
"Eigentuemer","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","264","0.54207028643654","0.499411385630297","0.584729187242783"
"Eigentuemer","1985","Alleinerziehende","Staedtischer Raum","128","0.290749736999602","0.254292447308735","0.327207026690469"
"Eigentuemer","1985","Alleinerziehende","Laendlicher Raum","84","0.527481326605416","0.448114442605916","0.606848210604915"
"Eigentuemer","1985","Paar mit Kind(ern)","Staedtischer Raum","2654","0.510616524002889","0.499188358938004","0.522044689067775"
"Eigentuemer","1985","Paar mit Kind(ern)","Laendlicher Raum","1177","0.688279528699898","0.667923371882642","0.708635685517154"
"Eigentuemer","1985","Sonstige","Staedtischer Raum","246","0.543432735237932","0.504536900236519","0.582328570239344"
"Eigentuemer","1985","Sonstige","Laendlicher Raum","226","0.850195363420423","0.809191612160978","0.891199114679869"
"Hauptmieter","1985","1-Pers.-HH","Staedtischer Raum","750","0.771505515295194","0.744890512061029","0.798120518529358"
"Hauptmieter","1985","1-Pers.-HH","Laendlicher Raum","123","0.658414004790103","0.58989063096439","0.726937378615816"
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1244","0.592356748794888","0.570410932050027","0.61430256553975"
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","254","0.445426927126445","0.402871978485742","0.487981875767148"
"Hauptmieter","1985","Alleinerziehende","Staedtischer Raum","458","0.696956978063762","0.660060909679343","0.733853046448181"
"Hauptmieter","1985","Alleinerziehende","Laendlicher Raum","68","0.472518673394584","0.393151789395085","0.551885557394084"
"Hauptmieter","1985","Paar mit Kind(ern)","Staedtischer Raum","4625","0.478977007257731","0.467556373644582","0.490397640870879"
"Hauptmieter","1985","Paar mit Kind(ern)","Laendlicher Raum","800","0.308566687656844","0.288267420072861","0.328865955240827"
"Hauptmieter","1985","Sonstige","Staedtischer Raum","373","0.433071154190201","0.394379105786642","0.47176320259376"
