year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,66 and older,2nd Quintile,246,1.4926328833957778,1.3829276955544691,1.6023380712370865,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1985,66 and older,3rd Quintile,219,2.0442431707283726,1.8849696145958896,2.2035167268608555,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1985,66 and older,4th Quintile,200,2.233367002605664,2.055320337473332,2.411413667737996,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1985,66 and older,5th Quintile,167,2.684375143219729,2.459320497081356,2.9094297893581023,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1986,0-16 y.,1st Quintile,,,,,,,,,,,,
1986,0-16 y.,2nd Quintile,,,,,,,,,,,,
1986,0-16 y.,3rd Quintile,,,,,,,,,,,,
1986,0-16 y.,4th Quintile,,,,,,,,,,,,
1986,0-16 y.,5th Quintile,,,,,,,,,,,,
1986,17-29 y.,1st Quintile,649,2.7735383410243193,2.674870816853894,2.8722058651947444,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,17-29 y.,2nd Quintile,605,2.9843092198464043,2.8729384029830927,3.095680036709716,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,17-29 y.,3rd Quintile,613,2.864806604102039,2.76970957900593,2.9599036291981475,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,17-29 y.,4th Quintile,658,3.4867986720261754,3.3651800515540704,3.6084172924982805,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1986,17-29 y.,5th Quintile,496,3.2015513771094786,3.0819347210692394,3.3211680331497178,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1986,30-45 y.,1st Quintile,596,1.7058802221257718,1.6271405636742087,1.784619880577335,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,30-45 y.,2nd Quintile,681,2.1682686313925044,2.080402842074455,2.256134420710554,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1986,30-45 y.,3rd Quintile,654,2.296109990756223,2.2183506336544867,2.373869347857959,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,30-45 y.,4th Quintile,636,2.543619338281926,2.4504375065537793,2.636801170010073,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,30-45 y.,5th Quintile,677,2.6764172682923704,2.5781127158940333,2.7747218206907074,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,46-65 y.,1st Quintile,545,2.1072353741001435,2.0046563551033523,2.2098143930969347,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1986,46-65 y.,2nd Quintile,532,1.7503931168617812,1.6563146328498102,1.8444716008737523,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,46-65 y.,3rd Quintile,611,2.048990566689647,1.9574159390700403,2.1405651943092536,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,46-65 y.,4th Quintile,739,2.3135143144933243,2.2272620050229026,2.399766623963746,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,46-65 y.,5th Quintile,762,2.533932252562756,2.4407641645545612,2.627100340570951,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,66 and older,1st Quintile,251,1.9338100635885482,1.792832143336425,2.0747879838406718,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,66 and older,2nd Quintile,244,1.9226361536196712,1.7905115382899617,2.054760768949381,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,66 and older,3rd Quintile,211,1.7810469126682624,1.632303749407668,1.9297900759288569,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,66 and older,4th Quintile,162,1.9499563132391655,1.782620430078616,2.117292196399715,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,66 and older,5th Quintile,151,2.2491022240059633,2.0573618451297357,2.440842602882191,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,0-16 y.,1st Quintile,,,,,,,,,,,,
1987,0-16 y.,2nd Quintile,,,,,,,,,,,,
1987,0-16 y.,3rd Quintile,,,,,,,,,,,,
1987,0-16 y.,4th Quintile,,,,,,,,,,,,
1987,0-16 y.,5th Quintile,,,,,,,,,,,,
1987,17-29 y.,1st Quintile,637,2.7094561324113875,2.611778925161178,2.807133339661597,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,17-29 y.,2nd Quintile,612,3.050756732916455,2.944436915415621,3.1570765504172886,1.0,2.0,4.644998390907269,0.0,10.112495977268175,2.0,1.0,2.0
1987,17-29 y.,3rd Quintile,600,3.205021112345698,3.092169762642424,3.317872462048972,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1987,17-29 y.,4th Quintile,653,3.4637577696778648,3.3362494146625794,3.59126612469315,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1987,17-29 y.,5th Quintile,479,3.697115805763214,3.5553258117845767,3.8389057997418514,2.0,3.0,5.0,0.0,9.5,3.0,3.0,4.0
1987,30-45 y.,1st Quintile,555,1.9573445149714612,1.8586429256142019,2.0560461043287206,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,30-45 y.,2nd Quintile,656,2.2073273551117825,2.1221629168117415,2.2924917934118234,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1987,30-45 y.,3rd Quintile,643,2.1660319958963297,2.087271088769203,2.2447929030234564,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1987,30-45 y.,4th Quintile,614,2.437907917757594,2.348613236149264,2.527202599365924,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1987,30-45 y.,5th Quintile,681,2.7849935777617443,2.6835379495645473,2.8864492059589413,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,46-65 y.,1st Quintile,513,2.015066955710301,1.922871072494865,2.1072628389257373,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,46-65 y.,2nd Quintile,538,2.1797315738312113,2.0740577924249015,2.285405355237521,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,46-65 y.,3rd Quintile,630,2.0878992375433074,1.9996328821050795,2.1761655929815356,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,46-65 y.,4th Quintile,742,2.309202319788973,2.225795182863449,2.392609456714497,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1987,46-65 y.,5th Quintile,759,2.5817477760343053,2.4968898490831357,2.666605702985475,1.0,2.0,3.989462917237428,0.0,8.47365729309357,2.0,2.0,2.0
1987,66 and older,1st Quintile,304,1.7788550149085403,1.6623524682751143,1.8953575615419662,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1987,66 and older,2nd Quintile,226,1.7784738021511877,1.6470883080863963,1.909859296215979,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1987,66 and older,3rd Quintile,207,2.2026829938453476,2.036486676810478,2.3688793108802173,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,66 and older,4th Quintile,164,1.7221756459036517,1.5894913373566786,1.8548599544506248,0.0,1.0,2.8829009259451674,0.0,7.207252314862918,1.0,0.0,1.0
