year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2011,Urban regions,18147,3.3080064109485625,3.2863450744073286,3.3296677474897964,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
2011,Rural regions,10201,2.980907764959822,2.9517235763702945,3.0100919535493493,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2012,Urban regions,4445,2.5629204914885886,2.5254197195407433,2.600421263436434,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2012,Rural regions,2699,2.245301615965979,2.199742220703919,2.2908610112280394,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2013,Urban regions,16287,2.765098760124302,2.7442549136689944,2.785942606579609,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2013,Rural regions,9382,2.382422467888367,2.3556425305405075,2.409202405236227,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2014,Urban regions,,,,,,,,,,,,
2014,Rural regions,,,,,,,,,,,,
2015,Urban regions,16165,2.754795265296524,2.733707635242861,2.775882895350187,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2015,Rural regions,8865,2.4777664655085383,2.4489579625881888,2.506574968428888,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
2016,Urban regions,,,,,,,,,,,,
2016,Rural regions,,,,,,,,,,,,
2017,Urban regions,17040,2.703500291476264,2.683588398648875,2.723412184303653,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2017,Rural regions,9355,2.4325313568115696,2.4062934496300343,2.458769263993105,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2018,Urban regions,,,,,,,,,,,,
2018,Rural regions,,,,,,,,,,,,
2019,Urban regions,16356,2.6525996017324553,2.6322928351198667,2.672906368345044,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2019,Rural regions,8805,2.472479412229585,2.4457599579422817,2.4991988665168883,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2020,Urban regions,,,,,,,,,,,,
2020,Rural regions,,,,,,,,,,,,
2021,Urban regions,12714,1.9259966441280971,1.906360563785357,1.9456327244708373,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2021,Rural regions,5949,1.7322794631348606,1.705629996516209,1.7589289297535122,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
