year,pgisced97,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,middle vocational,4. Quintil,217,2.3239188930336616,2.181653538329482,2.466184247737841,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,middle vocational,5. Quintil,77,2.802272416726727,2.469545469203302,3.1349993642501515,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1985,vocational + Abi,1. Quintil,137,3.2096354159726204,2.9853528320078597,3.433917999937381,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1985,vocational + Abi,2. Quintil,74,3.3903833091191222,3.1415545859504483,3.639212032287796,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1985,vocational + Abi,3. Quintil,37,4.227391111816516,3.684522445109384,4.7702597785236485,2.0,4.0,4.0,0.0,7.0,4.0,4.0,6.0
1985,vocational + Abi,4. Quintil,,,,,,,,,,,,
1985,vocational + Abi,5. Quintil,,,,,,,,,,,,
1985,higher vocational,1. Quintil,219,2.517356086190265,2.3677562897236135,2.6669558826569166,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,higher vocational,2. Quintil,211,2.5499677827840164,2.404096454447051,2.6958391111209816,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1985,higher vocational,3. Quintil,108,2.607162337113554,2.402864233996544,2.8114604402305643,1.0,2.0,4.0,0.0,8.0,2.0,1.9749999999999943,2.0
1985,higher vocational,4. Quintil,59,3.0189620023050003,2.6324429930827797,3.405481011527221,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,higher vocational,5. Quintil,,,,,,,,,,,,
1985,higher education,1. Quintil,178,3.085059892274225,2.8702504262194455,3.2998693583290044,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,higher education,2. Quintil,216,3.068246978243596,2.869313150695167,3.2671808057920253,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,higher education,3. Quintil,186,2.8333807651539265,2.6568317166373046,3.0099298136705483,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,higher education,4. Quintil,120,3.630863990331356,3.3636727702438143,3.898055210418898,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
1985,higher education,5. Quintil,48,3.2511704181186833,2.9442243574909437,3.558116478746423,2.0,3.0,4.2241854275322455,0.0,7.560463568830613,3.0,2.0,4.0
1986,in school,1. Quintil,48,3.1053120034143182,2.7949163761381066,3.41570763069053,1.0,2.4752459232745148,4.286491134123256,0.0,9.21622783530814,2.0,0.9749999999999943,2.0
1986,in school,2. Quintil,,,,,,,,,,,,
1986,in school,3. Quintil,,,,,,,,,,,,
1986,in school,4. Quintil,,,,,,,,,,,,
1986,inadequately,1. Quintil,522,2.1592044837532254,2.033091815276415,2.2853171522300357,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1986,inadequately,2. Quintil,178,2.5686631331147005,2.3499568478029587,2.7873694184264424,0.0,2.0,4.0,0.0,10.0,2.0,1.0,3.0
1986,inadequately,3. Quintil,48,2.51240383819759,1.9140755349179026,3.1107321414772775,0.0,0.0,4.0,0.0,10.0,0.0,-3.0,0.0
1986,inadequately,4. Quintil,,,,,,,,,,,,
1986,general elemantary,1. Quintil,1797,2.007007835640934,1.9556328248324535,2.0583828464494145,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1986,general elemantary,2. Quintil,638,2.1214930989255993,2.0245885213672232,2.2183976764839755,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1986,general elemantary,3. Quintil,232,2.4777161999331043,2.317710746952875,2.6377216529133336,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,general elemantary,4. Quintil,52,2.5391890129173467,2.206468617856337,2.8719094079783565,1.0,2.0,4.0,0.0,8.5,2.0,1.0,3.0
1986,general elemantary,5. Quintil,,,,,,,,,,,,
1986,middle vocational,1. Quintil,2413,2.2290464235734353,2.182476021917969,2.2756168252289015,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1986,middle vocational,2. Quintil,1493,2.5772641444406656,2.5116065288777696,2.6429217600035617,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,middle vocational,3. Quintil,734,2.6551058244115335,2.5574010186552094,2.7528106301678577,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,middle vocational,4. Quintil,235,2.836797587420939,2.664954307779702,3.0086408670621756,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,middle vocational,5. Quintil,63,2.5218701265929533,2.135094147641519,2.9086461055443875,0.0,2.0,3.402434616010264,0.0,8.50608654002566,2.0,1.0,3.0
1986,vocational + Abi,1. Quintil,144,2.7153035783134873,2.4970085381476355,2.9335986184793392,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,vocational + Abi,2. Quintil,58,2.7328921027228423,2.4734832850325614,2.9923009204131232,1.0,3.0,4.0,0.0,8.0,3.0,3.0,5.0
1986,vocational + Abi,3. Quintil,40,3.4269149908912486,3.0205368764805822,3.833293105301915,1.548260903245796,2.0,4.6187177105483315,0.0,9.224402921502135,2.0,0.0,2.0
1986,vocational + Abi,4. Quintil,,,,,,,,,,,,
1986,vocational + Abi,5. Quintil,,,,,,,,,,,,
1986,higher vocational,1. Quintil,216,2.197216447164447,2.0477446020916283,2.3466882922372654,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1986,higher vocational,2. Quintil,182,2.834430746932742,2.663198995745191,3.005662498120293,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
