year,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.08265,1252,10903,0.07748,0.08782
1985,At least once per month,0.20009,2832,10903,0.19258,0.20760
1985,Seldom,0.37309,4835,10903,0.36401,0.38217
1985,Never,0.17307,1984,10903,0.16597,0.18017
1986,At least once per week,0.06595,912,10509,0.06120,0.07069
1986,At least once per month,0.17217,2433,10509,0.16495,0.17939
1986,Seldom,0.40045,5029,10509,0.39108,0.40982
1986,Never,0.19200,2135,10509,0.18447,0.19953
1988,At least once per week,0.06047,864,9900,0.05577,0.06516
1988,At least once per month,0.17263,2224,9900,0.16519,0.18008
1988,Seldom,0.39897,4677,9900,0.38933,0.40862
1988,Never,0.19542,2135,9900,0.18761,0.20323
1990,At least once per week,0.02724,763,4377,0.02242,0.03207
1990,At least once per month,0.04525,1273,4377,0.03909,0.05140
1990,Seldom,0.06912,1954,4377,0.06160,0.07664
1990,Never,0.01843,387,4377,0.01445,0.02242
1992,At least once per week,0.07418,1275,13181,0.06971,0.07866
1992,At least once per month,0.21146,3661,13181,0.20449,0.21843
1992,Seldom,0.39157,6432,13181,0.38323,0.39990
1992,Never,0.13488,1813,13181,0.12905,0.14071
1994,At least once per week,0.07373,1226,12789,0.06920,0.07826
1994,At least once per month,0.21099,3527,12789,0.20392,0.21806
1994,Seldom,0.40383,6391,12789,0.39532,0.41233
1994,Never,0.12557,1645,12789,0.11983,0.13131
1996,At least once per week,0.09717,1579,12993,0.09207,0.10226
1996,At least once per month,0.24358,4156,12993,0.23620,0.25096
1996,Seldom,0.37421,5944,12993,0.36589,0.38253
1996,Never,0.10245,1314,12993,0.09724,0.10767
1997,At least once per week,0.09319,1505,12729,0.08814,0.09824
1997,At least once per month,0.23199,3847,12729,0.22466,0.23932
1997,Seldom,0.37548,5944,12729,0.36707,0.38390
1997,Never,0.11315,1433,12729,0.10765,0.11866
1999,At least once per week,0.08654,1454,13596,0.08182,0.09127
1999,At least once per month,0.22101,3992,13596,0.21404,0.22799
1999,Seldom,0.40091,6634,13596,0.39268,0.40915
1999,Never,0.11264,1516,13596,0.10732,0.11795
2001,At least once per week,0.10128,2708,21761,0.09727,0.10529
2001,At least once per month,0.24184,6710,21761,0.23615,0.24753
2001,Seldom,0.35879,9642,21761,0.35242,0.36516
2001,Never,0.11871,2701,21761,0.11441,0.12300
2005,At least once per week,0.10133,2429,20580,0.09721,0.10546
2005,At least once per month,0.25887,6476,20580,0.25288,0.26485
2005,Seldom,0.37190,9486,20580,0.36530,0.37851
2005,Never,0.10307,2189,20580,0.09892,0.10723
2007,At least once per week,0.10005,2566,20388,0.09593,0.10417
2007,At least once per month,0.26145,6448,20388,0.25542,0.26748
2007,Seldom,0.35903,9004,20388,0.35244,0.36561
2007,Never,0.10797,2370,20388,0.10371,0.11223
2009,At least once per week,0.08930,1905,17907,0.08513,0.09348
2009,At least once per month,0.25857,5540,17907,0.25215,0.26498
2009,Seldom,0.38599,8457,17907,0.37886,0.39313
2009,Never,0.10228,2005,17907,0.09784,0.10671
2011,At least once per week,0.10336,3772,28262,0.09981,0.10691
2011,At least once per month,0.25407,9096,28262,0.24900,0.25915
2011,Seldom,0.37461,12341,28262,0.36897,0.38025
2011,Never,0.10085,3053,28262,0.09734,0.10436
2015,At least once per week,0.09822,3525,26716,0.09465,0.10178
2015,At least once per month,0.26693,9027,26716,0.26162,0.27223
2015,Seldom,0.38685,11779,26716,0.38101,0.39269
2015,Never,0.08891,2385,26716,0.08550,0.09232
2017,At least once per week,0.11403,3839,26493,0.11020,0.11785
2017,At least once per month,0.27793,9230,26493,0.27254,0.28333
2017,Seldom,0.35187,11120,26493,0.34612,0.35762
2017,Never,0.08815,2304,26493,0.08473,0.09156
