year,migback,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.07778,716,7885,0.07187,0.08369
1985,No migration background,At least once per month,0.19844,1925,7885,0.18964,0.20725
1985,No migration background,Seldom,0.38753,3761,7885,0.37677,0.39828
1985,No migration background,Never,0.18026,1483,7885,0.17178,0.18875
1985,Direct migration background,At least once per week,0.15103,514,2880,0.13795,0.16411
1985,Direct migration background,At least once per month,0.27128,879,2880,0.25504,0.28752
1985,Direct migration background,Seldom,0.33065,1012,2880,0.31346,0.34783
1985,Direct migration background,Never,0.14893,475,2880,0.13593,0.16194
1985,Indirect migration background,Seldom,0.05594,62,62,-0.00173,0.11361
1986,No migration background,At least once per week,0.06598,566,7545,0.06038,0.07158
1986,No migration background,At least once per month,0.16909,1587,7545,0.16063,0.17755
1986,No migration background,Seldom,0.41274,3840,7545,0.40163,0.42385
1986,No migration background,Never,0.19858,1552,7545,0.18958,0.20758
1986,Direct migration background,At least once per week,0.08547,333,2812,0.07514,0.09581
1986,Direct migration background,At least once per month,0.25037,801,2812,0.23435,0.26638
1986,Direct migration background,Seldom,0.39442,1118,2812,0.37635,0.41249
1986,Direct migration background,Never,0.18309,560,2812,0.16879,0.19739
1986,Indirect migration background,At least once per month,0.03238,45,116,0.00003,0.06473
1986,Indirect migration background,Seldom,0.07243,71,116,0.02506,0.11981
1988,No migration background,At least once per week,0.05862,488,7024,0.05313,0.06412
1988,No migration background,At least once per month,0.17401,1491,7024,0.16514,0.18288
1988,No migration background,Seldom,0.41286,3572,7024,0.40135,0.42438
1988,No migration background,Never,0.19825,1473,7024,0.18893,0.20758
1988,Direct migration background,At least once per week,0.09745,351,2657,0.08617,0.10873
1988,Direct migration background,At least once per month,0.21017,670,2657,0.19468,0.22567
1988,Direct migration background,Seldom,0.39019,1011,2657,0.37164,0.40874
1988,Direct migration background,Never,0.23266,625,2657,0.21659,0.24873
1988,Indirect migration background,At least once per month,0.04380,63,194,0.01493,0.07267
1988,Indirect migration background,Seldom,0.08064,94,194,0.04223,0.11906
1988,Indirect migration background,Never,0.03176,37,194,0.00702,0.05650
1990,No migration background,At least once per week,0.02971,735,4237,0.02459,0.03482
1990,No migration background,At least once per month,0.04974,1236,4237,0.04320,0.05629
1990,No migration background,Seldom,0.07590,1895,4237,0.06792,0.08387
1990,No migration background,Never,0.02023,371,4237,0.01599,0.02447
1990,Direct migration background,At least once per month,0.01702,36,95,-0.00913,0.04318
1990,Direct migration background,Seldom,0.02745,59,95,-0.00558,0.06047
1992,No migration background,At least once per week,0.07177,863,10255,0.06677,0.07676
1992,No migration background,At least once per month,0.21182,2759,10255,0.20391,0.21973
1992,No migration background,Seldom,0.40317,5289,10255,0.39368,0.41267
1992,No migration background,Never,0.13554,1344,10255,0.12892,0.14217
1992,Direct migration background,At least once per week,0.11434,351,2523,0.10192,0.12676
1992,Direct migration background,At least once per month,0.26612,762,2523,0.24887,0.28336
1992,Direct migration background,Seldom,0.41376,988,2523,0.39454,0.43299
1992,Direct migration background,Never,0.17049,422,2523,0.15582,0.18517
1992,Indirect migration background,At least once per week,0.03478,61,403,0.01687,0.05269
1992,Indirect migration background,At least once per month,0.08097,140,403,0.05430,0.10764
1992,Indirect migration background,Seldom,0.09707,155,403,0.06813,0.12601
1992,Indirect migration background,Never,0.04074,47,403,0.02142,0.06007
1994,No migration background,At least once per week,0.07032,852,9958,0.06529,0.07534
1994,No migration background,At least once per month,0.21080,2647,9958,0.20279,0.21881
1994,No migration background,Seldom,0.41528,5210,9958,0.40560,0.42496
1994,No migration background,Never,0.12591,1249,9958,0.11939,0.13243
1994,Direct migration background,At least once per week,0.11671,308,2346,0.10372,0.12971
1994,Direct migration background,At least once per month,0.26686,710,2346,0.24896,0.28477
1994,Direct migration background,Seldom,0.43223,972,2346,0.41218,0.45228
1994,Direct migration background,Never,0.16609,356,2346,0.15102,0.18115
1994,Indirect migration background,At least once per week,0.04544,66,485,0.02688,0.06399
1994,Indirect migration background,At least once per month,0.09892,170,485,0.07232,0.12552
1994,Indirect migration background,Seldom,0.14230,209,485,0.11118,0.17343
1994,Indirect migration background,Never,0.03586,40,485,0.01929,0.05242
1996,No migration background,At least once per week,0.09327,1108,9868,0.08753,0.09901
1996,No migration background,At least once per month,0.24480,3095,9868,0.23631,0.25328
1996,No migration background,Seldom,0.38844,4734,9868,0.37882,0.39806
1996,No migration background,Never,0.10271,931,9868,0.09672,0.10870
