year,regtyp,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.08647,1021,8561,0.08052,0.09243
1985,Urban regions,At least once per month,0.20249,2235,8561,0.19398,0.21101
1985,Urban regions,Seldom,0.37054,3746,8561,0.36031,0.38077
1985,Urban regions,Never,0.17273,1559,8561,0.16472,0.18074
1985,Rural regions,At least once per week,0.07117,231,2342,0.06075,0.08159
1985,Rural regions,At least once per month,0.19289,597,2342,0.17690,0.20887
1985,Rural regions,Seldom,0.38076,1089,2342,0.36109,0.40043
1985,Rural regions,Never,0.17408,425,2342,0.15872,0.18944
1986,Urban regions,At least once per week,0.06844,748,8269,0.06300,0.07388
1986,Urban regions,At least once per month,0.17568,1930,8269,0.16748,0.18388
1986,Urban regions,Seldom,0.39858,3905,8269,0.38803,0.40914
1986,Urban regions,Never,0.19229,1686,8269,0.18380,0.20079
1986,Rural regions,At least once per week,0.05837,164,2240,0.04866,0.06808
1986,Rural regions,At least once per month,0.16151,503,2240,0.14627,0.17676
1986,Rural regions,Seldom,0.40612,1124,2240,0.38578,0.42646
1986,Rural regions,Never,0.19110,449,2240,0.17482,0.20739
1988,Urban regions,At least once per week,0.06118,704,7834,0.05587,0.06649
1988,Urban regions,At least once per month,0.17247,1734,7834,0.16410,0.18083
1988,Urban regions,Seldom,0.39680,3649,7834,0.38596,0.40763
1988,Urban regions,Never,0.20277,1747,7834,0.19387,0.21167
1988,Rural regions,At least once per week,0.05823,160,2066,0.04813,0.06833
1988,Rural regions,At least once per month,0.17315,490,2066,0.15683,0.18947
1988,Rural regions,Seldom,0.40577,1028,2066,0.38459,0.42695
1988,Rural regions,Never,0.17243,388,2066,0.15614,0.18873
1990,Urban regions,At least once per week,0.01335,244,1443,0.00742,0.01927
1990,Urban regions,At least once per month,0.02358,419,1443,0.01575,0.03142
1990,Urban regions,Seldom,0.03482,659,1443,0.02535,0.04428
1990,Urban regions,Never,0.00909,121,1443,0.00419,0.01398
1990,Rural regions,At least once per week,0.05538,500,2848,0.04698,0.06378
1990,Rural regions,At least once per month,0.09025,832,2848,0.07973,0.10078
1990,Rural regions,Seldom,0.13973,1257,2848,0.12699,0.15246
1990,Rural regions,Never,0.03785,259,2848,0.03084,0.04486
1992,Urban regions,At least once per week,0.07722,877,8560,0.07156,0.08287
1992,Urban regions,At least once per month,0.21070,2399,8560,0.20206,0.21934
1992,Urban regions,Seldom,0.39118,4032,8560,0.38084,0.40152
1992,Urban regions,Never,0.13640,1252,8560,0.12913,0.14367
1992,Rural regions,At least once per week,0.06810,390,4503,0.06074,0.07546
1992,Rural regions,At least once per month,0.21281,1230,4503,0.20085,0.22477
1992,Rural regions,Seldom,0.39265,2333,4503,0.37838,0.40691
1992,Rural regions,Never,0.13281,550,4503,0.12290,0.14272
1994,Urban regions,At least once per week,0.07339,817,8407,0.06781,0.07896
1994,Urban regions,At least once per month,0.20946,2289,8407,0.20076,0.21816
1994,Urban regions,Seldom,0.40894,4166,8407,0.39843,0.41945
1994,Urban regions,Never,0.12656,1135,8407,0.11945,0.13367
1994,Rural regions,At least once per week,0.07448,409,4382,0.06671,0.08226
1994,Rural regions,At least once per month,0.21433,1238,4382,0.20218,0.22648
1994,Rural regions,Seldom,0.39269,2225,4382,0.37823,0.40715
1994,Rural regions,Never,0.12341,510,4382,0.11367,0.13315
1996,Urban regions,At least once per week,0.10014,1070,8487,0.09375,0.10652
1996,Urban regions,At least once per month,0.23973,2645,8487,0.23065,0.24881
1996,Urban regions,Seldom,0.37135,3809,8487,0.36107,0.38163
1996,Urban regions,Never,0.10975,963,8487,0.10310,0.11640
1996,Rural regions,At least once per week,0.09068,509,4506,0.08229,0.09907
1996,Rural regions,At least once per month,0.25199,1511,4506,0.23932,0.26467
1996,Rural regions,Seldom,0.38048,2135,4506,0.36630,0.39466
1996,Rural regions,Never,0.08649,351,4506,0.07828,0.09470
1997,Urban regions,At least once per week,0.09287,991,8291,0.08663,0.09912
1997,Urban regions,At least once per month,0.22252,2383,8291,0.21356,0.23147
1997,Urban regions,Seldom,0.38038,3879,8291,0.36993,0.39083
1997,Urban regions,Never,0.12052,1038,8291,0.11352,0.12753
1997,Rural regions,At least once per week,0.09391,514,4437,0.08533,0.10249
1997,Rural regions,At least once per month,0.25236,1463,4437,0.23958,0.26514
1997,Rural regions,Seldom,0.36494,2065,4437,0.35078,0.37911
1997,Rural regions,Never,0.09711,395,4437,0.08839,0.10582
1999,Urban regions,At least once per week,0.08757,965,8828,0.08167,0.09346
1999,Urban regions,At least once per month,0.21676,2494,8828,0.20817,0.22536
1999,Urban regions,Seldom,0.40323,4280,8828,0.39300,0.41346
