year,pgisced97,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,At least once per month,0.22123,46,150,0.15458,0.28788
1985,Pre-primary Level,Seldom,0.56267,104,150,0.48302,0.64232
1985,Primary Level,At least once per week,0.14604,133,826,0.12194,0.17014
1985,Primary Level,At least once per month,0.23004,222,826,0.20133,0.25876
1985,Primary Level,Seldom,0.37951,292,826,0.34640,0.41263
1985,Primary Level,Never,0.22772,179,826,0.19910,0.25634
1985,Lower Secondary Level,At least once per week,0.10316,365,3024,0.09232,0.11401
1985,Lower Secondary Level,At least once per month,0.20752,744,3024,0.19306,0.22197
1985,Lower Secondary Level,Seldom,0.40923,1246,3024,0.39170,0.42676
1985,Lower Secondary Level,Never,0.26761,669,3024,0.25183,0.28339
1985,Upper Secondary Level,At least once per week,0.09536,554,5127,0.08732,0.10340
1985,Upper Secondary Level,At least once per month,0.25485,1386,5127,0.24292,0.26678
1985,Upper Secondary Level,Seldom,0.45670,2366,5127,0.44307,0.47034
1985,Upper Secondary Level,Never,0.18227,821,5127,0.17170,0.19284
1985,Post-secondary Non-tertiary Level,At least once per week,0.16094,45,269,0.11694,0.20493
1985,Post-secondary Non-tertiary Level,At least once per month,0.29083,84,269,0.23645,0.34520
1985,Post-secondary Non-tertiary Level,Seldom,0.38619,103,269,0.32789,0.44448
1985,Post-secondary Non-tertiary Level,Never,0.14329,37,269,0.10134,0.18524
1985,First Stage of Tertiary Education,At least once per week,0.08196,53,614,0.06025,0.10368
1985,First Stage of Tertiary Education,At least once per month,0.24773,157,614,0.21355,0.28190
1985,First Stage of Tertiary Education,Seldom,0.44645,287,614,0.40709,0.48580
1985,First Stage of Tertiary Education,Never,0.21520,117,614,0.18267,0.24774
1985,Second Stage of Tertiary Education,At least once per week,0.09148,72,744,0.07075,0.11221
1985,Second Stage of Tertiary Education,At least once per month,0.22477,169,744,0.19476,0.25479
1985,Second Stage of Tertiary Education,Seldom,0.50604,393,744,0.47009,0.54199
1985,Second Stage of Tertiary Education,Never,0.16293,110,744,0.13637,0.18948
1986,Pre-primary Level,At least once per month,0.22272,44,142,0.15404,0.29139
1986,Pre-primary Level,Seldom,0.51305,98,142,0.43055,0.59555
1986,Primary Level,At least once per week,0.08792,98,774,0.06796,0.10788
1986,Primary Level,At least once per month,0.19715,186,774,0.16910,0.22520
1986,Primary Level,Seldom,0.39259,284,774,0.35817,0.42702
1986,Primary Level,Never,0.31987,206,774,0.28699,0.35275
1986,Lower Secondary Level,At least once per week,0.09049,264,2884,0.08001,0.10096
