year,age_gr,bula_h,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,Seldom,0.58303,51,51,0.44636,0.71970
1985,17-29 y.,Lower Saxony,At least once per month,0.30216,92,274,0.24769,0.35663
1985,17-29 y.,Lower Saxony,Seldom,0.47761,139,274,0.41835,0.53686
1985,17-29 y.,Lower Saxony,Never,0.13027,43,274,0.09034,0.17019
1985,17-29 y.,North Rhine-Westphalia,At least once per week,0.11605,106,856,0.09458,0.13752
1985,17-29 y.,North Rhine-Westphalia,At least once per month,0.30709,263,856,0.27617,0.33801
1985,17-29 y.,North Rhine-Westphalia,Seldom,0.48482,406,856,0.45132,0.51832
1985,17-29 y.,North Rhine-Westphalia,Never,0.08425,81,856,0.06564,0.10287
1985,17-29 y.,Hesse,At least once per week,0.15424,59,300,0.11330,0.19518
1985,17-29 y.,Hesse,At least once per month,0.34042,118,300,0.28671,0.39413
1985,17-29 y.,Hesse,Seldom,0.41384,123,300,0.35801,0.46967
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.11771,33,205,0.07348,0.16193
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.24959,64,205,0.19020,0.30898
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.47606,108,205,0.40752,0.54459
1985,17-29 y.,Baden-Wuerttemberg,At least once per week,0.11117,90,611,0.08622,0.13612
1985,17-29 y.,Baden-Wuerttemberg,At least once per month,0.32143,187,611,0.28436,0.35849
1985,17-29 y.,Baden-Wuerttemberg,Seldom,0.45790,263,611,0.41836,0.49744
1985,17-29 y.,Baden-Wuerttemberg,Never,0.10386,71,611,0.07965,0.12807
1985,17-29 y.,Bavaria,At least once per week,0.08646,57,519,0.06226,0.11067
1985,17-29 y.,Bavaria,At least once per month,0.28631,152,519,0.24738,0.32524
1985,17-29 y.,Bavaria,Seldom,0.50033,242,519,0.45727,0.54339
1985,17-29 y.,Bavaria,Never,0.11835,68,519,0.09053,0.14616
1985,17-29 y.,Berlin,At least once per month,0.40657,34,78,0.29686,0.51629
1985,17-29 y.,Berlin,Seldom,0.42983,44,78,0.31925,0.54041
1985,30-45 y.,Schleswig-Holstein,At least once per month,0.28299,35,102,0.19514,0.37084
1985,30-45 y.,Schleswig-Holstein,Seldom,0.52425,67,102,0.42685,0.62164
1985,30-45 y.,Hamburg,At least once per month,0.31300,35,76,0.20805,0.41795
1985,30-45 y.,Hamburg,Seldom,0.49145,41,76,0.37831,0.60460
1985,30-45 y.,Lower Saxony,At least once per month,0.22054,80,318,0.17490,0.26618
1985,30-45 y.,Lower Saxony,Seldom,0.61436,207,318,0.56077,0.66794
1985,30-45 y.,Lower Saxony,Never,0.07931,31,318,0.04956,0.10905
1985,30-45 y.,North Rhine-Westphalia,At least once per week,0.08641,102,986,0.06886,0.10395
1985,30-45 y.,North Rhine-Westphalia,At least once per month,0.30362,302,986,0.27490,0.33234
1985,30-45 y.,North Rhine-Westphalia,Seldom,0.49027,470,986,0.45905,0.52149
1985,30-45 y.,North Rhine-Westphalia,Never,0.11577,112,986,0.09579,0.13576
1985,30-45 y.,Hesse,At least once per week,0.12001,51,335,0.08516,0.15486
1985,30-45 y.,Hesse,At least once per month,0.31605,94,335,0.26619,0.36591
1985,30-45 y.,Hesse,Seldom,0.46600,153,335,0.41250,0.51950
1985,30-45 y.,Hesse,Never,0.09074,37,335,0.05994,0.12155
1985,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.41672,69,121,0.32851,0.50493
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.33895,52,121,0.25426,0.42365
1985,30-45 y.,Baden-Wuerttemberg,At least once per week,0.09696,85,639,0.07400,0.11992
1985,30-45 y.,Baden-Wuerttemberg,At least once per month,0.26485,170,639,0.23061,0.29909
1985,30-45 y.,Baden-Wuerttemberg,Seldom,0.49479,279,639,0.45599,0.53358
1985,30-45 y.,Baden-Wuerttemberg,Never,0.13523,105,639,0.10870,0.16177
1985,30-45 y.,Bavaria,At least once per week,0.11405,73,599,0.08857,0.13953
1985,30-45 y.,Bavaria,At least once per month,0.25161,159,599,0.21683,0.28639
1985,30-45 y.,Bavaria,Seldom,0.49416,282,599,0.45409,0.53423
1985,30-45 y.,Bavaria,Never,0.12803,85,599,0.10125,0.15481
1985,30-45 y.,Berlin,At least once per month,0.36282,47,100,0.26810,0.45753
1985,30-45 y.,Berlin,Seldom,0.45464,53,100,0.35656,0.55273
1985,46-65 y.,Schleswig-Holstein,Seldom,0.65839,64,64,0.54128,0.77550
1985,46-65 y.,Lower Saxony,At least once per month,0.20195,65,290,0.15566,0.24823
