year,age_gr,migback,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,At least once per week,0.09663,211,2183,0.08423,0.10903
1985,17-29 y.,No migration background,At least once per month,0.30250,673,2183,0.28322,0.32177
1985,17-29 y.,No migration background,Seldom,0.48926,1075,2183,0.46828,0.51023
1985,17-29 y.,No migration background,Never,0.10287,224,2183,0.09012,0.11562
1985,17-29 y.,Direct migration background,At least once per week,0.18330,160,814,0.15671,0.20990
1985,17-29 y.,Direct migration background,At least once per month,0.33489,263,814,0.30245,0.36733
1985,17-29 y.,Direct migration background,Seldom,0.34743,286,814,0.31470,0.38016
1985,17-29 y.,Direct migration background,Never,0.12152,105,814,0.09906,0.14398
1985,17-29 y.,Indirect migration background,Seldom,0.43058,51,51,0.29333,0.56783
1985,30-45 y.,No migration background,At least once per week,0.08393,192,2259,0.07249,0.09537
1985,30-45 y.,No migration background,At least once per month,0.28200,633,2259,0.26344,0.30056
1985,30-45 y.,No migration background,Seldom,0.51574,1181,2259,0.49512,0.53635
1985,30-45 y.,No migration background,Never,0.11040,253,2259,0.09747,0.12332
1985,30-45 y.,Direct migration background,At least once per week,0.15164,194,1174,0.13111,0.17216
1985,30-45 y.,Direct migration background,At least once per month,0.31103,363,1174,0.28454,0.33752
1985,30-45 y.,Direct migration background,Seldom,0.38000,432,1174,0.35223,0.40778
1985,30-45 y.,Direct migration background,Never,0.15105,185,1174,0.13056,0.17155
1985,46-65 y.,No migration background,At least once per week,0.09288,220,2395,0.08125,0.10451
1985,46-65 y.,No migration background,At least once per month,0.20631,494,2395,0.19010,0.22252
1985,46-65 y.,No migration background,Seldom,0.48539,1203,2395,0.46537,0.50541
1985,46-65 y.,No migration background,Never,0.20102,478,2395,0.18497,0.21708
1985,46-65 y.,Direct migration background,At least once per week,0.16809,155,855,0.14301,0.19317
1985,46-65 y.,Direct migration background,At least once per month,0.27129,246,855,0.24147,0.30111
1985,46-65 y.,Direct migration background,Seldom,0.38860,289,855,0.35590,0.42129
1985,46-65 y.,Direct migration background,Never,0.15942,165,855,0.13487,0.18398
1985,66 and older,No migration background,At least once per week,0.08994,93,1048,0.07261,0.10727
1985,66 and older,No migration background,At least once per month,0.11583,125,1048,0.09645,0.13522
1985,66 and older,No migration background,Seldom,0.27167,302,1048,0.24473,0.29862
