year,sex,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.07764,618,5358,0.07047,0.08480
1985,male,At least once per month,0.22214,1559,5358,0.21101,0.23327
1985,male,Seldom,0.37736,2361,5358,0.36438,0.39034
1985,male,Never,0.14067,820,5358,0.13136,0.14998
1985,female,At least once per week,0.08722,634,5545,0.07979,0.09465
1985,female,At least once per month,0.17999,1273,5545,0.16988,0.19010
1985,female,Seldom,0.36920,2474,5545,0.35650,0.38190
1985,female,Never,0.20262,1164,5545,0.19204,0.21320
1986,male,At least once per week,0.05660,429,5192,0.05031,0.06288
1986,male,At least once per month,0.19851,1371,5192,0.18766,0.20936
1986,male,Seldom,0.41210,2497,5192,0.39871,0.42549
1986,male,Never,0.15492,895,5192,0.14508,0.16477
1986,female,At least once per week,0.07451,483,5317,0.06745,0.08157
1986,female,At least once per month,0.14807,1062,5317,0.13852,0.15762
1986,female,Seldom,0.38979,2532,5317,0.37668,0.40290
1986,female,Never,0.22593,1240,5317,0.21469,0.23717
1988,male,At least once per week,0.05457,412,4896,0.04821,0.06094
1988,male,At least once per month,0.20322,1264,4896,0.19195,0.21449
1988,male,Seldom,0.40019,2320,4896,0.38647,0.41392
1988,male,Never,0.16009,900,4896,0.14982,0.17036
1988,female,At least once per week,0.06594,452,5004,0.05907,0.07282
1988,female,At least once per month,0.14420,960,5004,0.13446,0.15393
1988,female,Seldom,0.39784,2357,5004,0.38428,0.41140
1988,female,Never,0.22826,1235,5004,0.21663,0.23989
1990,male,At least once per week,0.02961,411,2090,0.02234,0.03688
1990,male,At least once per month,0.05278,711,2090,0.04319,0.06237
1990,male,Seldom,0.06326,857,2090,0.05282,0.07370
1990,male,Never,0.01115,111,2090,0.00665,0.01565
1990,female,At least once per week,0.02503,352,2287,0.01863,0.03144
1990,female,At least once per month,0.03820,562,2287,0.03034,0.04606
1990,female,Seldom,0.07465,1097,2287,0.06388,0.08543
1990,female,Never,0.02528,276,2287,0.01885,0.03172
1992,male,At least once per week,0.06681,586,6413,0.06070,0.07292
1992,male,At least once per month,0.23348,1984,6413,0.22312,0.24383
1992,male,Seldom,0.39442,3090,6413,0.38246,0.40638
1992,male,Never,0.11068,753,6413,0.10300,0.11836
1992,female,At least once per week,0.08114,689,6768,0.07464,0.08765
1992,female,At least once per month,0.19068,1677,6768,0.18132,0.20003
1992,female,Seldom,0.38887,3342,6768,0.37725,0.40048
1992,female,Never,0.15771,1060,6768,0.14903,0.16640
1994,male,At least once per week,0.07198,593,6180,0.06553,0.07842
1994,male,At least once per month,0.23884,1947,6180,0.22821,0.24947
1994,male,Seldom,0.40189,3031,6180,0.38967,0.41412
1994,male,Never,0.09156,609,6180,0.08437,0.09876
1994,female,At least once per week,0.07540,633,6609,0.06903,0.08176
1994,female,At least once per month,0.18453,1580,6609,0.17518,0.19389
1994,female,Seldom,0.40566,3360,6609,0.39383,0.41750
1994,female,Never,0.15787,1036,6609,0.14908,0.16666
1996,male,At least once per week,0.09129,759,6268,0.08416,0.09842
1996,male,At least once per month,0.26621,2190,6268,0.25526,0.27715
1996,male,Seldom,0.37109,2821,6268,0.35913,0.38305
1996,male,Never,0.07818,498,6268,0.07153,0.08483
1996,female,At least once per week,0.10277,820,6725,0.09552,0.11003
1996,female,At least once per month,0.22200,1966,6725,0.21206,0.23193
1996,female,Seldom,0.37719,3123,6725,0.36561,0.38878
1996,female,Never,0.12561,816,6725,0.11769,0.13353
1997,male,At least once per week,0.08646,733,6164,0.07945,0.09348
1997,male,At least once per month,0.26458,2095,6164,0.25357,0.27560
1997,male,Seldom,0.36875,2787,6164,0.35670,0.38079
1997,male,Never,0.08460,549,6164,0.07765,0.09155
