year,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Owner,Yes,0.06461,449,5418,0.05806,0.07115
2007,Owner,No,0.88071,4969,5418,0.87207,0.88934
2007,Tenant,Yes,0.01041,78,5673,0.00777,0.01305
2007,Tenant,No,0.95023,5595,5673,0.94457,0.95589
2008,Owner,Yes,0.07453,479,5310,0.06747,0.08160
2008,Owner,No,0.90396,4831,5310,0.89603,0.91189
2008,Tenant,Yes,0.01573,94,5382,0.01241,0.01906
2008,Tenant,No,0.96897,5288,5382,0.96433,0.97360
2009,Owner,Yes,0.08914,536,5039,0.08127,0.09701
2009,Owner,No,0.90088,4503,5039,0.89263,0.90913
2009,Tenant,Yes,0.01594,100,5089,0.01250,0.01938
2009,Tenant,No,0.97616,4989,5089,0.97196,0.98035
2010,Owner,Yes,0.09462,828,6313,0.08740,0.10184
2010,Owner,No,0.90031,5485,6313,0.89292,0.90771
2010,Tenant,Yes,0.02405,197,7438,0.02057,0.02753
2010,Tenant,No,0.96797,7241,7438,0.96397,0.97198
2011,Owner,Yes,0.11486,1158,7708,0.10774,0.12198
2011,Owner,No,0.88339,6550,7708,0.87623,0.89056
2011,Tenant,Yes,0.02677,265,8864,0.02341,0.03013
2011,Tenant,No,0.97016,8599,8864,0.96662,0.97370
2012,Owner,Yes,0.12359,1228,7591,0.11618,0.13099
2012,Owner,No,0.87482,6363,7591,0.86737,0.88226
2012,Tenant,Yes,0.03035,290,8700,0.02675,0.03396
2012,Tenant,No,0.96746,8410,8700,0.96373,0.97119
2013,Owner,Yes,0.13096,1248,7707,0.12343,0.13849
2013,Owner,No,0.86898,6459,7707,0.86145,0.87652
2013,Tenant,Yes,0.03545,315,10156,0.03185,0.03905
2013,Tenant,No,0.96396,9841,10156,0.96034,0.96759
2014,Owner,Yes,0.13904,1200,7049,0.13096,0.14711
2014,Owner,No,0.85998,5849,7049,0.85188,0.86808
2014,Tenant,Yes,0.04266,341,8767,0.03843,0.04689
2014,Tenant,No,0.95539,8426,8767,0.95107,0.95971
2015,Owner,Yes,0.14621,1204,6735,0.13777,0.15465
2015,Owner,No,0.85332,5531,6735,0.84487,0.86177
2015,Tenant,Yes,0.04303,364,9010,0.03884,0.04722
2015,Tenant,No,0.95362,8646,9010,0.94927,0.95796
2016,Owner,Yes,0.14819,1131,6300,0.13942,0.15697
2016,Owner,No,0.85168,5169,6300,0.84291,0.86046
2016,Tenant,Yes,0.03706,292,7986,0.03291,0.04120
2016,Tenant,No,0.95943,7694,7986,0.95510,0.96376
2017,Owner,Yes,0.15669,1350,7058,0.14821,0.16517
2017,Owner,No,0.84195,5708,7058,0.83344,0.85047
2017,Tenant,Yes,0.03966,334,8596,0.03553,0.04379
2017,Tenant,No,0.94877,8262,8596,0.94411,0.95343
2018,Owner,Yes,0.15724,1298,6747,0.14856,0.16593
2018,Owner,No,0.84148,5449,6747,0.83276,0.85020
2018,Tenant,Yes,0.04040,340,8677,0.03626,0.04454
2018,Tenant,No,0.94256,8337,8677,0.93766,0.94746
2019,Owner,Yes,0.15018,1153,5934,0.14109,0.15927
2019,Owner,No,0.78776,4781,5934,0.77736,0.79817
2019,Tenant,Yes,0.03641,270,6673,0.03192,0.04091
2019,Tenant,No,0.81175,6403,6673,0.80237,0.82113
2020,Owner,Yes,0.17921,1521,6945,0.17019,0.18823
2020,Owner,No,0.81900,5424,6945,0.80994,0.82805
2020,Tenant,Yes,0.04534,418,9303,0.04112,0.04957
2020,Tenant,No,0.93163,8885,9303,0.92650,0.93676
2021,Owner,Yes,0.16090,1016,4647,0.15034,0.17147
2021,Owner,No,0.75731,3631,4647,0.74499,0.76964
2021,Tenant,Yes,0.03859,249,5294,0.03340,0.04377
2021,Tenant,No,0.81957,5045,5294,0.80921,0.82993
2022,Owner,Yes,0.22689,2241,7836,0.21762,0.23616
2022,Owner,No,0.77192,5595,7836,0.76263,0.78121
2022,Tenant,Yes,0.05903,721,11360,0.05469,0.06336
2022,Tenant,No,0.92005,10639,11360,0.91506,0.92504
