year,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Yes,0.03496,434,8416,0.03104,0.03889
2007,West,No,0.92031,7982,8416,0.91452,0.92609
2007,East,Yes,0.02699,93,2675,0.02085,0.03314
2007,East,No,0.92215,2582,2675,0.91199,0.93230
2008,West,Yes,0.04499,485,8066,0.04047,0.04952
2008,West,No,0.93613,7581,8066,0.93079,0.94146
2008,East,Yes,0.02548,88,2626,0.01945,0.03151
2008,East,No,0.96034,2538,2626,0.95287,0.96781
2009,West,Yes,0.05236,536,7582,0.04735,0.05738
2009,West,No,0.93816,7046,7582,0.93273,0.94358
2009,East,Yes,0.03218,100,2546,0.02532,0.03903
2009,East,No,0.96181,2446,2546,0.95436,0.96926
2010,West,Yes,0.06029,888,10597,0.05576,0.06482
2010,West,No,0.93251,9709,10597,0.92773,0.93729
2010,East,Yes,0.03832,137,3154,0.03162,0.04503
2010,East,No,0.95750,3017,3154,0.95046,0.96454
2011,West,Yes,0.07167,1242,12832,0.06721,0.07614
2011,West,No,0.92566,11590,12832,0.92112,0.93020
2011,East,Yes,0.04592,181,3740,0.03921,0.05263
2011,East,No,0.95251,3559,3740,0.94569,0.95933
2012,West,Yes,0.07661,1303,12579,0.07196,0.08126
2012,West,No,0.92104,11276,12579,0.91633,0.92576
2012,East,Yes,0.05587,215,3712,0.04848,0.06326
2012,East,No,0.94413,3497,3712,0.93674,0.95152
2013,West,Yes,0.08334,1354,14208,0.07879,0.08788
2013,West,No,0.91633,12854,14208,0.91178,0.92088
2013,East,Yes,0.05880,209,3655,0.05117,0.06643
2013,East,No,0.94078,3446,3655,0.93313,0.94843
2014,West,Yes,0.09102,1320,12438,0.08596,0.09607
2014,West,No,0.90743,11118,12438,0.90234,0.91253
2014,East,Yes,0.06570,221,3378,0.05734,0.07405
2014,East,No,0.93295,3157,3378,0.92452,0.94139
2015,West,Yes,0.09320,1334,12469,0.08810,0.09830
2015,West,No,0.90485,11135,12469,0.89970,0.91000
2015,East,Yes,0.07636,234,3276,0.06726,0.08545
2015,East,No,0.92121,3042,3276,0.91198,0.93043
2016,West,Yes,0.09044,1205,11219,0.08513,0.09575
2016,West,No,0.90259,10014,11219,0.89711,0.90808
2016,East,Yes,0.07656,218,3068,0.06715,0.08597
2016,East,No,0.91495,2850,3068,0.90507,0.92482
2017,West,Yes,0.09667,1431,12244,0.09143,0.10190
2017,West,No,0.89535,10813,12244,0.88993,0.90078
2017,East,Yes,0.07988,253,3410,0.07077,0.08898
2017,East,No,0.90940,3157,3410,0.89977,0.91904
2018,West,Yes,0.09844,1377,12001,0.09311,0.10377
2018,West,No,0.89196,10624,12001,0.88641,0.89752
2018,East,Yes,0.07716,261,3423,0.06822,0.08610
2018,East,No,0.91256,3162,3423,0.90310,0.92203
2019,West,Yes,0.09300,1197,9763,0.08724,0.09876
2019,West,No,0.79665,8566,9763,0.78867,0.80464
2019,East,Yes,0.07268,226,2844,0.06314,0.08222
2019,East,No,0.82522,2618,2844,0.81126,0.83918
2020,West,Yes,0.11328,1621,12823,0.10779,0.11876
2020,West,No,0.87300,11202,12823,0.86724,0.87876
2020,East,Yes,0.08108,318,3425,0.07194,0.09022
2020,East,No,0.90836,3107,3425,0.89870,0.91802
2021,West,Yes,0.09890,1064,7771,0.09226,0.10554
2021,West,No,0.78660,6707,7771,0.77749,0.79571
2021,East,Yes,0.07987,201,2174,0.06847,0.09127
2021,East,No,0.80920,1973,2174,0.79267,0.82572
2022,West,Yes,0.14526,2447,15009,0.13962,0.15090
2022,West,No,0.84272,12562,15009,0.83689,0.84854
2022,East,Yes,0.09810,515,4202,0.08910,0.10709
2022,East,No,0.89176,3687,4202,0.88236,0.90115
