year,bula_h,regtyp,plj0024_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Urban regions,Since birth,0.9686411149825784,28961,0.9666338206865973,0.9706484092785596
2002,Schleswig-Holstein,Urban regions,Later,0.0313588850174216,28961,0.02935159072144046,0.033366179313402744
2002,Schleswig-Holstein,Rural regions,Since birth,0.9509043927648578,28961,0.9484158847757624,0.9533929007539532
2002,Schleswig-Holstein,Rural regions,Later,0.04909560723514212,28961,0.04660709924604671,0.05158411522423753
2002,Hamburg,Urban regions,Since birth,0.9834437086092715,28961,0.981974086833453,0.9849133303850901
2002,Hamburg,Urban regions,Later,0.016556291390728478,28961,0.01508666961490994,0.018025913166547017
2002,Lower Saxony,Urban regions,Since birth,0.9380116959064327,28961,0.935234488602512,0.9407889032103535
2002,Lower Saxony,Urban regions,Later,0.06198830409356725,28961,0.059211096789646554,0.06476551139748794
2002,Lower Saxony,Rural regions,Since birth,0.94655704008222,28961,0.9439666334627795,0.9491474467016604
2002,Lower Saxony,Rural regions,Later,0.05344295991778006,28961,0.05085255329833967,0.05603336653722045
2002,Bremen,Urban regions,Since birth,0.9316770186335404,28961,0.9287712208335579,0.9345828164335228
2002,Bremen,Urban regions,Later,0.06832298136645963,28961,0.06541718356647719,0.07122877916644207
2002,North Rhine-Westphalia,Urban regions,Since birth,0.950381679389313,28961,0.9478806467876001,0.9528827119910258
2002,North Rhine-Westphalia,Urban regions,Later,0.04961832061068702,28961,0.047117288008974176,0.05211935321239987
2002,North Rhine-Westphalia,Rural regions,Since birth,0.9696969696969697,28961,0.9677226824334049,0.9716712569605346
2002,North Rhine-Westphalia,Rural regions,Later,0.030303030303030304,28961,0.02832874303946548,0.032277317566595125
2002,Hesse,Urban regions,Since birth,0.9449954914337241,28961,0.9423696813775778,0.9476213014898703
2002,Hesse,Urban regions,Later,0.05500450856627592,28961,0.05237869851012969,0.057630318622422155
2002,Hesse,Rural regions,Since birth,0.9409722222222222,28961,0.938257871808636,0.9436865726358085
2002,Hesse,Rural regions,Later,0.059027777777777776,28961,0.056313427364191496,0.06174212819136406
2002,"Rhineland-Palatinate, Saarland",Urban regions,Since birth,0.928416485900217,28961,0.925447369501778,0.931385602298656
2002,"Rhineland-Palatinate, Saarland",Urban regions,Later,0.07158351409978309,28961,0.06861439770134412,0.07455263049822206
2002,"Rhineland-Palatinate, Saarland",Rural regions,Since birth,0.9473684210526315,28961,0.9447966521171984,0.9499401899880646
2002,"Rhineland-Palatinate, Saarland",Rural regions,Later,0.05263157894736842,28961,0.05005981001193529,0.05520334788280155
2002,Baden-Wuerttemberg,Urban regions,Since birth,0.9243404678944749,28961,0.9212946979017663,0.9273862378871834
2002,Baden-Wuerttemberg,Urban regions,Later,0.07565953210552513,28961,0.07261376211281653,0.07870530209823373
