year,plj0024_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
2002,Since birth,3rd Quintile,female,0.13091235149069716,28961,0.1270275270678238,0.13479717591357052
2002,Since birth,4th Quintile,male,0.12626092804303968,28961,0.12243554735012371,0.13008630873595564
2002,Since birth,4th Quintile,female,0.12295449450795785,28961,0.11917239838343655,0.12673659063247916
2002,Since birth,3rd Quintile,male,0.12149742210266756,28961,0.11773468092359497,0.12526016328174017
2002,Since birth,2nd Quintile,female,0.11353956511992827,28961,0.10988569937338952,0.11719343086646702
2002,Since birth,2nd Quintile,male,0.09173952028693118,28961,0.08841497130675992,0.09506406926710244
2002,Since birth,5th Quintile,male,0.08983411791078233,28961,0.08654082602335446,0.0931274097982102
2002,Since birth,5th Quintile,female,0.08697601434655906,28961,0.08373045063321279,0.09022157805990534
2002,Since birth,1st Quintile,female,0.06865052678771576,28961,0.06573828406807912,0.0715627695073524
2002,Since birth,1st Quintile,male,0.04763505940372114,28961,0.04518196450248097,0.05008815430496131
2002,Later,2nd Quintile,male,0.15617433414043583,28961,0.15199333102247425,0.1603553372583974
2002,Later,2nd Quintile,female,0.1549636803874092,28961,0.1507959276698125,0.1591314331050059
2002,Later,3rd Quintile,female,0.11743341404358354,28961,0.11372559203031651,0.12114123605685057
2002,Later,1st Quintile,female,0.1089588377723971,28961,0.10537020177571779,0.1125474737690764
2002,Later,1st Quintile,male,0.1016949152542373,28961,0.09821386059258928,0.1051759699158853
2002,Later,4th Quintile,female,0.08958837772397095,28961,0.08629914935442996,0.09287760609351194
2002,Later,4th Quintile,male,0.08958837772397095,28961,0.08629914935442996,0.09287760609351194
2002,Later,3rd Quintile,male,0.08232445520581114,28961,0.07915883866589214,0.08549007174573013
2002,Later,5th Quintile,female,0.05205811138014528,28961,0.04949961765578593,0.05461660510450463
2002,Later,5th Quintile,male,0.04721549636803874,28961,0.044772690711813924,0.04965830202426356
2003,Since birth,5th Quintile,male,0.13456134873556042,27727,0.13054452347484927,0.13857817399627156
2003,Since birth,5th Quintile,female,0.12972213549797065,27727,0.1257671887196951,0.1336770822762462
2003,Since birth,4th Quintile,male,0.11889894890207098,27727,0.11508911100495194,0.12270878679919002
2003,Since birth,4th Quintile,female,0.11744198147569987,27727,0.11365242880460542,0.12123153414679431
2003,Since birth,3rd Quintile,female,0.1154646685399105,27727,0.11170294582849562,0.11922639125132538
