year,quintil_oecd,plj0024_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Since birth,0.9226322810137839,28961,0.919555167526639,0.9257093945009288
2002,1st Quintile,Later,0.0773677189862161,28961,0.07429060549907121,0.08044483247336098
2002,2nd Quintile,Since birth,0.934438775510204,28961,0.9315880969560122,0.9372894540643959
2002,2nd Quintile,Later,0.06556122448979591,28961,0.06271054593560405,0.06841190304398778
2002,3rd Quintile,Since birth,0.9646605268794174,28961,0.9625340210203552,0.9667870327384795
2002,3rd Quintile,Later,0.03533947312058257,28961,0.03321296726152046,0.037465978979644675
2002,4th Quintile,Since birth,0.967791077257889,28961,0.9657576520586848,0.9698245024570933
2002,4th Quintile,Later,0.03220892274211099,28961,0.03017549754290679,0.03424234794131519
2002,5th Quintile,Since birth,0.9746679023787458,28961,0.9728581748066903,0.9764776299508012
2002,5th Quintile,Later,0.025332097621254247,28961,0.023522370049198858,0.027141825193309637
2003,1st Quintile,Since birth,0.911864406779661,27727,0.9085274895976723,0.9152013239616497
2003,1st Quintile,Later,0.08813559322033898,27727,0.08479867603835027,0.09147251040232769
2003,2nd Quintile,Since birth,0.9353329664281783,27727,0.9324380953951672,0.9382278374611894
2003,2nd Quintile,Later,0.06466703357182169,27727,0.06177216253881057,0.0675619046048328
2003,3rd Quintile,Since birth,0.956550653956994,27727,0.9541509910481244,0.9589503168658636
2003,3rd Quintile,Later,0.04344934604300599,27727,0.041049683134136344,0.04584900895187563
2003,4th Quintile,Since birth,0.9645359949033765,27727,0.9623589983562457,0.9667129914505073
2003,4th Quintile,Later,0.03546400509662349,27727,0.033287008549492715,0.03764100164375426
2003,5th Quintile,Since birth,0.9786127167630058,27727,0.9769098217716831,0.9803156117543285
2003,5th Quintile,Later,0.02138728323699422,27727,0.01968438824567148,0.02309017822831696
2004,1st Quintile,Since birth,0.9092212135690396,26790,0.9057809106745336,0.9126615164635457
2004,1st Quintile,Later,0.09077878643096035,26790,0.08733848353645436,0.09421908932546634
2004,2nd Quintile,Since birth,0.946262383668568,26790,0.9435620669719625,0.9489627003651734
2004,2nd Quintile,Later,0.053737616331432,26790,0.05103729963482654,0.056437933028037464
2004,3rd Quintile,Since birth,0.9484930274403959,26790,0.9458462355344945,0.9511398193462972
2004,3rd Quintile,Later,0.05150697255960414,26790,0.04886018065370275,0.05415376446550553
2004,4th Quintile,Since birth,0.9644500209117524,26790,0.9622326964266833,0.9666673453968214
2004,4th Quintile,Later,0.03554997908824759,26790,0.03333265460317857,0.03776730357331661
2004,5th Quintile,Since birth,0.9774135518688787,26790,0.975634318713207,0.9791927850245503
2004,5th Quintile,Later,0.022586448131121328,26790,0.020807214975449698,0.024365681286792958
2005,1st Quintile,Since birth,0.9188138065143413,25520,0.9154628361862349,0.9221647768424477
2005,1st Quintile,Later,0.08118619348565873,25520,0.07783522315755236,0.0845371638137651
2005,2nd Quintile,Since birth,0.9395711500974658,25520,0.936647652527014,0.9424946476679177
2005,2nd Quintile,Later,0.06042884990253411,25520,0.057505352332082295,0.06335234747298592
2005,3rd Quintile,Since birth,0.954611650485437,25520,0.9520577657239538,0.95716553524692
2005,3rd Quintile,Later,0.04538834951456311,25520,0.042834464753080045,0.04794223427604617
2005,4th Quintile,Since birth,0.9593301435406698,25520,0.9569066821701072,0.9617536049112324
2005,4th Quintile,Later,0.04066985645933014,25520,0.03824639508876758,0.0430933178298927
2005,5th Quintile,Since birth,0.9775325977933801,25520,0.9757143302324258,0.9793508653543344
2005,5th Quintile,Later,0.02246740220661986,25520,0.020649134645665552,0.02428566976757417
2006,1st Quintile,Since birth,0.9170957775489187,27321,0.9138261111226434,0.9203654439751939
2006,1st Quintile,Later,0.08290422245108137,27321,0.07963455602480607,0.08617388887735666
2006,2nd Quintile,Since birth,0.9461457233368532,27321,0.9434690406516816,0.9488224060220248
2006,2nd Quintile,Later,0.05385427666314678,27321,0.05117759397797515,0.05653095934831841
2006,3rd Quintile,Since birth,0.9502776375567895,27321,0.9477000768187681,0.9528551982948109
2006,3rd Quintile,Later,0.0497223624432105,27321,0.04714480170518914,0.05229992318123186
2006,4th Quintile,Since birth,0.9586111749827546,27321,0.9562492256987923,0.9609731242667169
2006,4th Quintile,Later,0.04138882501724534,27321,0.03902687573328308,0.0437507743012076
2006,5th Quintile,Since birth,0.9778688524590164,27321,0.97612443650912,0.9796132684089129
2006,5th Quintile,Later,0.022131147540983605,27321,0.02038673159108707,0.02387556349088014
2007,1st Quintile,Since birth,0.909877800407332,25385,0.9063551064577384,0.9134004943569256
2007,1st Quintile,Later,0.09012219959266803,25385,0.08659950564307445,0.0936448935422616
2007,2nd Quintile,Since birth,0.9412360688956434,25385,0.9383429106506194,0.9441292271406674
2007,2nd Quintile,Later,0.05876393110435663,25385,0.055870772859332604,0.06165708934938066
2007,3rd Quintile,Since birth,0.9470458445697475,25385,0.9442909625038511,0.9498007266356439
2007,3rd Quintile,Later,0.05295415543025251,25385,0.05019927336435613,0.05570903749614889
2007,4th Quintile,Since birth,0.9626739772247996,25385,0.9603420609042693,0.96500589354533
2007,4th Quintile,Later,0.037326022775200335,25385,0.03499410645467003,0.03965793909573064
2007,5th Quintile,Since birth,0.9762557077625571,25385,0.9743827460699891,0.9781286694551251
2007,5th Quintile,Later,0.023744292237442923,25385,0.02187133054487488,0.025617253930010967
2008,1st Quintile,Since birth,0.910643141718839,23673,0.9070092876854854,0.9142769957521926
2008,1st Quintile,Later,0.08935685828116106,23673,0.08572300424780752,0.09299071231451461
2008,2nd Quintile,Since birth,0.9407993966817496,23673,0.9377930365481106,0.9438057568153886
2008,2nd Quintile,Later,0.059200603318250375,23673,0.05619424318461139,0.06220696345188936
2008,3rd Quintile,Since birth,0.9413003421953146,23673,0.9383059318445212,0.944294752546108
2008,3rd Quintile,Later,0.058699657804685446,23673,0.05570524745389201,0.061694068155478884
2008,4th Quintile,Since birth,0.9581425768476128,23673,0.9555914577362272,0.9606936959589985
2008,4th Quintile,Later,0.041857423152387184,23673,0.03930630404100153,0.04440854226377284
2008,5th Quintile,Since birth,0.9747727694305324,23673,0.9727751355055659,0.9767704033554988
2008,5th Quintile,Later,0.025227230569467633,23673,0.023229596644501194,0.02722486449443407
2009,1st Quintile,Since birth,0.9238993710691824,21983,0.9203941206482144,0.9274046214901505
2009,1st Quintile,Later,0.07610062893081761,21983,0.07259537850984957,0.07960587935178565
2009,2nd Quintile,Since birth,0.9395604395604396,21983,0.9364102578827914,0.9427106212380877
2009,2nd Quintile,Later,0.06043956043956044,21983,0.05728937876191232,0.06358974211720855
2009,3rd Quintile,Since birth,0.959096109839817,21983,0.9564777703073295,0.9617144493723044
2009,3rd Quintile,Later,0.040903890160183067,21983,0.038285550627695585,0.04352222969267055
2009,4th Quintile,Since birth,0.95521327014218,21983,0.9524790250477766,0.9579475152365835
2009,4th Quintile,Later,0.0447867298578199,21983,0.0420524847634164,0.047520974952223405
2009,5th Quintile,Since birth,0.9736940298507463,21983,0.9715783448531571,0.9758097148483355
2009,5th Quintile,Later,0.026305970149253732,21983,0.024190285151664548,0.028421655146842917
2010,1st Quintile,Since birth,0.9219653179190751,35837,0.9191882188502695,0.9247424169878807
2010,1st Quintile,Later,0.07803468208092486,35837,0.07525758301211918,0.08081178114973053
2010,2nd Quintile,Since birth,0.9432048681541582,35837,0.9408085260367723,0.945601210271544
2010,2nd Quintile,Later,0.056795131845841784,35837,0.05439878972845596,0.05919147396322761
2010,3rd Quintile,Since birth,0.95232,35837,0.9501137748859412,0.9545262251140589
2010,3rd Quintile,Later,0.04768,35837,0.045473774885941134,0.049886225114058866
2010,4th Quintile,Since birth,0.9612965650701499,35837,0.9592994931816332,0.9632936369586667
2010,4th Quintile,Later,0.038703434929850025,35837,0.036706363041333255,0.040700506818366795
2010,5th Quintile,Since birth,0.9707760789626476,35837,0.9690321892167603,0.972519968708535
2010,5th Quintile,Later,0.02922392103735243,35837,0.027480031291465055,0.030967810783239805
2012,1st Quintile,Since birth,0.910964550700742,40229,0.9081815156973582,0.9137475857041258
2012,1st Quintile,Later,0.08903544929925804,40229,0.08625241429587414,0.09181848430264193
2012,2nd Quintile,Since birth,0.8953116675546084,40229,0.8923199353536063,0.8983033997556106
2012,2nd Quintile,Later,0.10468833244539158,40229,0.10169660024438944,0.10768006464639372
2012,3rd Quintile,Since birth,0.9394753150175583,40229,0.9371451031576411,0.9418055268774755
2012,3rd Quintile,Later,0.060524684982441644,40229,0.058194473122524445,0.06285489684235884
2012,4th Quintile,Since birth,0.9547721410146174,40229,0.952741471090134,0.9568028109391008
