"ple0081_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2002","(noch) kein Abschluss","Westdeutschland","200","0.278570895547807","0.246205639529376","0.310936151566238"
"Ja","2002","(noch) kein Abschluss","Ostdeutschland","42","0.271819528451319","0.205331461163462","0.338307595739177"
"Ja","2002","Hauptschule","Westdeutschland","2456","0.318274108010838","0.307669712066324","0.328878503955352"
"Ja","2002","Hauptschule","Ostdeutschland","387","0.240740322367308","0.219126171043572","0.262354473691044"
"Ja","2002","Realschule","Westdeutschland","1360","0.33599590788843","0.321288259884877","0.350703555891983"
"Ja","2002","Realschule","Ostdeutschland","763","0.38176320274023","0.360608699644591","0.402917705835869"
"Ja","2002","(Fach-)Abitur","Westdeutschland","629","0.29755464183268","0.277996323519358","0.317112960146001"
"Ja","2002","(Fach-)Abitur","Ostdeutschland","125","0.342850036019226","0.293612271509507","0.392087800528946"
"Ja","2002","AkademikerIn","Westdeutschland","718","0.23428948496596","0.219696217614423","0.248882752317496"
"Ja","2002","AkademikerIn","Ostdeutschland","259","0.203771132967441","0.182041548828893","0.225500717105989"
"Nein","2002","(noch) kein Abschluss","Westdeutschland","537","0.721429104452193","0.689063848433762","0.753794360470624"
"Nein","2002","(noch) kein Abschluss","Ostdeutschland","130","0.728180471548681","0.661692404260823","0.794668538836538"
"Nein","2002","Hauptschule","Westdeutschland","4956","0.681725891989162","0.671121496044648","0.692330287933676"
"Nein","2002","Hauptschule","Ostdeutschland","1116","0.759259677632692","0.737645526308956","0.780873828956428"
"Nein","2002","Realschule","Westdeutschland","2602","0.66400409211157","0.649296444108017","0.678711740115123"
"Nein","2002","Realschule","Ostdeutschland","1263","0.61823679725977","0.597082294164131","0.63939130035541"
"Nein","2002","(Fach-)Abitur","Westdeutschland","1470","0.70244535816732","0.682887039853999","0.722003676480642"
"Nein","2002","(Fach-)Abitur","Ostdeutschland","232","0.657149963980774","0.607912199471054","0.706387728490493"
"Nein","2002","AkademikerIn","Westdeutschland","2518","0.76571051503404","0.751117247682504","0.780303782385577"
"Nein","2002","AkademikerIn","Ostdeutschland","1061","0.796228867032559","0.774499282894011","0.817958451171106"
"Ja","2003","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2003","Hauptschule","Westdeutschland","","","",""
"Ja","2003","Hauptschule","Ostdeutschland","","","",""
"Ja","2003","Realschule","Westdeutschland","","","",""
"Ja","2003","Realschule","Ostdeutschland","","","",""
"Ja","2003","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2003","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2003","AkademikerIn","Westdeutschland","","","",""
"Ja","2003","AkademikerIn","Ostdeutschland","","","",""
"Nein","2003","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2003","Hauptschule","Westdeutschland","","","",""
"Nein","2003","Hauptschule","Ostdeutschland","","","",""
"Nein","2003","Realschule","Westdeutschland","","","",""
"Nein","2003","Realschule","Ostdeutschland","","","",""
"Nein","2003","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2003","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2003","AkademikerIn","Westdeutschland","","","",""
"Nein","2003","AkademikerIn","Ostdeutschland","","","",""
"Ja","2004","(noch) kein Abschluss","Westdeutschland","196","0.288985218841165","0.255898203849858","0.322072233832473"
"Ja","2004","(noch) kein Abschluss","Ostdeutschland","58","0.334186945128684","0.266397432395589","0.40197645786178"
"Ja","2004","Hauptschule","Westdeutschland","2108","0.303933758580694","0.292907907020955","0.314959610140434"
"Ja","2004","Hauptschule","Ostdeutschland","357","0.251854973455567","0.228852570632087","0.274857376279046"
"Ja","2004","Realschule","Westdeutschland","1253","0.3435968576566","0.328267588858437","0.358926126454764"
