"ple0081_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2002","(noch) kein Abschluss","Staedtischer Raum","183","","",""
"Ja","2002","(noch) kein Abschluss","Laendlicher Raum","59","0.24393721827147","0.190914036609911","0.29696039993303"
"Ja","2002","Hauptschule","Staedtischer Raum","1918","","",""
"Ja","2002","Hauptschule","Laendlicher Raum","925","0.285801056540664","0.269958177913188","0.301643935168139"
"Ja","2002","Realschule","Staedtischer Raum","1233","","",""
"Ja","2002","Realschule","Laendlicher Raum","890","0.356866440927889","0.337763375338963","0.375969506516815"
"Ja","2002","(Fach-)Abitur","Staedtischer Raum","594","0.317564001272729","0.296441815014356","0.338686187531102"
"Ja","2002","(Fach-)Abitur","Laendlicher Raum","160","","",""
"Ja","2002","AkademikerIn","Staedtischer Raum","730","0.241657000784876","0.226880108555389","0.256433893014364"
"Ja","2002","AkademikerIn","Laendlicher Raum","247","","",""
"Nein","2002","(noch) kein Abschluss","Staedtischer Raum","474","0.710088755203836","0.675394764783253","0.744782745624419"
"Nein","2002","(noch) kein Abschluss","Laendlicher Raum","193","","",""
"Nein","2002","Hauptschule","Staedtischer Raum","3873","0.681105068447162","0.669101726647841","0.693108410246482"
"Nein","2002","Hauptschule","Laendlicher Raum","2199","","",""
"Nein","2002","Realschule","Staedtischer Raum","2339","","",""
"Nein","2002","Realschule","Laendlicher Raum","1526","","",""
"Nein","2002","(Fach-)Abitur","Staedtischer Raum","1272","","",""
"Nein","2002","(Fach-)Abitur","Laendlicher Raum","430","0.753703467341551","0.718937726313287","0.788469208369814"
"Nein","2002","AkademikerIn","Staedtischer Raum","2494","","",""
"Nein","2002","AkademikerIn","Laendlicher Raum","1085","","",""
"Ja","2003","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2003","Hauptschule","Staedtischer Raum","","","",""
"Ja","2003","Hauptschule","Laendlicher Raum","","","",""
"Ja","2003","Realschule","Staedtischer Raum","","","",""
"Ja","2003","Realschule","Laendlicher Raum","","","",""
"Ja","2003","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2003","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2003","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2003","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2003","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2003","Hauptschule","Staedtischer Raum","","","",""
"Nein","2003","Hauptschule","Laendlicher Raum","","","",""
