"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2020","(noch) kein Abschluss","weiblich","164","0.264297931530311","0.235030290535442","0.293565572525181"
"Ja","2020","Hauptschule","maennlich","1238","0.30876892085724","0.293256111956348","0.324281729758131"
"Ja","2020","Hauptschule","weiblich","884","0.261107040079377","0.245724173634923","0.276489906523832"
"Ja","2020","Realschule","maennlich","784","0.301210441291343","0.283521165577625","0.318899717005061"
"Ja","2020","Realschule","weiblich","910","0.244898720760976","0.230940321384655","0.258857120137298"
"Ja","2020","(Fach-)Abitur","maennlich","627","0.258039240476554","0.239923315696337","0.276155165256772"
"Ja","2020","(Fach-)Abitur","weiblich","482","0.177098858785306","0.162637615945539","0.191560101625072"
"Ja","2020","AkademikerIn","maennlich","656","0.139947484420891","0.129257423376303","0.150637545465478"
"Ja","2020","AkademikerIn","weiblich","464","0.126733699765407","0.115944180029204","0.13752321950161"
"Nein","2020","(noch) kein Abschluss","maennlich","616","0.643581969537047","0.614501862630231","0.672662076443864"
"Nein","2020","(noch) kein Abschluss","weiblich","708","0.735702068469689","0.706434427474819","0.764969709464558"
"Nein","2020","Hauptschule","maennlich","2169","0.69123107914276","0.675718270241869","0.706743888043652"
"Nein","2020","Hauptschule","weiblich","2248","0.738892959920623","0.723510093476168","0.754275826365077"
"Nein","2020","Realschule","maennlich","1800","0.698789558708657","0.681100282994939","0.716478834422375"
"Nein","2020","Realschule","weiblich","2736","0.755101279239023","0.741142879862702","0.769059678615345"
"Nein","2020","(Fach-)Abitur","maennlich","1614","0.741960759523445","0.723844834743228","0.760076684303663"
"Nein","2020","(Fach-)Abitur","weiblich","2195","0.822901141214694","0.808439898374928","0.837362384054461"
"Nein","2020","AkademikerIn","maennlich","3390","0.860052515579109","0.849362454534522","0.870742576623697"
"Nein","2020","AkademikerIn","weiblich","3188","0.873266300234593","0.862476780498389","0.884055819970796"
