"ple0081_h","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja","2002","17-34","(noch) kein Abschluss","162","0.258696590019145","0.225412965086324","0.291980214951966"
"Ja","2002","17-34","Hauptschule","718","0.536632873649375","0.510013097967037","0.563252649331713"
"Ja","2002","17-34","Realschule","868","0.418243348192182","0.397004135420784","0.439482560963579"
"Ja","2002","17-34","(Fach-)Abitur","403","0.317591055719337","0.292017543584623","0.343164567854052"
"Ja","2002","17-34","AkademikerIn","130","0.243326821727206","0.209632770689675","0.277020872764736"
"Ja","2002","35-65","(noch) kein Abschluss","75","0.443503943153697","0.370108086204087","0.516899800103307"
"Ja","2002","35-65","Hauptschule","1892","0.374980983874442","0.361792277643612","0.388169690105272"
"Ja","2002","35-65","Realschule","1200","0.351760331762427","0.33591545596622","0.367605207558635"
"Ja","2002","35-65","(Fach-)Abitur","332","0.321998414865049","0.293532828283311","0.350464001446787"
"Ja","2002","35-65","AkademikerIn","772","0.245204767731245","0.230724945655395","0.259684589807095"
"Ja","2002","66 +","(noch) kein Abschluss","5","","",""
"Ja","2002","66 +","Hauptschule","233","0.0940289058447381","0.0823299752388933","0.105727836450583"
"Ja","2002","66 +","Realschule","55","0.123633479336563","0.0924126030560869","0.15485435561704"
"Ja","2002","66 +","(Fach-)Abitur","19","","",""
"Ja","2002","66 +","AkademikerIn","75","0.129371404282975","0.101117136455294","0.157625672110656"
"Nein","2002","17-34","(noch) kein Abschluss","503","0.741303409980855","0.708019785048034","0.774587034913676"
"Nein","2002","17-34","Hauptschule","630","0.463367126350625","0.436747350668287","0.489986902032963"
"Nein","2002","17-34","Realschule","1204","0.581756651807818","0.56051743903642","0.602995864579216"
"Nein","2002","17-34","(Fach-)Abitur","870","0.682408944280663","0.656835432145948","0.707982456415378"
"Nein","2002","17-34","AkademikerIn","493","0.756673178272794","0.722979127235264","0.790367229310325"
"Nein","2002","35-65","(noch) kein Abschluss","101","0.556496056846303","0.483100199896693","0.629891913795913"
"Nein","2002","35-65","Hauptschule","3284","0.625019016125558","0.611830309894728","0.638207722356388"
"Nein","2002","35-65","Realschule","2289","0.648239668237573","0.632394792441365","0.66408454403378"
"Nein","2002","35-65","(Fach-)Abitur","703","0.678001585134951","0.649535998553213","0.706467171716689"
"Nein","2002","35-65","AkademikerIn","2619","0.754795232268755","0.740315410192905","0.769275054344605"
"Nein","2002","66 +","(noch) kein Abschluss","63","0.944279046128001","0.88975939323365","0.998798699022353"
"Nein","2002","66 +","Hauptschule","2158","0.905971094155262","0.894272163549417","0.917670024761107"
"Nein","2002","66 +","Realschule","372","0.876366520663437","0.84514564438296","0.907587396943913"
"Nein","2002","66 +","(Fach-)Abitur","129","0.875199487261346","0.821954473279122","0.928444501243569"
"Nein","2002","66 +","AkademikerIn","467","0.870628595717025","0.842374327889344","0.898882863544706"
"Ja","2003","17-34","(noch) kein Abschluss","","","",""
"Ja","2003","17-34","Hauptschule","","","",""
"Ja","2003","17-34","Realschule","","","",""
"Ja","2003","17-34","(Fach-)Abitur","","","",""
"Ja","2003","17-34","AkademikerIn","","","",""
"Ja","2003","35-65","(noch) kein Abschluss","","","",""
"Ja","2003","35-65","Hauptschule","","","",""
"Ja","2003","35-65","Realschule","","","",""
"Ja","2003","35-65","(Fach-)Abitur","","","",""
"Ja","2003","35-65","AkademikerIn","","","",""
"Ja","2003","66 +","(noch) kein Abschluss","","","",""
"Ja","2003","66 +","Hauptschule","","","",""
"Ja","2003","66 +","Realschule","","","",""
"Ja","2003","66 +","(Fach-)Abitur","","","",""
"Ja","2003","66 +","AkademikerIn","","","",""
"Nein","2003","17-34","(noch) kein Abschluss","","","",""
"Nein","2003","17-34","Hauptschule","","","",""
"Nein","2003","17-34","Realschule","","","",""
"Nein","2003","17-34","(Fach-)Abitur","","","",""
"Nein","2003","17-34","AkademikerIn","","","",""
"Nein","2003","35-65","(noch) kein Abschluss","","","",""
"Nein","2003","35-65","Hauptschule","","","",""
"Nein","2003","35-65","Realschule","","","",""
"Nein","2003","35-65","(Fach-)Abitur","","","",""
"Nein","2003","35-65","AkademikerIn","","","",""
"Nein","2003","66 +","(noch) kein Abschluss","","","",""
"Nein","2003","66 +","Hauptschule","","","",""
"Nein","2003","66 +","Realschule","","","",""
"Nein","2003","66 +","(Fach-)Abitur","","","",""
"Nein","2003","66 +","AkademikerIn","","","",""
"Ja","2004","17-34","(noch) kein Abschluss","179","0.280668330514587","0.247019955045286","0.314316705983888"
"Ja","2004","17-34","Hauptschule","584","0.490770077076292","0.461686611503718","0.519853542648866"
"Ja","2004","17-34","Realschule","702","0.414877678137219","0.391707383871369","0.438047972403069"
"Ja","2004","17-34","(Fach-)Abitur","399","0.33623490739607","0.309801423041445","0.362668391750694"
"Ja","2004","17-34","AkademikerIn","109","0.247027575570153","0.210685333877882","0.283369817262425"
"Ja","2004","35-65","(noch) kein Abschluss","70","0.47077216086249","0.392192713689906","0.549351608035073"
"Ja","2004","35-65","Hauptschule","1637","0.375964937788396","0.36175591645345","0.390173959123342"
"Ja","2004","35-65","Realschule","1171","0.353265038039511","0.337280568842374","0.369249507236648"
"Ja","2004","35-65","(Fach-)Abitur","301","0.319983420156965","0.291158202885619","0.34880863742831"
"Ja","2004","35-65","AkademikerIn","681","0.246628828834267","0.231515870009389","0.261741787659145"
"Ja","2004","66 +","(noch) kein Abschluss","5","","",""
"Ja","2004","66 +","Hauptschule","244","0.100679959430588","0.0887746835579081","0.112585235303268"
"Ja","2004","66 +","Realschule","61","0.130524690769126","0.0989756616365587","0.162073719901692"
"Ja","2004","66 +","(Fach-)Abitur","19","","",""
"Ja","2004","66 +","AkademikerIn","87","0.131715865554951","0.105096222719593","0.158335508390309"
"Nein","2004","17-34","(noch) kein Abschluss","506","0.719331669485413","0.685683294016112","0.752980044954714"
"Nein","2004","17-34","Hauptschule","551","0.509229922923708","0.480146457351134","0.538313388496282"
"Nein","2004","17-34","Realschule","1035","0.585122321862781","0.561952027596932","0.608292616128631"
"Nein","2004","17-34","(Fach-)Abitur","828","0.66376509260393","0.637331608249306","0.690198576958555"
"Nein","2004","17-34","AkademikerIn","432","0.752972424429847","0.716630182737575","0.789314666122118"
"Nein","2004","35-65","(noch) kein Abschluss","85","0.529227839137511","0.450648391964927","0.607807286310094"
"Nein","2004","35-65","Hauptschule","2827","0.624035062211604","0.609826040876658","0.63824408354655"
"Nein","2004","35-65","Realschule","2264","0.646734961960489","0.630750492763352","0.662719431157626"
"Nein","2004","35-65","(Fach-)Abitur","705","0.680016579843035","0.65119136257169","0.708841797114381"
"Nein","2004","35-65","AkademikerIn","2444","0.753371171165733","0.738258212340855","0.768484129990611"
"Nein","2004","66 +","(noch) kein Abschluss","62","0.938616494862732","0.881141277457875","0.996091712267589"
"Nein","2004","66 +","Hauptschule","2210","0.899320040569412","0.887414764696732","0.911225316442092"
"Nein","2004","66 +","Realschule","377","0.869475309230874","0.837926280098307","0.901024338363441"
