year,bula_h,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Urban regions,Yes,0.36168,106,308,0.30793,0.41543
2002,Schleswig-Holstein,Urban regions,No,0.63832,202,308,0.58457,0.69207
2002,Schleswig-Holstein,Rural regions,Yes,0.29830,118,411,0.25401,0.34258
2002,Schleswig-Holstein,Rural regions,No,0.70170,293,411,0.65742,0.74599
2002,Hamburg,Urban regions,Yes,0.33960,98,325,0.28803,0.39116
2002,Hamburg,Urban regions,No,0.66040,227,325,0.60884,0.71197
2002,Lower Saxony,Urban regions,Yes,0.30695,304,960,0.27776,0.33614
2002,Lower Saxony,Urban regions,No,0.69305,656,960,0.66386,0.72224
2002,Lower Saxony,Rural regions,Yes,0.32209,331,1017,0.29336,0.35083
2002,Lower Saxony,Rural regions,No,0.67791,686,1017,0.64917,0.70664
2002,Bremen,Urban regions,Yes,0.33483,62,172,0.26409,0.40556
2002,Bremen,Urban regions,No,0.66517,110,172,0.59444,0.73591
2002,North Rhine-Westphalia,Urban regions,Yes,0.32141,1540,4750,0.30813,0.33469
2002,North Rhine-Westphalia,Urban regions,No,0.67859,3210,4750,0.66531,0.69187
2002,North Rhine-Westphalia,Rural regions,Yes,0.30950,33,118,0.22573,0.39327
2002,North Rhine-Westphalia,Rural regions,No,0.69050,85,118,0.60673,0.77427
2002,Hesse,Urban regions,Yes,0.30925,421,1337,0.28447,0.33404
2002,Hesse,Urban regions,No,0.69075,916,1337,0.66596,0.71553
2002,Hesse,Rural regions,Yes,0.29452,86,302,0.24302,0.34601
2002,Hesse,Rural regions,No,0.70548,216,302,0.65399,0.75698
2002,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.32038,330,1036,0.29195,0.34881
2002,"Rhineland-Palatinate, Saarland",Urban regions,No,0.67962,706,1036,0.65119,0.70805
2002,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.29226,102,339,0.24377,0.34075
2002,"Rhineland-Palatinate, Saarland",Rural regions,No,0.70774,237,339,0.65925,0.75623
2002,Baden-Wuerttemberg,Urban regions,Yes,0.28286,743,2541,0.26534,0.30037
